Gene Symbol	Gene Description	Weight
DAD1	defender against cell death 1	0.0997
RAD21	RAD21 homolog (S. pombe)	0.1743
LDHA	lactate dehydrogenase A	0.0165
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0.1571
SKP1	S-phase kinase-associated protein 1	0.137
PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform	0.0249
RAN	RAN, member RAS oncogene family	0.1043
USP9X	ubiquitin specific peptidase 9, X-linked	-0.0066
ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	-0.0495
GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	0.1404
HDAC1	histone deacetylase 1	-0.0272
LGMN	Legumain	-0.0683
CYR61	cysteine-rich, angiogenic inducer, 61	-0.0454
SH3BGRL	SH3 domain binding glutamic acid-rich protein like	0.0659
MGST3	microsomal glutathione S-transferase 3	-0.0162
RCN2	reticulocalbin 2, EF-hand calcium binding domain	0.2087
SMC1A	structural maintenance of chromosomes 1A	0.0313
BST2	bone marrow stromal cell antigen 2	0.2118
ENG	Endoglin	0.058
SRGN	Serglycin	-0.1577
GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	0.0778
UNC119B	unc-119 homolog B (C. elegans)	0.139
RGS1	regulator of G-protein signaling 1	-0.2573
CDC2	cell division cycle 2, G1 to S and G2 to M	0.1101
SAT1	spermidine/spermine N1-acetyltransferase 1	-0.0386
GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	-0.0169
GUCY1B3	guanylate cyclase 1, soluble, beta 3	0.0248
WFDC2	WAP four-disulfide core domain 2	0.0719
NMI	N-myc (and STAT) interactor	0.0873
PRAME	preferentially expressed antigen in melanoma	0.0267
CCL4	chemokine (C-C motif) ligand 4	-0.1545
MGST2	microsomal glutathione S-transferase 2	-0.0045
MMP7	matrix metallopeptidase 7 (matrilysin, uterine)	0
SNCA	synuclein, alpha (non A4 component of amyloid precursor)	-0.1605
VTN	Vitronectin	-0.0399
ALPP	alkaline phosphatase, placental (Regan isozyme)	-0.0274
MTAP	methylthioadenosine phosphorylase	-0.0511
IDUA	iduronidase, alpha-L-	0.097
SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	-0.0053
WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	-0.0191
CD1D	CD1d molecule	-0.1431
GFI1	growth factor independent 1 transcription repressor	-0.0318
P11	26 serine protease	0.0091
SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	0.0805
TNF	tumor necrosis factor (TNF superfamily, member 2)	-0.024
ROS1	c-ros oncogene 1 , receptor tyrosine kinase	0.1667
MADCAM1	mucosal vascular addressin cell adhesion molecule 1	-0.0322
PDIA4	protein disulfide isomerase family A, member 4	0.1564
HMGN2	high-mobility group nucleosomal binding domain 2	-0.0247
HLA-B	major histocompatibility complex, class I, B	0.0956
TM9SF1	transmembrane 9 superfamily member 1	0.1125
CCDC93	coiled-coil domain containing 93	-0.0865
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	0.0212
VEGFA	vascular endothelial growth factor A	0.0612
POSTN	periostin, osteoblast specific factor	0.2142
PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-0.041
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	-0.0579
HLA-A	major histocompatibility complex, class I, A	0.0202
PCTP	phosphatidylcholine transfer protein	-0.0536
SEH1L	SEH1-like (S. cerevisiae)	0.1127
