p-rank	p-value	mean: EML	mean: NML	EML/ NML	Affy Probe set	description	Genbank ID
1	6.60E-06	362.4	524.7	0.69	U09303_at	ephrin-B1	U09303
2	6.70E-06	270.5	874.5	0.31	L17075_s_at	activin A receptor type II-like 1	L17075
3	4.52E-05	4996.9	6437.7	0.78	D25274_at	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	D25274
4	7.97E-05	1220.6	1913.9	0.64	L38932_at	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	L38932
5	8.23E-05	183.3	374.1	0.49	U76366_s_at	Treacher Collins-Franceschetti syndrome 1	U76366
6	9.83E-05	3581	6569.2	0.55	D11428_at	peripheral myelin protein 22	D11428
7	0.0001069	187.7	459.3	0.41	HG2383-HT4824_s_at	Cystathionine Beta Synthase, Alt. Splice 3 - Also Represents: L00972	HG2383-HT4824
8	0.000107	1110.1	655.8	1.69	M58285_at	hematopoietic protein 1	M58285
9	0.0001747	1103.3	2243.8	0.49	U30999_at	activated leukocyte cell adhesion molecule	U30999
10	0.0003017	1258.6	1749.3	0.72	U51336_at	inositol 1,3,4-triphosphate 5/6 kinase	U51336
11	0.000309	1558	2801.2	0.56	L33075_at	IQ motif containing GTPase activating protein 1	L33075
12	0.0003102	276.8	175.7	1.58	Y11710_rna1_ at	collagen, type XIV, alpha 1 (undulin)	Y11710
13	0.0003231	478.6	784.3	0.61	U66879_at	BCL2-antagonist of cell death	U66879
14	0.0003281	1374.2	940.7	1.46	D11086_at	interleukin 2 receptor, gamma (severe combined immunodeficiency)	D11086
15	0.000337	1231.4	1792.3	0.69	U20998_at	signal recognition particle 9kDa	U20998
16	0.0003426	44.6	112.9	0.4	U55766_at	HIV-1 rev binding protein 2	U55766
17	0.0003569	1642.6	2934.3	0.56	X91257_at	seryl-tRNA synthetase	X91257
18	0.0003638	327.5	489.4	0.67	D87444_at	KIAA0255 gene product	D87444
19	0.000454	209.6	345.1	0.61	M92439_at	leucine-rich PPR-motif containing	M92439
20	0.0005304	103.8	66.4	1.56	L34820_at	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)	L34820
21	0.0005612	6.2	42.1	0.15	Z49205_at	purinergic receptor P2Y, G-protein coupled, 1	Z49205
22	0.0006415	377	767.8	0.49	L07758_at	nuclear phosphoprotein similar to S. cerevisiae PWP1	L07758
23	0.0007148	265.2	417.5	0.64	U24266_at	aldehyde dehydrogenase 4 family, member A1	U24266
24	0.0007233	692.7	1536.1	0.45	U70867_at	solute carrier family 21 (prostaglandin transporter), member 2	U70867
25	0.0007829	145.1	256.7	0.57	U56085_at	PWP2 periodic tryptophan protein homolog (yeast)	U56085
26	0.000903	922.4	1582.0	0.58	U19247_rna1_ s_at	Human interferon-gamma receptor alpha chain gene	U19247
27	0.0009435	252.3	440.6	0.57	U65928_at	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	U65928
28	0.0009584	310.3	501.1	0.62	U07418_at	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	U07418
29	0.0010486	993.4	2042.0	0.49	L02426_at	proteasome (prosome, macropain) 26S subunit, ATPase, 1	L02426
30	0.0011674	4218.7	5331.3	0.79	M23254_at	calpain 2, (m/II) large subunit	M23254
31	0.0011983	1360.0	2488.3	0.55	M29536_at	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	M29536
32	0.0012169	114.7	36.1	3.18	M54992_at	CD72 antigen	M54992
33	0.0012171	257.3	169.6	1.52	L09235_at	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A, isoform 1	L09235
34	0.0012502	9.4	54.2	0.17	M58460_at	polymyositis/scleroderma autoantigen 1, 75kDa	M58460
35	0.0012566	97.3	243.6	0.40	M27691_at	cAMP responsive element binding protein 1	M27691
36	0.0012661	251.1	554.4	0.45	U73477_s_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	U73477
37	0.0012705	313.7	586.2	0.54	U59309_at	fumarate hydratase	U59309
38	0.0012793	358.7	262.5	1.37	D29013_at	polymerase (DNA directed), beta	D29013
39	0.0013045	5712.4	2107.2	2.71	X62744_at	major histocompatibility complex, class II, DM alpha	X62744
40	0.0013145	1250.4	1697.2	0.74	L25081_at	ras homolog gene family, member C	L25081
41	0.0013336	2182.6	1389.5	1.57	U31342_at	Human nucleobindin gene	U31342
42	0.001364	307.8	173.7	1.77	U18671_rna1_ at	Human Stat2 gene	U18671
43	0.001389	479.9	235.6	2.04	X56741_at	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog	X56741
44	0.0014593	2380.9	1349.0	1.77	M95678_at	phospholipase C, beta 2	M95678
45	0.0015159	729.4	271.7	2.68	X82494_at	fibulin 2	X82494
46	0.0015823	942.0	1403.0	0.67	D13641_at	translocase of outer mitochondrial membrane 20 (yeast) homolog	D13641
47	0.0016133	1149.4	2254.4	0.51	L48513_at	paraoxonase 2	L48513
48	0.0016432	625.6	945.3	0.66	D26156_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	D26156
49	0.001679	1720.8	2345.2	0.73	M64571_at	microtubule-associated protein 4	M64571
50	0.0017258	834.3	1502.1	0.56	D67029_at	SEC14-like 1 (S. cerevisiae)	D67029
51	0.0017524	6411.4	2184.3	2.94	HG1872-HT1907_at	Major Histocompatibility Complex, Dg	HG1872-HT1907
52	0.0017683	2344.5	3586.6	0.65	M75099_at	FK506 binding protein 2, 13kDa	M75099
53	0.0019283	133.6	257.8	0.52	U68385_at	Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)	U68385
54	0.0019465	1809.2	689.4	2.62	L05072_s_at	interferon regulatory factor 1	L05072
55	0.0019813	185.2	262.5	0.71	X75535_at	peroxisomal farnesylated protein	X75535
56	0.0021003	668.5	280.9	2.38	U19495_s_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	U19495
57	0.0021469	212.3	460.4	0.46	S77410_at	angiotensin II receptor, type 1	S77410
58	0.0021521	1584.9	2238.9	0.71	D87452_at	inositol hexaphosphate kinase 1	D87452
59	0.002256	5429.1	8745.8	0.62	S65738_at	destrin (actin depolymerizing factor)	S65738
60	0.0022687	762.5	1158.6	0.66	D14663_at	KIAA0107 gene product	D14663
61	0.0022808	556.4	767.8	0.73	D42084_at	methionyl aminopeptidase 1	D42084
62	0.0022906	277.2	520.8	0.53	D87454_at	KIAA0265 protein	D87454
63	0.0023097	582.3	1439.6	0.41	U09510_s_at	glycyl-tRNA synthetase	U09510
64	0.0024673	60.8	105.5	0.58	U92436_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	U92436
65	0.0025271	247.3	476.9	0.52	M15841_at	small nuclear ribonucleoprotein polypeptide B	M15841
66	0.0025885	1120.6	1607.7	0.70	L14076_at	splicing factor, arginine/serine-rich 4	L14076
67	0.0025968	230.5	355.2	0.65	L25931_s_at	lamin B receptor	L25931
68	0.0028271	1027.9	1386.9	0.74	L37368_at	RNA binding protein S1, serine-rich domain	L37368
69	0.0028639	3213.9	12335.1	0.26	U75272_s_at	progastricsin (pepsinogen C)	U75272
70	0.0028645	711.2	1167.3	0.61	M22632_at	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	M22632
71	0.0028702	705.6	1143.7	0.62	M36284_s_at	glycophorin C (Gerbich blood group)	M36284
72	0.0028821	303.9	187.0	1.63	D86964_at	dedicator of cyto-kinesis 2	D86964
73	0.0029885	287.5	440.9	0.65	U08998_at	TAR (HIV) RNA binding protein 2	U08998
74	0.0030091	835.6	1364.7	0.61	M93651_at	SET translocation (myeloid leukemia-associated)	M93651
75	0.0031221	179.1	361.1	0.50	U63824_at	TEA domain family member 4	U63824
76	0.0031368	148.2	260.4	0.57	Y08612_at	nucleoporin 88kDa	Y08612
77	0.0031835	147.0	233.5	0.63	L19783_at	phosphatidylinositol glycan, class H	L19783
78	0.0032672	240.4	308.7	0.78	M29960_at	nuclear receptor subfamily 2, group C, member 1	M29960
79	0.0033734	112.2	173.7	0.65	M94065_at	dihydroorotate dehydrogenase	M94065
80	0.0034598	1511.8	2215.6	0.68	HG4541-HT4946_s_at	Transformation-Related Protein - Also Represents: D16431	HG4541-HT4946
81	0.0035221	97.1	173.8	0.56	D13642_at	splicing factor 3b, subunit 3, 130kDa	D13642
82	0.0035482	215.6	336.7	0.64	HG2992-HT5186_at	Beta-Hexosaminidase, Alpha Polypeptide, Abnormal Splice Mutation	HG2992-HT5186
