RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000311	Homo sapiens prion protein (PRNP), transcript variant 1, mRNA.	5621	PRNP	prion protein	ASCR|CD230|CJD|GSS|MGC26679|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|prion	20	1.553	0.000106	1
NM_000332	Homo sapiens ataxin 1 (ATXN1), transcript variant 1, mRNA.	6310	ATXN1	ataxin 1	ATX1|D6S504E|SCA1	6	1.452	0.0000701	1
NM_000874	Homo sapiens interferon (alpha, beta and omega) receptor 2 (IFNAR2), transcript variant 2, mRNA.	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2	IFN-R|IFN-alpha-REC|IFNABR|IFNARB	21	1.353	0.000564	1
NM_000632	Homo sapiens integrin, alpha M (complement component 3 receptor 3 subunit) (ITGAM), mRNA.	3684	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	CD11B|CR3A|MAC-1|MAC1A|MGC117044|MO1A|SLEB6	16	1.31	0.0000509	1
NM_001006639	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 2, mRNA.	9338	TCEAL1	transcription elongation factor A (SII)-like 1	SIIR|p21|pp21	X	1.294	0.000421	1
NM_001006640	Homo sapiens transcription elongation factor A (SII)-like 1 (TCEAL1), transcript variant 3, mRNA.	9338	TCEAL1	transcription elongation factor A (SII)-like 1	SIIR|p21|pp21	X	1.294	0.000421	1
NM_001011513	Homo sapiens PDZ and LIM domain 5 (PDLIM5), transcript variant 2, mRNA.	10611	PDLIM5	PDZ and LIM domain 5	ENH|ENH1|L9|LIM	4	1.245	0.00000126	1
NM_001011514							1.245	0.00000126	1
NM_000153	Homo sapiens galactosylceramidase (GALC), transcript variant 1, mRNA.	2581	GALC	galactosylceramidase	-	14	1.181	0.0000544	1
NM_001001396	Homo sapiens ATPase, Ca++ transporting, plasma membrane 4 (ATP2B4), transcript variant 1, mRNA.	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	ATP2B2|DKFZp686G08106|DKFZp686M088|MXRA1|PMCA4|PMCA4b|PMCA4x	1	1.131	0.00013	1
NM_001005368	Homo sapiens zinc finger protein 32 (ZNF32), transcript variant 2, mRNA.	7580	ZNF32	zinc finger protein 32	KOX30	10	1.098	0.000119	1
NM_000328	Homo sapiens retinitis pigmentosa GTPase regulator (RPGR), transcript variant A, mRNA.	6103	RPGR	retinitis pigmentosa GTPase regulator	COD1|CORDX1|CRD|PCDX|RP15|RP3|XLRP3|orf15	X	0.949	0.0000608	2
NM_001003683	Homo sapiens phosphodiesterase 1A, calmodulin-dependent (PDE1A), transcript variant 2, mRNA.	5136	PDE1A	phosphodiesterase 1A, calmodulin-dependent	HCAM1|HSPDE1A|MGC26303	2	0.948	0.000668	2
NM_000946	Homo sapiens primase, DNA, polypeptide 1 (49kDa) (PRIM1), mRNA.	5557	PRIM1	primase, DNA, polypeptide 1 (49kDa)	MGC12308|p49	12	0.851	0.000594	2
NM_000129	Homo sapiens coagulation factor XIII, A1 polypeptide (F13A1), mRNA.	2162	F13A1	coagulation factor XIII, A1 polypeptide	F13A	6	0.842	0.000406	2
NM_001003688	Homo sapiens SMAD family member 1 (SMAD1), transcript variant 2, mRNA.	4086	SMAD1	SMAD family member 1	BSP1|JV4-1|JV41|MADH1|MADR1	4	0.798	0.000165	2
NM_000059	Homo sapiens breast cancer 2, early onset (BRCA2), mRNA.	675	BRCA2	breast cancer 2, early onset	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCB|FANCD|FANCD1	13	0.773	0.000466	2
NM_000376	Homo sapiens vitamin D (1,25- dihydroxyvitamin D3) receptor (VDR), transcript variant 1, mRNA.	7421	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	NR1I1	12	0.766	0.000291	2
NM_000368	Homo sapiens tuberous sclerosis 1 (TSC1), transcript variant 1, mRNA.	7248	TSC1	tuberous sclerosis 1	KIAA0243|LAM|MGC86987|TSC	9	0.617	0.000172	2
NM_000627	Homo sapiens latent transforming growth factor beta binding protein 1 (LTBP1), transcript variant 2, mRNA.	4052	LTBP1	latent transforming growth factor beta binding protein 1	MGC163161	2	0.604	0.000355	2
NM_001005502	Homo sapiens carboxypeptidase M (CPM), transcript variant 3, mRNA.	1368	CPM	carboxypeptidase M	-	12	0.566	0.000132	2
NM_000109	Homo sapiens dystrophin (DMD), transcript variant Dp427c, mRNA.	1756	DMD	dystrophin	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272	X	0.393	0.0000595	2
NM_001002273	Homo sapiens Fc fragment of IgG, low affinity IIb, receptor (CD32) (FCGR2B), transcript variant 2, mRNA.	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	CD32|CD32B|FCG2|FCGR2|IGFR2	1	2.752	0.00000768	3
NM_001002274	Homo sapiens Fc fragment of IgG, low affinity IIb, receptor (CD32) (FCGR2B), transcript variant 3, mRNA.	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	CD32|CD32B|FCG2|FCGR2|IGFR2	1	2.752	0.00000768	3
NM_001002275	Homo sapiens Fc fragment of IgG, low affinity IIb, receptor (CD32) (FCGR2B), transcript variant 4, mRNA.	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	CD32|CD32B|FCG2|FCGR2|IGFR2	1	2.752	0.00000768	3
NM_000878	Homo sapiens interleukin 2 receptor, beta (IL2RB), mRNA.	3560	IL2RB	interleukin 2 receptor, beta	CD122|P70-75	22	2.525	0.000444	3
NM_000521	Homo sapiens hexosaminidase B (beta polypeptide) (HEXB), mRNA.	3074	HEXB	hexosaminidase B (beta polypeptide)	ENC-1AS	5	2.09	0.000654	3
NM_000628	Homo sapiens interleukin 10 receptor, beta (IL10RB), mRNA.	3588	IL10RB	interleukin 10 receptor, beta	CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IL-10R2	21	1.73	0.000807	3
NM_000889	Homo sapiens integrin, beta 7 (ITGB7), mRNA.	3695	ITGB7	integrin, beta 7	-	12	1.594	0.00000428	3
NM_001003828	Homo sapiens parvin, beta (PARVB), transcript variant 1, mRNA.	29780	PARVB	parvin, beta	CGI-56	22	1.42	0.0000297	3
NM_000308	Homo sapiens cathepsin A (CTSA), transcript variant 1, mRNA.	5476	CTSA	cathepsin A	GLB2|GSL|NGBE|PPCA|PPGB	20	1.343	0.000215	3
NM_001008530	Homo sapiens legumain (LGMN), transcript variant 2, mRNA.	5641	LGMN	legumain	AEP|LGMN1|PRSC1	14	1.301	0.000122	3
NM_000270	Homo sapiens nucleoside phosphorylase (NP), mRNA.	4860	NP	nucleoside phosphorylase	FLJ94043|FLJ97288|FLJ97312|MGC117396|MGC125915|MGC125916|PNP|PRO1837|PUNP	14	1.289	0.000673	3
NM_000389	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA.	1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	6	1.198	0.000179	3
NM_001001894	Homo sapiens tetratricopeptide repeat domain 3 (TTC3), transcript variant 2, mRNA.	7267	TTC3	tetratricopeptide repeat domain 3	DCRR1|DKFZp686M0150|RNF105|TPRDIII	21	1.133	0.00046	3
NM_000310	Homo sapiens palmitoyl-protein thioesterase 1 (PPT1), mRNA.	5538	PPT1	palmitoyl-protein thioesterase 1	CLN1|INCL|PPT	1	1.125	0.000426	3
NM_000887	Homo sapiens integrin, alpha X (complement component 3 receptor 4 subunit) (ITGAX), mRNA.	3687	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	CD11C|SLEB6	16	1.113	0.0000664	3
NM_000528	Homo sapiens mannosidase, alpha, class 2B, member 1 (MAN2B1), mRNA.	4125	MAN2B1	mannosidase, alpha, class 2B, member 1	LAMAN|MANB	19	1.088	0.0000564	3
NM_001009932	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 2, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.074	0.000141	3
NM_001009933	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 3, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.074	0.000141	3
NM_001009934	Homo sapiens deoxyribonuclease I-like 1 (DNASE1L1), transcript variant 4, mRNA.	1774	DNASE1L1	deoxyribonuclease I-like 1	DNAS1L1|DNASEX|DNL1L|XIB	X	1.074	0.000141	3
NM_000202	Homo sapiens iduronate 2-sulfatase (IDS), transcript variant 1, mRNA.	3423	IDS	iduronate 2-sulfatase	MPS2|SIDS	X	1.074	0.000246	3
NM_001003715	Homo sapiens RecQ protein-like 5 (RECQL5), transcript variant 2, mRNA.	9400	RECQL5	RecQ protein-like 5	FLJ90603|RECQ5	17	0.949	0.001	4
NM_001003716	Homo sapiens RecQ protein-like 5 (RECQL5), transcript variant 3, mRNA.	9400	RECQL5	RecQ protein-like 5	FLJ90603|RECQ5	17	0.949	0.001	4
NM_001003686	Homo sapiens postmeiotic segregation increased 2-like 3 (PMS2L3), transcript variant 2, mRNA.	5387	PMS2L3	postmeiotic segregation increased 2-like 3	MGC126647|PMS2L9|PMS5|PMSR3	7	0.919	0.000446	4
NM_001003687							0.919	0.000446	4
NM_000535	Homo sapiens PMS2 postmeiotic segregation increased 2 (S. cerevisiae) (PMS2), transcript variant 1, mRNA.	5395	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	HNPCC4|PMS2CL|PMSL2	7	0.916	0.0006	4
NM_000249	Homo sapiens mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) (MLH1), mRNA.	4292	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	COCA2|FCC2|HNPCC|HNPCC2|MGC5172|hMLH1	3	0.872	0.000239	4
NM_000675	Homo sapiens adenosine A2a receptor (ADORA2A), mRNA.	135	ADORA2A	adenosine A2a receptor	ADORA2|RDC8|hA2aR	22	0.867	0.000582	4
NM_000016	Homo sapiens acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain (ACADM), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	34	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	ACAD1|FLJ18227|FLJ93013|FLJ99884|MCAD|MCADH	1	0.83	0.0000132	4
NM_001005332	Homo sapiens melanoma antigen family D, 1 (MAGED1), transcript variant 3, mRNA.	9500	MAGED1	melanoma antigen family D, 1	DLXIN-1|NRAGE	X	0.812	0.0000123	4
NM_001005333	Homo sapiens melanoma antigen family D, 1 (MAGED1), transcript variant 1, mRNA.	9500	MAGED1	melanoma antigen family D, 1	DLXIN-1|NRAGE	X	0.812	0.0000123	4
NM_000251	Homo sapiens mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli) (MSH2), mRNA.	4436	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	2	0.804	0.000304	4
NM_001005271	Homo sapiens chromodomain helicase DNA binding protein 3 (CHD3), transcript variant 3, mRNA.	1107	CHD3	chromodomain helicase DNA binding protein 3	Mi-2a|Mi2-ALPHA|ZFH	17	0.776	0.00000775	4
NM_001005273	Homo sapiens chromodomain helicase DNA binding protein 3 (CHD3), transcript variant 1, mRNA.	1107	CHD3	chromodomain helicase DNA binding protein 3	Mi-2a|Mi2-ALPHA|ZFH	17	0.776	0.00000775	4
NM_000788	Homo sapiens deoxycytidine kinase (DCK), mRNA.	1633	DCK	deoxycytidine kinase	MGC117410|MGC138632	4	0.737	0.00000198	4
NM_000234	Homo sapiens ligase I, DNA, ATP-dependent (LIG1), mRNA.	3978	LIG1	ligase I, DNA, ATP-dependent	MGC117397|MGC130025	19	0.712	0.000466	4
NM_000319	Homo sapiens peroxisomal biogenesis factor 5 (PEX5), transcript variant 2, mRNA.	5830	PEX5	peroxisomal biogenesis factor 5	FLJ50634|FLJ50721|FLJ51948|PTS1-BP|PTS1R|PXR1	12	0.654	0.000561	4
NM_000179	Homo sapiens mutS homolog 6 (E. coli) (MSH6), mRNA.	2956	MSH6	mutS homolog 6 (E. coli)	GTBP|HNPCC5|HSAP	2	0.638	0.000179	4
NM_000022	Homo sapiens adenosine deaminase (ADA), mRNA.	100	ADA	adenosine deaminase	-	20	0.594	0.000244	4
NM_001008938	Homo sapiens cytoskeleton associated protein 5 (CKAP5), transcript variant 1, mRNA.	9793	CKAP5	cytoskeleton associated protein 5	CHTOG|FLJ35359|KIAA0097|MSPS|TOG|TOGp|ch-TOG	11	0.563	0.0000351	4
NM_000317	Homo sapiens 6-pyruvoyltetrahydropterin synthase (PTS), mRNA.	5805	PTS	6-pyruvoyltetrahydropterin synthase	FLJ97081|PTPS	11	0.551	0.0000323	4
NM_000791	Homo sapiens dihydrofolate reductase (DHFR), mRNA.	1719	DHFR	dihydrofolate reductase	-	5	0.51	0.000175	4
NM_000869	Homo sapiens 5-hydroxytryptamine (serotonin) receptor 3A (HTR3A), transcript variant 2, mRNA.	3359	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	5-HT-3|5-HT3A|5-HT3R|5HT3R|HTR3	11	0.471	0.000301	4
NM_000902	Homo sapiens membrane metallo-endopeptidase (MME), transcript variant 1, mRNA.	4311	MME	membrane metallo-endopeptidase	CALLA|CD10|DKFZp686O16152|MGC126681|MGC126707|NEP	3	0.458	0.0000271	4
NM_000418	Homo sapiens interleukin 4 receptor (IL4R), transcript variant 1, mRNA.	3566	IL4R	interleukin 4 receptor	CD124|IL4RA	16	0.432	0.000204	4
NM_001011546	Homo sapiens destrin (actin depolymerizing factor) (DSTN), transcript variant 2, mRNA.	11034	DSTN	destrin (actin depolymerizing factor)	ACTDP|ADF|bA462D18.2	20	0.339	0.0000114	4
NM_001002881							1.314	0.000697	5
NM_000581	Homo sapiens glutathione peroxidase 1 (GPX1), transcript variant 1, mRNA.	2876	GPX1	glutathione peroxidase 1	GSHPX1|MGC14399|MGC88245	3	1.202	0.000758	5
NM_001008490							1.041	0.00035	5
NM_000398	Homo sapiens cytochrome b5 reductase 3 (CYB5R3), transcript variant 1, mRNA.	1727	CYB5R3	cytochrome b5 reductase 3	B5R|DIA1	22	0.96	0.000358	6
NM_001008709	Homo sapiens protein phosphatase 1, catalytic subunit, alpha isoform (PPP1CA), transcript variant 3, mRNA.	5499	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	MGC15877|MGC1674|PP-1A|PPP1A	11	0.933	0.00013	6
NM_001007468	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 (SMARCB1), transcript variant 2, mRNA.	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	BAF47|INI1|RDT|SNF5|SNF5L1|Sfh1p|Snr1|hSNFS	22	0.912	0.000352	6
NM_001003810	Homo sapiens heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) (HNRNPD), transcript variant 4, mRNA.	3184	HNRNPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	AUF1|AUF1A|HNRPD|P37|hnRNPD0	4	0.893	0.000486	6
NM_001003713	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2 (ATP5J2), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	ATP5JL	7	0.843	0.000927	6
NM_001009551							0.841	0.0000307	6
