Category	Gene Name	GenBank accession
Immune system	IgG, IgG K	M63438+U72063
Immune system	IgG3; IgG1 L; IgG1 K; IgG1 Fc	D78345+Y14737
Immune system	IgA1; IGHA	J00220+S71043
Immune system	IgC mu heavy chain constant region	X57086; X57331
Immune system	IgG receptor FC large subunit P51	U12255
Immune system	Lymphocyte antigen	M81141
Metabolic pathway	Betaine-homocysteine S-methyltransferase	U50929
Metabolic pathway	Methylenetetrahydrofolate dehydrogenase	J04031
Metabolic pathway	Aldehyde oxidase	L11005
Metabolic pathway	Uridine diphosphoglucose pyrophosphorylase	U27460
Metabolic pathway	Metalloproteinase inhibitor 1	X03124
Metabolic pathway	Metallothionein-III	D13365; M93311
Growth factor	alpha-2-macroglobulin	M11313
Growth factor	alpha-2-macroglobulin receptor-associated protein	M63959
Growth factor	TGF-beta	S81439
Growth factor	hepatocyte growth factor-like protein	D49742; S83182
Growth factor	NGF-inducible anti-proliferative protein PC3	U72649
Growth factor	Early growth response protein 1	X52541; M62829
Growth factor	Insulin-like growth factor-binding protein 3	M31159; M35878
Growth factor	Insulin-like growth factor binding protein 4	M62403
IFN response	Interferon-induced protein MXA	M33882
IFN response	Interferon-inducible protein 9-27	J04164
Hormones, receptors	Nuclear hormone receptor	L76571
Extracellular matrix	Plasminogen	X05199
Extracellular matrix	Haemoglobin alpha subunit	V00491
Extracellular matrix	Decorin	M14219
Tumour associated	c-myc oncogene	V00568
Cell cycle	cyclin-dependent kinase inhibitor 1	U09579; L25610
DNA-binding and chromatin protein	DNA-binding protein CPBP	U44975
GTP binding protein	Transforming protein rhoB	X06820
