Probe set	GenBank accession no.	Change (n-fold)	Gene symbol	Full gene name	Description
1621_at	D85423	11.817	CDC5L	Cell division cycle 5-like	Transcription factor
39279_at	M60315	6.4661	BMP6	Bone morphogenetic protein 6	Induces cartilage and bone formation, TGFBeta family
1968_g_at	X76079	5.6861	PDGFR-A	Platelet-derived growth factor receptor alpha	PDGF receptor, tyrosine kinase
1560_g_at	U24153	5.5	PAK2	p21 (CDKN1A)-activated kinase-2	Serine/threonine-protein kinase PAK 2
597_at	M59964	5.255	KITLIG	KIT ligand	Stimulates mast cell proliferation
1536_at	U77949	4.7658	CDC6	Cell division cycle 6	Cell cycle regulatory protein
32126_at	M60828	4.4903	FGF7	Fibroblast growth factor 7	Keratinocyte growth factor
31805_at	M64347	4.3753	FGFR3	Fibroblast growth factor receptor 3	FGF family receptor
1945_at	M25753	3.7	CCNB1	Cyclin B1	G2/mitosis-specific cyclin B1
1069_at	U04636	3.5973	PTGS2	Prostaglandin endoperoxide synthase 2	Cyclo-oxygenase 2 (Cox-2)
40812_at	AF027153	3.5521	SLC5A3	Solute carrier family 5 member 3	Sodium/myo-inositol cotransporter
37804_at	AF038960	3.4047	SDK1	Suppressor of K+ transport defect 1	Intracellular protein trafficking
38677_at	U04735	3.3709	STCH	Stress 70 protein chaperone	Microsomal stress 70 protein ATPase core
38677_at	U04735	3.3709	STCH	Stress 70 protein chaperone	Microsomal stress 70 protein ATPase core
1609_g_at	HT4545a	3.3336	HGFR	Hepatocyte growth factor receptor	MET proto-oncogene, tyrosine kinase
34890_at	L09235	3.323	ATP6V1A1	ATPase vaculolar protein pump V1 subunit A isoform 1	H. transporting lysosomal proton pump
35547_at	AF058056	3.2909	SLC16A7	Solute carrier family 16 member 7	Monocarboxylic acid transporter
40463_at	U70322	3.2653	KPNB2	Karyopherin beta 2 (importin)	Nuclear import of ribonucleoproteins
36101_s_at	M63978	3.1945	VEGF	Vascular endothelial growth factor	Angiogenic, vasculogenic, endothelial growth factor
1380_at	M60828	3.1776	FGF7	Fibroblast growth factor 7	Keratinocyte growth factor
1537_at	X00588	2.9978	EGFR	Epidermal growth factor receptor	EGF family receptor, v-erbB oncogene
32903_at	L11695	2.9686	TGF BetaR1	Transforming growth factor Beta type 1 receptor	TGFBetaR serine/threonine kinase
158_at	U40992	2.8215	DNAJB4	Dnaj subfamilyB member 4	Heat shock protein
1466_s_at	S81661	2.8151	FGF7	Fibroblast growth factor 7	Keratinocyte growth factor
38268_at	U08989	2.5606	SLC1A1	Solute carrier family 1 member 1	Neuronal/epithelial glutamate transporter
33324_s_a	D88357	2.5505	CDC2	Cell division cycle 2	G1-to-S, G2-to-M cell cycle regulator
36508_at	AF030186	2.4995	GPC4	Glypican 4	Heparin sulfate cell surface proteoglycan
1943_at	X51688	2.4895	CCNA2	Cyclin A	G1-to-S, G2-to-M cell cycle regulator
36839_at	U77949	2.4867	CDC6	Cell division cycle 6	Cell cycle-regulatory protein
1575_at	M14758	2.4814	ABCB1	ATP-binding cassette subfamily B member 1	P-glycoprotein, multidrug resistance protein 1
1601_s_at	L27559	2.4248	IGFBP5	Insulin-like growth factor binding protein 5	IGF stabilizer, IGF inhibitor/stimulator
1954_at	AF035121	2.3478	KDR	Kinase insert domain receptor	VEGF receptor, tyrosine kinase
1828_s_at	M27968	2.3293	FGF2	Basic fibroblast growth factor	Heparin binding growth factor
35812_at	AJ133769	2.2596	TRN-SR	Transportin S receptor	Nucleocytoplasmic export
34955_at	AF071202	2.2566	ABCC4	ATP binding cassette subfamily C member 4	Multidrug resistance
551_at	U01877	2.2486	EP300	E1A binding protein p300	Transcriptional adapter involved in cell cycle regulation
160027_s_at	Y00285	2.2174	IGF2R	Insulin-like growth factor receptor 2	Lysosomal transport protein
1957_s_at	AF054598	2.2097	TGF betaR1	Transforming growth factor Beta type 1 receptor	TGF-BetaR, serine/threonine kinase
1824_s_at	J05614	2.1776	PCNA	Proliferating cell nuclear antigen	DNA polymerase delta auxiliary protein
1565_s_at	M96995	2.1637	GRB2	Growth factor receptor-bound protein 2	EGF and PDGF receptor signaling intermediary
1677_at	M65062	2.1609	IGFBP5	Insulin-like growth factor binding protein 5	IGF stabilizer, IGF inhibitor/stimulator
234_s_at	M57399	2.0998	PTN	Pleiotrophin	Neurite growth-promoting factor
41216_r_at	D13891	2.0909	ID2	Inhibitor of DNA binding 2	Dominant-negative helix-loop-helix protein
34476_r_at	D30783	2.0737	EREG	Epiregulin	EGF-related cell proliferation protein
1803_at	X05360	2.065	CDC2	Cell division cycle 2	G1-to-S, G2-to-M cell cycle regulator
41245_at	D49493	2.059	GDF10	Growth differentiation factor 10	Bone morphogenetic protein 3b
2021_a_at	M73812	2.0389	CCNE1	Cyclin E1	Cell cycle regulator at G1/S phase transition
1733_at	M60315	2.0159	BMP6	Bone morphogenetic protein 6	Induces cartilage and bone formation, TGFBeta family
