GenBank ID	Gene Name
AI535946	Lectin HL14
M14087	Lectin HL14
AI201310	cDNAqf71b11
M80899	AHNAK
AJ001687	NKG2D
U66838	Cyclin A1
M59040	CD44
M95929	Phox1
D25217	KIAA0027
AI597616	cDNAtn15f08
W72186	cDNAzd69b10
U41813	HOXA9
L05424	CD44
L05424	CD44
AC_004080	Chromosome 7 PAC
X05908	Annexin I
U78027	chromosome X BAC
Y00062	CD45
AF098641	CD44
Y000638	CD45
AF004230	monocyte elastase inhibitor
W60864	cDNAzd27g05
X55989	Eosinophil CRP
M93056	Monocyte MIR-7
AF027208	AC_133
Z83844	Chromosome 22 sequence
AL050396	DKFZp586K1720
AA978353	cDNAoq40b07
D21261	KIAA0120
L08177	EBV induced EBI2
L19182	MAC25
D28364	Annexin II
D15057	DAD-1
AF020044	C-type lectin precursor
AI138834	cDNAqe04b02
X73882	E-MAP-115
AF026816	Putative Oncogene
X17042	Proteoglycan I
M20867	glutamate dehydrogenase
U60060	FEZ1
AF025529	LIR-6
AB007888	KIAA0428
M13485	Metallothionein I-B
M26679	HOX A5
AL050267	DKFZp564A032
R92331	cDNA03h03
AL050162	DKFZp586B2022
AI017574	cDNAou23f10
M62896	Annexin II
AL050374	DKFZp586c1619
U67516	MAPKKK5
AF072099	Immunoglobulin-like transcript 3
X96753	chondroitin sulfate proteoglycan NG2
X52075	CD43
U38545	Phospholipase I
D00017	Annexin II
U02687	FLT-3
AA570193	cDNAnf38c11.s1
U21551	ECA39
X55988	eosinophil derived neurotoxin
D78177	quinolinate phosphoribosyl transferase
Z48579	disintegrin-metalloprotease
AF039656	NAP-22
Y00638	CD45
J03910	Metallothionein-IG
AF030339	VESPR
M28713	NADH-cytochrome B5 reductase
AB023209	KIAA0992
L40377	CAP2
D86181	galactocerebrosidase
M83215	AML1
X61118	LMO2
U01147	ABR
M96995	GRB2
AF040704	putative tumor suppressor (101F6)
U57971	calcium ATPase
AB028948	KIAA1025
U11791	cyclin H
AF022991	Rigui
L11669	Tetracycline-like transporter
U39064	MAPKK6
AF054176	Angiotensin
U87947	HNMP-1
L19872	AH-receptor
M36035	benzodiazepine receptor
U93305	Chromosome X p11 sequence
AF009615	ADAM10
X52541	EGR1
AF044253	potassium channel beta-2
M26683	Interferon gamma inducible mRNA
M31166	TSG-14
R93527	cDNAyq35f10.r1
X15998	chondroiton sulfate proteoglycan
X55990	eosinophil cationic protein
U73960	ARF-like protein 4
M13452	Lamin A
AI560890	cDNA tq41d05.x1
AB024057	vascular rab-gap
M97815	CRABP-II
M60614	WIT-1
