rank	accession	p-value	gene description
1	213122_at	0	Consensus includes gb:AI096375 /FEA=EST /DB_XREF=gi:3446286 /DB_XREF=est:qb91e08.x1 /CLONE=IMAGE:1707494 /UG=Hs.173094 Homo sapiens mRNA for KIAA1750 protein, partial cds
2	213317_at	0	Consensus includes gb:AL049313.1 /DEF=Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076). /FEA=mRNA /DB_XREF=gi:4500086 /UG=Hs.21103 Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076)
3	220230_s_at	0.001	gb:NM_016229.1 /DEF=Homo sapiens cytochrome b5 reductase b5R.2 (LOC51700), mRNA. /FEA=mRNA /GEN=LOC51700 /PROD=cytochrome b5 reductase b5R.2 /DB_XREF=gi:7706442 /UG=Hs.22142 cytochrome b5 reductase b5R.2 /FL=gb:AF169802.1 gb:NM_016229.1
4	205109_s_at	0.001	gb:NM_015320.1 /DEF=Homo sapiens Rho guanine nucleotide exchange factor (GEF) 4 (ARHGEF4), mRNA.  /FEA=mRNA /GEN=ARHGEF4 /PROD=KIAA1112 protein /DB_XREF=gi:9558722 /UG=Hs.6066 Rho guanine nucleotide exchange factor (GEF) 4 /FL=gb:AF249745.1 gb:NM_015320.1
5	212956_at	0.001	Consensus includes gb:AI348094 /FEA=EST /DB_XREF=gi:4085300 /DB_XREF=est:qp61g12.x1 /CLONE=IMAGE:1927558 /UG=Hs.90419 KIAA0882 protein
6	214743_at	0.001	Consensus includes gb:BE046521 /FEA=EST /DB_XREF=gi:8363574 /DB_XREF=est:hn48g06.x2 /CLONE=IMAGE:3026938 /UG=Hs.147049 cut (Drosophila)-like 1 (CCAAT displacement protein)
7	203910_at	0.002	gb:NM_004815.1 /DEF=Homo sapiens PTPL1-associated RhoGAP 1 (PARG1), mRNA. /FEA=mRNA /GEN=PARG1 /PROD=PTPL1-associated RhoGAP 1 /DB_XREF=gi:4758881 /UG=Hs.70983 PTPL1-associated RhoGAP 1 /FL=gb:U90920.1 gb:NM_004815.1
8	204669_s_at	0.004	gb:NM_007219.2 /DEF=Homo sapiens ring finger protein 24 (RNF24), mRNA. /FEA=mRNA /GEN=RNF24 /PROD=ring finger protein 24 /DB_XREF=gi:10518498 /UG=Hs.30524 ring finger protein 24 /FL=gb:NM_007219.2 gb:AF151081.1
9	203038_at	0.004	gb:NM_002844.1 /DEF=Homo sapiens protein tyrosine phosphatase, receptor type, K (PTPRK), mRNA.  /FEA=mRNA /GEN=PTPRK /PROD=protein tyrosine phosphatase, receptor type, K /DB_XREF=gi:4506316 /UG=Hs.79005 protein tyrosine phosphatase, receptor type, K /FL=gb:L77886.1 gb:NM_002844.1
10	221748_s_at	0.004	Consensus includes gb:AL046979 /FEA=EST /DB_XREF=gi:5435035 /DB_XREF=est:DKFZp586K0617_s1 /CLONE=DKFZp586K0617 /UG=Hs.9973 tensin
