Name	Ratio	GenbankNo.
Wingless-typeMMTVintegrationsitefamily,member16(WNT16)	-6.79	NM_057168
Collectionsub-familymember12(COLEC12)	-6.56	NM_130386
Wingless-typeMMTVintegrationsitefamilymember2(WNT2)	-6.48	NM_003391
MultipleC2domains,transmembrane2	-5.92	BC041387
Mohawkhomeobox(MKX)	-5.74	NM_173576
Q9NY18_HUMAN(Q9NY18)Calciumchannelalpha2-delta3subunit	-5.64	NA
Aldehydedehydrogenase1family,memberA3(ALDH1A3)	-5.61	NM_000693
Nuclearfactor(eryhroid-derived2)-like3(NFE2L3)	-5.59	NM_004289
Pottasiumchannel,subfamilyK,member1(KCNK1)	-5.44	NM_002245
Secretedfrizzled-relatedprotein1(SFRPI)	-5.42	NM_003012
BCL2-relatedproteinA1(BCL2A1)	-5.39	NM_004049
Hyaluronanandproteoglycanlinkprotein1(HAPLN1)	-5.38	NM_001884
Spondin1,extracellularmatrixprotein(SPON1)	-5.38	NM_006108
ChondroitinsulfateN-acetylgalactosaminyltransferase(CSGALNACTI)	-5.33	NM_018371
Integrin,aloha6(ITGA6)	-5.33	NM_000210
Transientreceptorpotentialcationchannel,subfamilyA,member1(TRPA1)	-5.32	NM_007332
HUT11protein	-5.31	AF263545
Nudix(nucleosidediphosphatelinkedmoietyX)-typemotif10(NUDT10)	-5.26	NM_153183
Fibonectinleucinerichtransmembraneprotein3(FLRT3)	-5.25	NM_198391
Podoplanin(PDPN)	-5.22	NM_006474
Heparansulfate(glucosamine)3-O-sulfotransferase1(HS3STI)	-5.1	NM_005114
Spermassociatedantigen16(SPAG16)	-5.08	NM_024532
Basonuclin2(BNC2)	-5.05	NM_017637
NDC80homolog,kinetochorecomplexcomponent(S.cerevisiae)(NDC80)	-4.96	NM_006101
AnnexinA3(ANXA3)	-4.95	NM_005139
NIMA(neverinmitosisgenea)-relatedkinase2(NEK2)	-4.93	NM_002497
Familywithsequencesimilarity20,memberA(FAM20A)	-4.91	NM_0017565
Rashomologgenefamily,memberU(RHOU)	-4.91	NM_021205
Familywithsequencesimilarity84,memberA(FAM84A)	-4.9	NM_145175
Tumornecrosisfactorreptorsuperfamily,member19(TNFRSF19)	-4.9	NM_148957
Shisahomolog3(Xenopuslaevis)(SHISA3)	-4.88	NM_001080505
Adipocyte-specificadhesionmolecule(ASAM)	-4.87	NM_024769
ComplementfactorI(CFI)	-4.79	NM_000204
Matrixmetallopeptidase3(stromelysin1,progelatinase)(MMP3)	-4.77	NM_002422
Thymosin-like8(TMSL8)	-4.76	NM_021992
UDP-GIcNAc:betaGalbeta-1,3-N-acetylglucosaminyltransferase5(B3GNT5)	-4.74	NM_032047
C3orf41protein.[Source:Uniprot/SPTREMBL;Acc:Q0VFW9][ENST00000383748]	-4.72	BC118551
ProstagladinEreceptor2(subtypeEP2),53kDa(PTGER2)	-4.7	NM_000956
Keratinassociatedprotein1-1(KRTAPI-1)	-4.69	NM_030967
Ureatransporter,erythrocyte	-4.61	AK123681
Prostaglandin12(prostacyclin)synthase(PTGIS)	-4.6	NM_000961
Leucine–richrepeattransmembraneneutonal2(LRRTM2)	-4.51	NM_015564
Synaptopodin2-like(SYNPO2L)	-4.5	NM_024875
Integrin,beta8(ITGB8)	-4.5	NM_002214
EPHreceptorA4(EPHA4)	-4.49	NM_004438
Membranemetallo-endopeptidase(MME)	-4.47	NM_007289
Zincfingerhomeobox4(ZFHX4)	-4.46	NM_024721
Eyesabsenthomolog2(Drosophila)(EYA2)	-4.45	NM_172113
Chemokine(C-X-Cmotif)ligand14(CXCL14)	-4.44	NM_004887
cDNA:FLJ23331fis,cloneHEP12664	-4.44	AK026984
