Gene Name	Access No.	Differential gene expression
HNRP A/B	HG110	Up-Regulated
Macmarcks	HG1612	Up-Regulated
Epican, Alt. Splice 11	HG298	Up-Regulated
Epican, Alt. Splice 12	HG2981	Up-Regulated
Proto-Oncogene C-Myc, Orf 114	HG3523	Up-Regulated
T-cell receptor active alpha-chain	M12959	Up-Regulated
c-myc-P64 (HLmyc2.5)	M13929	Up-Regulated
asparagine synthetase	M27396	Up-Regulated
TNFa inducible protein A20	M59465	Up-Regulated
threonyl-tRNA synthesase	M63180	Up-Regulated
MAD-3 (IkB-like activity)	M69043	Up-Regulated
I-Rel	M83221	Up-Regulated
receptor protein 4-1BB	U03397	Up-Regulated
glycyl-tRNA synthetase	U09510	Up-Regulated
NF-KB2	U20816	Up-Regulated
A1 protein	U29680	Up-Regulated
tyrosyl-tRNA synthetase	U40714	Up-Regulated
phosphotyrosine indepdt. ligand p62	U46751	Up-Regulated
neutral amino acid transporter B	U53347	Up-Regulated
CtBP interacting protein CtIP (CtIP)	U72066	Up-Regulated
guanine nucleotide regulatory factor (LFP40)	U72206	Up-Regulated
interleukin-2 receptor	X01057	Up-Regulated
pleckstrin (P47)	X07743	Up-Regulated
tra1 homologue of murine gp96	X15187	Up-Regulated
rhoG GTPase	X61587	Up-Regulated
S-adenosylmethione synthetase	X68836	Up-Regulated
rel proto-oncogene	X75042	Up-Regulated
MLN62	X80200	Up-Regulated
myosin-I beta	X98507	Up-Regulated
VASP gene	X98534	Up-Regulated
SIRP-alpha 1	Y10375	Up-Regulated
