Gene Symbol	Gene Description	RefSeq ID	UniGene ID	EntrzGene ID
BARD1	BRCA1 associated RING domain 1	NM_000465	Hs.591642	580
BRCA1	Breast cancer 1, early onset	NM_007295 NM_007294 NM_007296 NM_007302 NM_007297 NM_007299 NM_007300 NM_007304 NM_007303 NM_007305 NM_007298	Hs.194143	672
FANCA	Fanconi anemia, complementation group A	NM_000135 NM_001018112	Hs.567267	2175
FANCC	Fanconi anemia, complementation group C	NM_000136	Hs.494529	2176
FANCC	Fanconi anemia, complementation group C	BC006303	Hs.656658	2176
FANCC	Fanconi anemia, complementation group C	BC034271	Hs.672362	2176
FANCD2	Fanconi anemia, complementation group D2	NM_033084 NM_001018115	Hs.208388	2177
FANCE	Fanconi anemia, complementation group E	NM_021922	Hs.302003	2178
FANCF	Fanconi anemia, complementation group F	NM_022725	Hs.694767	2188
FANCG	Fanconi anemia, complementation group G	NM_004629	Hs.591084	2189
