dataset1	gene/protein	hits2	region	up/down3
M	MAGEA4	50	Xq28	down
M	PEBP4	50	8p21.3	down
M	CDO1	50	5q22-q23	up
M	VIL1	50	2q35-q36	down
M	TM4SF5	50	17p13.3	down
M	DUSP19	50	2q32.1	down
M	HDAC9	50	7p21.1	up
M	SEMA4G	50	10q24.31	down
M	ANPEP	50	15q25-q26	down
M	POU4F1	50	13q31.1	down
M	XKR4	50	8q12.1	down
M	F5	50	1q23	up
M	AHSG	50	3q27	down
M	SECTM1	50	17q25	down
M	GPRASP1	49	Xq22.1	down
M	WDR72	49	15q21.3	down
M	DNASE2B	48	1p22.3	up
M	CXCL14	48	5q31	up
M	MAGEA8	48	Xq28	down
M	NCALD	48	8q22.2	up
M	C11orf9	48	11q12-q13.1	down
M	CRYGC	48	2q33-q35	down
M	TRAPPC6B	48	14q21.1	down
M	SLAMF8	47	1q23.2	up
M	AGR3	45	7p21.1	up
M	TCTE1	45	6p21.1	down
M	TFF3	43	21q22.3	down
M	GDEP	41	4q21.1	down
M	SLC10A7	41	4q31.22	up
M	C5orf23	40	5p13.3	down
M	ESPNL	39	2q37.3	down
M	DOC2A	38	16p11.2	down
M	MED20	35	6p21.1	down
M	MXRA5	33	Xp22.33	up
M	LOC375646	32	8p23.1	down
M	LOC374495	30	13q13.2	down
M	PHYHIPL	30	10q11	down
M	SLC26A3	30	7q31	down
M	KIAA1244	30	6q23.3	up
M	RHCG	27	15q25	down
M	TREML3	24	6p21.1	down
M	MUC13	24	3q21.2	down
G	MCCC1	50	3q27	up
G	OS9	50	12q13	down
G	DCUN1D5	50	11q22.3	up
G	TRO	50	Xp11.22-p11.21	up
G	CCDC101	50	16p11.2	down
G	ALX3	50	1p13.3	down
G	EBNA1BP2	50	1p35-p33	up
G	BCL3	49	19q13.1-q13.2	up
G	GPD1L	49	3p22.3	up
G	NGB	49	14q24.3	down
G	IL31RA	49	5q11.2	down
G	SEPW1	48	19q13.3	up
G	PSTPIP1	48	15q24-q25.1	down
G	RNASEL	48	1q25	up
G	RNF34	45	12q24.31	down
G	ABHD3	41	18q11.2	down
G	SVOPL	41	7q34	up
G	TSEN34	38	19q13.4	up
G	ZNF7	36	8q24	up
G	BHMT	35	5q13.1-q15	down
G	SMYD5	32	2p13.2	up
G	NELF	29	9q34.3	up
