Gene name	Description	Genbank #	Fold change (oligo array)	Fold change (qPCR)	GO term
Mmp12	Matrix metalloproteinase 12	NM_05396	32.0 +- 0.4	n.d.	Elastase activity
Ela1	Elastase 1	NM_012552	1.7 +- 0.2	n.d.	Elastase activity; serine-type endopeptidase activity
Hp	Haptoglobin	NM_012582	1.8 +- 0.2	n.d.	Serine-type endopeptidase inhibitor activity
Serpine1	Serine (or cysteine) proteinase inhibitor, class E, member 1	NM_012620	1.9 +- 0.3	n.d.	Serine-type endopeptidase inhibitor activity
Gzma	Granzyme A	NM_153468	-1.7 +- 0.3	n.d.	Serine-type endopeptidase activity
Gzmk	Granzyme K	NM_017119	-1.6 +- 0.2	n.d.	Serine-type endopeptidase activity
Cfi	Complement factor I	NM_024157	2.0 +- 0.2	n.d.	Serine-type endopeptidase activity
Dpp7	Dipeptidylpeptidase 7	NM_031973	1.7 +- 0.2	n.d.	Serine-type endopeptidase inhibitor activity
Serpina10	Serine (or cysteine) proteinase inhibitor, clade A member 10	NM_133617	2.0 +- 0.3	n.d.	Serine-type endopeptidase inhibitor activity
Agt	Angiotensinogen	NM_134432	2.0 +- 0.1	n.d.	Serine-type endopeptidase inhibitor activity
Cstb	Cystatin B	NM_012838	1.6 +- 0.2	n.d.	Cysteine protease inhibitor activity
Itih4	Alpha-trypsin inhibitor, heavy chain 4	NM_019369	2.6 +- 0.3	n.d.	Serine-type endopeptidase inhibitor activity
Pttg1	Pituitary tumor-transforming 1	NM_022391	1.7 +- 0.2	n.d.	Cysteine protease inhibitor activity
Fetub	Fetuin beta	NM_053348	2.1 +- 0.2	n.d.	Cysteine protease inhibitor activity
