Gene Symbol	Affymetrix Probe Set ID	Transcript ID	GeneBank ID	Gene Name
BCL2L2	209311_at	g1944417	D87461	BCL2-like 2
DHODH	213632_at	Hs.94925	M94065	dihydroorotate dehydrogenase
MPHOSPH9	215731_s_at	Hs.86178	X98258	M-phase phosphoprotein 9
EDC4	202496_at	g7657509	NM_014329	enhancer of mRNA decapping 4
TAF15	202840_at	g4507352	NM_003487	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa
EP400	212375_at	Hs.306094	BE880591	E1A binding protein p400
DYRK4	212954_at	Hs.17154	AF263541	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4
CES2	213509_x_at	Hs.282975	AW157619	carboxylesterase 2 (intestine, liver)
NAE1	202268_s_at	g4502168	NM_003905	NEDD8 activating enzyme E1 subunit 1
C12orf24	204521_at	g9558740	NM_013300	chromosome 12 open reading frame 24
FMNL1	204789_at	g5174400	NM_005892	formin-like 1
RBL2	212331_at	Hs.79362	X76061	retinoblastoma-like 2 (p130)
CHD9	212615_at	Hs.10351	AI742305	chromodomain helicase DNA binding protein 9
ERAL1	212087_s_at	Hs.3426	AL562733	Era G-protein-like 1 (E. coli)
RRBP1	201204_s_at	Hs.98614	AA706065	ribosome binding protein 1 homolog 180kDa (dog)
SFPQ	201586_s_at	g4826997	NM_005066	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
ATP6V1A	201972_at	g6523820	AF113129	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
NUP93	202188_at	g7661901	NM_014669	nucleoporin 93kDa
MYL6B	204173_at	g4505302	NM_002475	myosin, light chain 6B, alkali, smooth muscle and non-muscle
MPHOSPH9	206205_at	g13430861	NM_022782	M-phase phosphoprotein 9
C1orf114	206721_at	g10880974	NM_021179	chromosome 1 open reading frame 114
CIAPIN1	208424_s_at	g10092672	NM_020313	cytokine induced apoptosis inhibitor 1
PFAS	213302_at	Hs.105478	AL044326	phosphoribosylformylglycinamidine synthase
CBFB	202370_s_at	g13124872	NM_001755	core-binding factor, beta subunit
SNRPF	203832_at	g4507130	NM_003095	small nuclear ribonucleoprotein polypeptide F
SMARCD1	209518_at	Hs.79335	AI869240	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
CSNK2A2	203575_at	g4503096	NM_001896	casein kinase 2, alpha prime polypeptide
MOBKL1B	214812_s_at	Hs.322903	D80006	MOB1, Mps One Binder kinase activator-like 1B (yeast)
TRAT1	217147_s_at	Hs.138701	AJ240085	T cell receptor associated transmembrane adaptor 1
SCCPDH	201826_s_at	g7705766	NM_016002	saccharopine dehydrogenase (putative)
NAP1L1	204528_s_at	g4758755	NM_004537	nucleosome assembly protein 1-like 1
CYTH3	206523_at	g8670548	NM_004227	cytohesin 3
TERT	207199_at	g4507438	NM_003219	telomerase reverse transcriptase
ADH1A	207820_at	g11496886	NM_000667	alcohol dehydrogenase 1A (class I), alpha polypeptide
LSR	208190_s_at	g7706247	NM_015925	lipolysis stimulated lipoprotein receptor
CASC3	207842_s_at	g6678887	NM_007359	cancer susceptibility candidate 3
ALDH1B1	209645_s_at	Hs.169517	NM_000692	aldehyde dehydrogenase 1 family, member B1
GSN	200696_s_at	g4504164	NM_000177	gelsolin (amyloidosis, Finnish type)
SMARCE1	211988_at	Hs.332848	BG289800	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
DAAM1	216060_s_at	Hs.197751	AK021890	dishevelled associated activator of morphogenesis 1
TOP2A	201292_at	Hs.156346	AL561834	topoisomerase (DNA) II alpha 170kDa
LGALS3	208949_s_at	g12654570	BC001120	lectin, galactoside-binding, soluble, 3
EIF2C2	213310_at	Hs.324504	AI613483	Eukaryotic translation initiation factor 2C, 2
GDPD5	213343_s_at	Hs.6748.0	AL041124	glycerophosphodiester phosphodiesterase domain containing 5
KARS	200840_at	g5031814	NM_005548	lysyl-tRNA synthetase
AZIN1	201772_at	g7706219	NM_015878	antizyme inhibitor 1
NSL1	209484_s_at	g9295185	AF201941	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)
JAM3 /// LOC100133502	212813_at	Hs.55016	AA149644	junctional adhesion molecule 3 /// hypothetical protein LOC100133502
PAXIP1	212825_at	Hs.173854	AI357401	PAX interacting (with transcription-activation domain) protein 1
HNRNPA1	214280_x_at	Hs.249495	X79536	heterogeneous nuclear ribonucleoprotein A1
TMED10	200929_at	g5803200	NM_006827	transmembrane emp24-like trafficking protein 10 (yeast)
RPN1	201011_at	g4506674	NM_002950	ribophorin I
CYP1A1	205749_at	g13325053	NM_000499	cytochrome P450, family 1, subfamily A, polypeptide 1
TYMS	202589_at	g4507750	NM_001071	thymidylate synthetase
MED1	203497_at	g4759265	NM_004774	mediator complex subunit 1
CALCR	207886_s_at	g4502546	NM_001742	calcitonin receptor
PSMD7	201705_at	g4506230	NM_002811	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
LAD1	203287_at	g5031844	NM_005558	ladinin 1
CRLF3	205474_at	g7705331	NM_015986	cytokine receptor-like factor 3
NFATC3	210555_s_at	g1835590	U85430	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
RPL6	200034_s_at	g4506656	NM_000970	ribosomal protein L6
ELAC2	201767_s_at	g11875212	NM_018127	elaC homolog 2 (E. coli)
LANCL1	202020_s_at	g5174444	NM_006055	LanC lantibiotic synthetase component C-like 1 (bacterial)
HPRT1	202854_at	g4504482	NM_000194	hypoxanthine phosphoribosyltransferase 1
FANCG /// VCP	203564_at	g4759335	NM_004629 Fanconi anemia, complementation group G /// valosin-containing protein
PCDH1	203918_at	g4505630	NM_002587	protocadherin 1
ZNF84	204453_at	g4508036	NM_003428	zinc finger protein 84
PKIA	204612_at	g5803126	NM_006823	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
TAGLN3	204743_at	g10047091	NM_013259	transgelin 3
ESPL1	204817_at	g6912453	NM_012291	extra spindle pole bodies homolog 1 (S. cerevisiae)
LSM6	205036_at	g5901997	NM_007080	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
TMEFF1	205123_s_at	g4507548	NM_003692	transmembrane protein with EGF-like and two follistatin-like domains 1
FOXE1	206912_at	g9257220	NM_004473	forkhead box E1 (thyroid transcription factor 2)
PDPN	208233_at	g7019416	NM_013317	podoplanin
RPS27A /// UBA52 /// UBB /// UBC	211296_x_at	g2647407	AB009010	ribosomal protein S27a /// ubiquitin A-52 residue ribosomal protein fusion product 1 /// ubiquitin B /// ubiquitin C
ITGB4	211905_s_at	g2293520	AF011375	integrin, beta 4
hCG_16001 /// RPL23A	213084_x_at	Hs.194657	BF125158	similar to ribosomal protein L23A /// ribosomal protein L23a
FNBP1L	215017_s_at	Hs.239681	AW270932	formin binding protein 1-like
RAG2	215117_at	Hs.159376	AW058148	recombination activating gene 2
GPAA1	215690_x_at	Hs.4742.1	AL157437	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)
ERGIC3	216032_s_at	Hs.169992	AF091085	ERGIC and golgi 3
UST	205139_s_at	g5032218	NM_005715	uronyl-2-sulfotransferase
KIAA0284	213242_x_at	Hs.182536	AB006622	KIAA0284
IFI30	201422_at	g5453695	NM_006332	interferon, gamma-inducible protein 30
TCTA	203054_s_at	g11560140	NM_022171	T-cell leukemia translocation altered gene
DGAT1 /// LOC727765	203669_s_at	g7382489	NM_012079	diacylglycerol O-acyltransferase homolog 1 (mouse) /// similar to diacylglycerol Oacyltransferase homolog 1 (mouse)
CCNF	204826_at	g4502620	NM_001761	cyclin F
TRADD	205641_s_at	g13378136	NM_003789	TNFRSF1A-associated via death domain
TAF1A	206613_s_at	g5032142	NM_005681	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa
SAT1	210592_s_at	g338335	M55580	spermidine/spermine N1-acetyltransferase 1
GRK4	210600_s_at	g971254	U33054	G protein-coupled receptor kinase 4
DOCK2	213160_at	Hs.17211	D86964	dedicator of cytokinesis 2
FEM1C	213341_at	Hs.47367	AI862658	fem-1 homolog c (C. elegans)
PWP1	201608_s_at	g5902033	NM_007062	PWP1 homolog (S. cerevisiae)
NUCB1	200649_at	g12803104	BC002356	nucleobindin 1
SPAG5	203145_at	g5453631	NM_006461	sperm associated antigen 5
OPRK1	207553_at	g4505510	NM_000912	opioid receptor, kappa 1
RAD51C	209849_s_at	g2909800	AF029669	RAD51 homolog C (S. cerevisiae)
NPAS2	213462_at	Hs.296355	AW000928	neuronal PAS domain protein 2
HNRNPC	200014_s_at	g4758543	NM_004500	heterogeneous nuclear ribonucleoprotein C (C1/C2)
FUCA1	202838_at	g4503802	NM_000147	fucosidase, alpha-L- 1, tissue
EPHB4	202894_at	g4758289	NM_004444	EPH receptor B4
KATNB1	203163_at	g5031816	NM_005886	katanin p80 (WD repeat containing) subunit B 1
TP63	209863_s_at	g3644039	AF091627	tumor protein p63
CTNND1	211240_x_at	g2224708	AB002382	catenin (cadherin-associated protein), delta 1
ZNHIT3	212544_at	Hs.2210	AI131008	zinc finger, HIT type 3
DGCR2	214198_s_at	Hs.2491	AU150824	DiGeorge syndrome critical region gene 2
---	207875_at	g7705671	NM_015882	---
NSL1	209483_s_at	Hs.24427	AF255793	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)
TICAM1	213191_at	Hs.29344	AF070530	toll-like receptor adaptor molecule 1
FAM169A	213954_at	Hs.91662	AB020695	family with sequence similarity 169, member A
RAD51C	206066_s_at	g4506390	NM_002876	RAD51 homolog C (S. cerevisiae)
KLF4	220266_s_at	g4758321	AF105036	Kruppel-like factor 4 (gut)
SNRPN /// SNURF	201522_x_at	g13027651	NM_003097	small nuclear ribonucleoprotein polypeptide N /// SNRPN upstream reading frame
TSTA3	201644_at	g6598326	NM_003313	tissue specific transplantation antigen P35B
E2F4	202248_at	g12652720	BC000110	E2F transcription factor 4, p107/p130-binding
HIRIP3	204504_s_at	g5803030	NM_003609	HIRA interacting protein 3
LRRC37A /// LRRC37A2	206088_at	g7662181	NM_014834	leucine rich repeat containing 37A /// leucine rich repeat containing 37, member A2
CNGA3	207261_at	g4502916	NM_001298	cyclic nucleotide gated channel alpha 3
LRRC48	208140_s_at	g13775213	NM_031294	leucine rich repeat containing 48
NR2F6	209262_s_at	g12803666	BC002669	nuclear receptor subfamily 2, group F, member 6
CTCF	202521_at	g5729789	NM_006565	CCCTC-binding factor (zinc finger protein)
POLR2K	202634_at	Hs.150675	AL558030	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
PHLPPL	213407_at	Hs.173373	AB023148	PH domain and leucine rich repeat protein phosphatase-like
TCN1	205513_at	g4507406	NM_001062	transcobalamin I (vitamin B12 binding protein, R binder family)
PPP1R12A	201603_at	Hs.16533	AI817061	protein phosphatase 1, regulatory (inhibitor) subunit 12A
DNAJC7	202416_at	g4507712	NM_003315	DnaJ (Hsp40) homolog, subfamily C, member 7
OXCT1	202780_at	g4557816	NM_000436	3-oxoacid CoA transferase 1
LPHN1	203488_at	g7662323	NM_014921	latrophilin 1
INHBB	205258_at	g9257224	NM_002193	inhibin, beta B
PNPLA4	209740_s_at	g458225	U03886	patatin-like phospholipase domain containing 4
ITPKC	213076_at	Hs.21453	D38169	inositol 1,4,5-trisphosphate 3-kinase C
MAN1C1	214180_at	Hs.8736	AW340588	mannosidase, alpha, class 1C, member 1
PLOD1	200827_at	g4557836	NM_000302	procollagen-lysine 1, 2-oxoglutarate 5- dioxygenase 1
PSMB10	202659_at	g4506190	NM_002801	proteasome (prosome, macropain) subunit, beta type, 10
ATP6V1C1	202872_at	Hs.86905	AW024925	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
C4orf8	203600_s_at	g4506480	NM_003704	chromosome 4 open reading frame 8
FANCA	203806_s_at	g4503654	NM_000135	Fanconi anemia, complementation group A
PTK6	206482_at	g5174646	NM_005975	PTK6 protein tyrosine kinase 6
PTPRC	207238_s_at	g4506306	NM_002838	protein tyrosine phosphatase, receptor type, C
ST7	207871_s_at	g11761623	NM_018412	suppression of tumorigenicity 7
AZIN1	212461_at	Hs.278614	BF793951	antizyme inhibitor 1
STAT5B	212549_at	Hs.24064	BE645861	signal transducer and activator of transcription 5B
HSPA4	208814_at	Hs.90093	AA043348	Heat shock 70kDa protein 4
NCKIPSD	216114_at	Hs.302061	AL049430	NCK interacting protein with SH3 domain
KIF14	206364_at	g7661877	NM_014875	kinesin family member 14
CNKSR2	206731_at	g7662367	NM_014927	connector enhancer of kinase suppressor of Ras 2
DDX28	203785_s_at	g8922975	NM_018380	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
PRELP	204223_at	g4506040	NM_002725	proline/arginine-rich end leucine-rich repeat protein
XK	206698_at	g10835266	NM_021083	X-linked Kx blood group (McLeod syndrome)
SERPINH1	207714_s_at	g4757923	NM_004353	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
WHSC1	209054_s_at	g4378016	AF083389	Wolf-Hirschhorn syndrome candidate 1
C3orf63	209285_s_at	Hs.23440	N38985	chromosome 3 open reading frame 63
---	216621_at	Hs.306307	AL050032	---
KHDRBS1	200040_at	g5730026	NM_006559	KH domain containing, RNA binding, signal transduction associated 1
TUBA1B	201090_x_at	g5174476	NM_006082	tubulin, alpha 1b
SFPQ	201585_s_at	Hs.180610	NM_005066	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
MPHOSPH6	203740_at	g5031918	NM_005792	M-phase phosphoprotein 6
KIF11	204444_at	g13699823	NM_004523	kinesin family member 11
TSPAN9	205665_at	g5729940	NM_006675	tetraspanin 9
AKAP3	207344_at	g5454075	NM_006422	A kinase (PRKA) anchor protein 3
---	207881_at	g7705677	NM_015887	---
RPN2	213399_x_at	Hs.75722	AI560720	ribophorin II
ATP1A1	220948_s_at	g4502268	NM_000701	ATPase, Na+/K+ transporting, alpha 1 polypeptide
TMEM59	200620_at	g4758571	NM_004872	transmembrane protein 59
PRKCSH	200707_at	g4506076	NM_002743	protein kinase C substrate 80K-H
RAN	200750_s_at	g4092053	AF054183	RAN, member RAS oncogene family
BCAP31	200837_at	g10047078	NM_005745	B-cell receptor-associated protein 31
NCAPD2	201774_s_at	Hs.5719	AK022511	non-SMC condensin I complex, subunit D2
SNX2	202114_at	g4507140	NM_003100	sorting nexin 2
NUTF2	202397_at	g5031984	NM_005796	nuclear transport factor 2
DHX9	202420_s_at	g13514819	NM_001357	DEAH (Asp-Glu-Ala-His) box polypeptide 9
RPP30	203436_at	g5454023	NM_006413	ribonuclease P/MRP 30kDa subunit
TTC35	203584_at	g7661909	NM_014673	tetratricopeptide repeat domain 35
PDIA5	203857_s_at	g5803120	NM_006810	protein disulfide isomerase family A, member 5
IFNAR1	204191_at	g10835182	NM_000629	interferon (alpha, beta and omega) receptor 1
MRPL28	204599_s_at	g5453835	NM_006428	mitochondrial ribosomal protein L28
CEP290	205250_s_at	g7662079	NM_014684	centrosomal protein 290kDa
INPP4B	205376_at	g4504706	NM_003866	inositol polyphosphate-4-phosphatase, type II, 105kDa
MST1R	205455_at	g4505264	NM_002447	macrophage stimulating 1 receptor (c-metrelated tyrosine kinase)
PRSS22	205847_at	g11545838	NM_022119	protease, serine, 22
CPN1	206256_at	g4503010	NM_001308	carboxypeptidase N, polypeptide 1
PSEN1	207782_s_at	g7549814	NM_007319	presenilin 1
CYTIP	209606_at	g431327	L06633	cytohesin 1 interacting protein
