Deregulated target genes	GenBank ID	TargetScan	miRBD	Pictar	miRanda	No. of sites (predicted by TargetScan)
PIM1	NM_002648	-0.33	74	-	146	2
MLLT3	NM_004529	-0.49	87	5.56	295	2
CDKN1A	NM_078467	-0.3	78	5.27	144	2
ADAM9	NM_003816	-0.38	67	1.68	159	1
FURIN	NM_002569	-0.33	50	6.23	153	2
YES1	NM_005433	-0.32	0	4.28	152	2
RASSF5	NM_182663	-0.44	61	4.98	291	3
PLAGL2	NM_002657	-0.32	60	6.28	443	3
SGK1	NM_005627	-0.56	79	6.83	153	2
IGF1	NM_001111283	-0.48	71	-	314	2
CCND2	NM_001759	-0.33	-	3.43	155	3
KLF11	NM_003597	-0.4	75	2.21	140	1
BTBD3	NM_014962	-0.78	87	0	582	3
UBE2B	NM_003337	-0.45	71	0.31	292	1
FBXO33	NM_203301	-0.51	88	1.28	289	2
KRAS	NM_0033360	-0.35	0	3.72	152	2
IGF1	NM_001111283	-0.48	71	-	314	2
CCND2	NM_001759	-0.46	70	2.99	151	2
MAPK6	NM_002748	-0.43	77	-	296	1
MAPK6	NM_002748	-0.4	72	-	158	1
LRIG3	NM_153377	-0.51	93	4.4	166	1
ARID3B	NM_006465	-0.49	82	20.42	291	3
DUSP10	NM_007207	-0.57	80	6.99	308	2
STIM1	NM_003156	-0.3	52	2.57	159	1
GADD45A	NM_001924	-0.54	78	0.92	162	1
PELI1	NM_020651	-0.86	99	3.18	462	3
MAPK6	NM_002748	-0.68	92	-	286	2
LRIG3	NM_153377	-0.51	92	4.4	163	1
CFL2	NM_138638	-0.46	77	9.9	281	2
