Gene Symbol	Accession	Naive IL-4/IFN-gamma	Mycobacteriumtuberculosis IL-4 4h	Mycobacteriumtuberculosis IL-4 48h	Mycobacteriumtuberculosis IFN-gamma 4h	Mycobacteriumtuberculosis IFN-gamma 48h	Category
Tlr2	NM_011905	–4.99	8.08	2.26	7.23	–14.13	Pattern recognition receptors and antigen capture
Tlr4	NM_021297	n.s.	n.s.	n.s.	n.s.	–9.3	Pattern recognition receptors and antigen capture
Fcer1g	NM_010185	–2	n.s.	n.s.	n.s.	n.s.	Pattern recognition receptors and antigen capture
Fccr1A	NM_010186	–9.42	n.s.	3.87	n.s.	n.s.	Pattern recognition receptors and antigen capture
Fccr2b	NM_010187	7.68	n.s.	n.s.	n.s.	–2.95	Pattern recognition receptors and antigen capture
Fccr3	NM_010188	n.s.	n.s.	n.s.	n.s.	–2.09	Pattern recognition receptors and antigen capture
Mrc1	NM_008625	7.63	n.s.	n.s.	n.s.	–11.68	Pattern recognition receptors and antigen capture
Msr1	AF203781	–2.7	n.s.	2.43	n.s.	3.15	Pattern recognition receptors and antigen capture
Msr2	AI536489	4.21	n.s.	n.s.	n.s.	–5.29	Pattern recognition receptors and antigen capture
Mac-1	BE634952	n.s.	n.s.	n.s.	n.s.	n.s.	Pattern recognition receptors and antigen capture
Itgax	NM_021334	4.94	n.s.	n.s.	n.s.	2.2	Pattern recognition receptors and antigen capture
Emr1	X93328	n.s.	n.s.	n.s.	n.s.	–2.3	Pattern recognition receptors and antigen capture
Cd14	NM_009841	n.s.	n.s.	n.s.	4.05	–3.32	Pattern recognition receptors and antigen capture
Cd44	AJ251594	n.s.	n.s.	n.s.	n.s.	2.71	Pattern recognition receptors and antigen capture
Cd80	X60958	n.s.	n.s.	2.71	n.s.	n.s.	Pattern recognition receptors and antigen capture
Cd83	NM_009856	n.s.	4.3	–2.67	5.72	–5.9	Pattern recognition receptors and antigen capture
Cd86	NM_019388	–3.45	n.s.	2.47	n.s.	n.s.	Pattern recognition receptors and antigen capture
H2-Aa	K01923	–6.71	n.s.	–4.62	n.s.	–2.32	Pattern recognition receptors and antigen capture
H2-M2	M26156	n.s.	n.s.	5.04	n.s.	n.s.	Pattern recognition receptors and antigen capture
H2-T24	NM_008207	n.s.	n.s.	2.8	n.s.	n.s.	Pattern recognition receptors and antigen capture
Dc-Sign	BB029700	n.s.	n.s.	n.s.	n.s.	n.s.	Lectins
Mincle	NM_019948	n.s.	11.15	34.64	25.59	4.84	Lectins
Arg1	NM_007482	11.88	n.s.	(n.d.)	n.s.	5.39	Biosynthesis
Nos2	NM_010927	n.s.	n.s.	n.s.	8.78	15.57	Biosynthesis
COX1	NM_008969	3.52	n.s.	n.s.	n.s.	–5.51	Biosynthesis
COX2	NM_011198	–14.37	7.14	19.12	9.41	12.92	Biosynthesis
Trfr	NM_011638	8.39	n.s.	–3.39	n.s.	n.s.	Biosynthesis
Mmp12	NM_008605	8.81	n.s.	n.s.	n.s.	3.96	Extracellular
Timp	NM_011593	n.s.	n.s.	2.76	n.s.	n.s.	Extracellular
Timp2	NM_011594	3.28	n.s.	n.s.	n.s.	n.s.	Extracellular
Csf1	NM_007778	–2.32	5.16	5.02	3.55	n.s.	Extracellular
Spi2-1	M64085	–18.13	3.42	4.36	n.s.	–2.4	Extracellular
Ccnb1-rs1	NM_007629	n.s.	n.s.	6.57	n.s.	n.s.	Cellcycle
Ccna2	NM_009828	n.s.	n.s.	2.97	n.s.	n.s.	Cellcycle
Ttk	NM_009445	n.s.	n.s.	2.78	n.s.	n.s.	Cellcycle
Cdc45	NM_009862	n.s.	n.s.	2.53	n.s.	n.s.	Cellcycle
IL-1a	NM_010554	n.s.	n.s.	3.12	3.53	5.61	Cytokines
IL-1b	NM_008361	n.s.	n.s.	n.s.	5.03	–3.84	Cytokines
IL-1F6	NM_019450	n.s.	n.s.	n.s.	n.s.	3.34	Cytokines
IL-1Ra	BE457883	n.s.	n.s.	n.s.	n.s.	3.37	Cytokines
IL-12p40	M86671	n.s.	n.s.	n.s.	8.22	n.s.	Cytokines
IL-18	NM_008360	–3.43	n.s.	n.s.	n.s.	n.s.	Cytokines
IL-15	NM_008357	n.s.	n.s.	2.1	2.63	n.s.	Cytokines
IL-6	J03783	n.s.	(n.d.)	8.52	9.01	n.s.	Cytokines
Tnf	NM_013693	–4.54	5.92	n.s.	6.99	6.81	Cytokines
IL-10	NM_010548	–2.56	n.s.	n.s.	n.s.	–4.14	Cytokines
Ifncr	NM_010511	n.s.	n.s.	n.s.	n.s.	–3.62	Cytokines
Ifnb	NM_010510	n.s.	n.s.	n.s.	4.09	n.s.	Cytokines
Ifi204	NM_008329	–6.27	n.s.	3.33	n.s.	n.s.	Cytokines
IP-10,CXCL10	NM_021274	–9.79	8.96	7.65	6.64	–4.17	Chemokines
MIG,CXCL9	NM_008599	–11.61	n.s.	n.s.	4.95	7.31	Chemokines
RANTES,CCL5	NM_013653	–4.14	4.45	6.7	7.59	4.59	Chemokines
GRO2/MIP2,	NM_009140	–6.15	20.29	14.9	7.92	n.s.	Chemokines
MCP1,CCL2,CXCL2	NM_011333	n.s.	n.s.	7.01	n.s.	9.36	Chemokines
MCP3,CCL7	X70058	n.s.	n.s.	7.98	n.s.	6.87	Chemokines
MCP-5,CCL12	NM_011331	n.s.	n.s.	3.51	n.s.	n.s.	Chemokines
MIP-1a,CCL3	NM_011337	n.s.	2.06	2.05	5.19	n.s.	Chemokines
MIP-1b,CCL4	NM_013652	n.s.	3.15	2.4	4.87	–2.59	Chemokines
MIP-1c,CCL9	NM_011338	7.09	n.s.	n.s.	n.s.	–2.47	Chemokines
TARC,CCL17	NM_011332	n.s.	n.s.	n.s.	n.s.	n.s.	Chemokines
MDC,CCL22	NM_009137	n.s.	n.s.	n.s.	n.s.	n.s.	Chemokines
IP9/I-TAC,CXCL11	NM_019494	–4.25	n.s.	n.s.	9.23	4.37	Chemokines
Gbp2	NM_010260	–7.52	3.81	n.s.	n.s.	n.s.	GBP and p47 GTPases
Gbp4	NM_008620	–80.50	n.s.	4.16	n.s.	n.s.	GBP and p47 GTPases
Igtp	NM_018738	–13.24	n.s.	3.2	n.s.	n.s.	GBP and p47 GTPases
Iigp	AF194871	–79.07	3.38	7.62	n.s.	–4.25	GBP and p47 GTPases
Ifi47,IRG-47	NM_008330	–10.99	3.26	2.44	n.s.	–2.78	GBP and p47 GTPases
