Accession no.	Gene name	Gene symbol	Biological process	P
D10630	Zinc finger proliferation 1	Zipro1	Transcription regulation	2.804E?13
L11316	Ect2 oncogene	Ect2	Signal transduction	4.347E?09
AA671429	Retroviral integration site 1	Ris2	NA	2.142E?08
U73170	ESTs, Mus musculus	NA	NA	1.378E?07
U80932	Serine/threonine kinase 6	Stk6	Cell cycle	1.378E?07
M63245	Aminolevulinic acid synthase 1	Alas1	Coenzymes and prosthetic group metabolism	2.792E?07
U62674	Histone gene complex 2	Hist2	Chromosome organization	3.942E?07
AB017608	Neurochondrin	Ncdn	NA	5.536E?07
M33988	H2A histone family, member X	H2afx	Chromosome organization	7.735E?07
AI553553	ESTs, Mus musculus	NA	NA	1.487E?06
AA856349	Protein regulator of cytokinesis 1	Prc1	Cell cycle	1.487E?06
AF013166	NIMA (never in mitosis gene a)-related expressed kinase 2	Nek2	Cell cycle	2.803E?06
L16926	Cell division cycle 25 homolog C(S. cerevisiae)	Cdc25c	Cell cycle	2.803E?06
AF069051	Pituitary tumor-transforming 1	Pttg1	Cell growth	2.803E?06
J04627	Methylenetetrahydrofolate dehydrogenase (NAD+dependent), methenyltetrahydrofolate cyclohydrolase	Mthfd2	Coenzymes and prosthetic group metabolism	2.803E?06
V00746	Histocompatibility 2, K region	H2-K	Defense response	3.82E?06
AA681998	ESTs, Mus musculus	NA	Cell cycle	5.182E?06
AF002823	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	Bub1	Cell cycle	5.182E?06
AI131895	ESTs, Mus musculus	NA	Cytoskeleton organization	5.182E?06
X53476	High mobility group nucleosomal binding domain 1	Hmgn1	NA	1.257E?05
AJ007360	Origin recognition complex, subunit 5 homolog (S. cerevisiae)	Orc5	DNA replication	1.257E?05
AI848304	Ribosomal protein, large, P1	Rplp1	Protein biosynthesis	1.257E?05
M29793	Troponin C, cardiac/slow skeletal	Tncc	NA	1.673E?05
AW049897	ESTs, Mus musculus	NA	NA	2.218E?05
AI846392	NS1-associated protein 1	Nsap1	RNA processing	2.218E?05
J04509	Jun proto-oncogene-related gene d1	Jund1	Transcription regulation	2.218E?05
AW060956	ESTs, Mus musculus	NA	NA	2.926E?05
D55720	Karyopherin (importin)  alpha 2	Kpna2	Protein transport	2.926E?05
X62622	Tissue inhibitor of metalloproteinase 2	Timp2	Cell growth	3.844E?05
AA165759	ESTs, Mus musculus	NA	NA	5.027E?05
AW047583	ESTs, Mus musculus	NA	NA	5.027E?05
AI849838	Cullin 1	Cul1	Cell cycle	5.027E?05
AW123269	ESTs, Mus musculus	NA	Cell cycle	6.546E?05
AF013486	Interferon ( alpha and  beta) receptor 2	Ifnar2	Cell growth	6.546E?05
Z35401	H2A histone family, member X	H2afx	Chromosome organization	6.546E?05
L31783	Uridine monophosphate kinase	Umpk	Nucleotide metabolism	6.546E?05
M68903	Integrin  beta 7	Itgb7	Signal transduction	6.546E?05
AW061324	Cell division cycle 20 homolog (S.cerevisiae)	Cdc20	Cell cycle	8.488E?05
AI049398	ESTs, Mus musculus			8.488E?05
