IMAGE clone	UniGene	Gene	Description	Fold differencec	P
366971	Hs.156346	TOP2A	Topoisomerase (DNA) IIa170-kDa	1.81	0.0008
810263	Hs.335798	RHPN2	Rhophilin, Rho GTPase-bindingprotein 2	1.7	0.00006
435303	Hs.397426	KIAA4146	KIAA1416 protein	1.58	0.0006
753464	Hs.33540	LOC389677	Similar to RIKEN cDNA 3000004N20	1.57	0.00004
742581	Hs.42173	C6orf107	Chromosome 6 open readingframe 107	1.57	0.00002
450653	Hs.84063	BCL2L11	BCL2-like 11 (apoptosis facilitator)	1.57	0.0009
129345	Hs.173946	PAPD1	PAP-associated domain containing1	1.57	0.00004
589967	Hs.301431	ZNF71	Zinc finger protein 71 (Cos26)	1.56	0.0002
725223	Hs.119563	PSME4	Proteasome (prosome, macropain) activator subunit 4	1.55	0.0008
452963	Hs.321390	CUGBP1	CUG triplet repeat, RNA-bindingprotein 1	1.54	0.0003
71622	Hs.496511	PRKCI	Protein kinase C, i	1.52	0.0007
757383	Hs.59236	ANKRD27	Ankyrin repeat domain 27 (VPS9 domain)	1.52	0.0001
220658	Hs.440394	MSH2	MutS homologue 2, colon cancer, nonpolyposis type1 (E. coli)	1.49	0.0003
1470530	Hs.435788	NCOA6	Nuclear receptor coactivator 6	1.47	0.0004
261567	Hs.25812	NBS1	Nijmegen breakage syndrome1 (nibrin)	1.47	0.00006
592928	Hs.173001	KIAA1221	KIAA1221protein	1.47	0.00003
839048	Hs.156682	IGSF4	Immunoglobulin superfamily, member 4	1.47	0.0003
773203	Hs.43627	SOX12	SRY (sex-determiningregionY) box12	1.42	0.0009
452423	Hs.326392	SOS1	Son of sevenless homologue 1 (Drosophila)	1.42	0.00006
306568	Hs.415997	COL6A1	Collagen, typeVI, a1	1.42	0.00002
855563	Hs.306251	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homologue 3	1.42	0.0009
128159	Hs.170472	TPR	Translocated promoter region (to activated METoncogene)	1.41	0.0002
343490	Hs.381189	CBX3	Chromobox homologue 3 (HP1chomologue, Drosophila)	1.41	0.0004
51737	Hs.437224	RBBP8	Retinoblastoma-bindingprotein 8	1.38	0.00003
247240	Hs.8258	C19orf13	Chromosome19 open readingframe13	1.38	0.0005
950667	Hs.36761	HRASLS	HRAS-like suppressor	1.37	0.0001
264117	Hs.343475	CTSD	Cathepsin D (lysosomal aspartyl protease)	1.35	0.0006
741790	Hs.7942	AFTIPHILIN	Aftiphilin protein	1.34	0.0004
490414	Hs.386198	EML4	Echinoderm microtubule-associated protein-like 4	1.34	0.001
230235	Hs.215766	GTPBP4	GTP-bindingprotein 4	1.34	0.0001
853066	Hs.5719	CNAP1	Chromosome condensation-related SMC-associated protein1	1.33	0.0002
950092	Hs.405144	SFRS3	Splicingfactor, arginine/serine ^ rich 3	1.32	0.0002
859857	Hs.442787	ZNF148	Zinc finger protein148 (pHZ-52)	1.32	0.0007
447569	Hs.282901	RNPC2	RNA-bindingregion (RNP1, RRM) containing2	1.32	0.0001
344942	Hs.109299	PPFIA3	Protein tyrosine phosphatase, interactingprotein (liprin), a3	1.32	0.0009
767419	Hs.274351	ZDHHC9	Zinc finger, DHHC domain-containing 9	1.32	0.0006
882434	Hs.362996	KIAA0779	KIAA0779 protein	1.31	0.00005
283329	Hs.252451	SEMA3A	Semaphorin 3A	1.31	0.0007
359184	Hs.439523	PRKR	Protein kinase, IFN-inducible	1.3	0.0006
180156	Hs.123654	PCF11	Pre-mRNA cleavage complex II protein Pcf11	1.3	0.0002
180156	Hs.128959		EST	1.3	0.0002
740707	Hs.269902	KIAA0494	KIAA0494 protein	1.28	0.0006
884892	Hs.7838	MKRN1	Makorin, ringfinger protein, 1	1.27	0.00002
826135	Hs.367811	STK38	Serine/threonine kinase 38	1.26	0.0007
838359	Hs.77890	GUCY1B3	Guanylate cyclase1, soluble, b3	1.26	0.00008
878174	Hs.388164	FADS2	Fatty acid desaturase 2	1.26	0.0006
837864	Hs.94262	DD5	Progestin-induced protein	1.26	0.0008
753914	Hs.512235	ITPR2	Inositol1,4,5-triphosphate receptor, type 2	1.26	0.0006
825197	Hs.131168	1-Sep	Strand-exchange protein 1	1.25	0.0006
815772	Hs.369284	C20orf6	Chromosome 20 open readingframe 6	1.24	0.0009
754654	Hs.118964	p66a	P66 a	1.23	0.0002
384018	Hs.411300	WBP4	WW domain-bindingprotein 4 (formin-bindingprotein 21)	1.23	0.00002
320834	Hs.386404	UBE4B	Ubiquitination factor E4B (UFD2 homologue, yeast)	1.22	0.0007
73596	Hs.35086	USP1	Ubiquitin-specific protease 1	1.19	0.0003
743727	Hs.389638	FLJ41501	Clone BRTHA2006975	0.86	0.0006
277134	Hs.93836	CIP98	CASK-interactingprotein CIP98	0.85	0.0009
433289	Hs.117331	TREML1	Triggering receptor expressed on myeloid cells-like1	0.84	0.0009
811999	Hs.6455	RUVBL2	RuvB-like 2 (E. coli)	0.83	0.0003
1292893	Hs.125785	LOC149018	Hypothetical LOC149018, mRNA	0.83	0.0009
813735	Hs.410314	PCDH16	Protocadherin16 dachsous-like (Drosophila)	0.81	0.0006
814271	Hs.18885	CGI-116	CGI-116 protein	0.79	0.0004
399563	Hs.120332		EST	0.78	0.0004
814129	Hs.283716	MSCP	Mitochondrial solute carrier protein	0.77	0.00002
490484	Hs.356349	ZNF145	Zinc finger protein 145 (Kruppel-like, expressed in PML)	0.77	0.0007
47043	Hs.154138	CHI3L2	Chitinase3 ^like2	0.73	0.001
470035	Hs.14060	PROK1	Prokineticin1	0.71	0.0007
2571195	Hs.406683	RPS15	Ribosomal protein S15	0.71	0.0003
303109	Hs.123464	P2RY5	Purinergic receptor P2Y, G-protein coupled, 5	0.7	0.0005
431231	Hs.381870	EFEMP2	Epidermal growth factor ^ containing fibulin-like ECM protein 2	0.7	0.0006
280950	Hs.422340	SRI	Sorcin	0.66	0.0001
453183	Hs.301302	SCAM-1	Vinexin b (SH3-containingadaptor molecule-1)	0.66	0.0004
490556	Hs.26518	TM4SF7	Transmembrane 4 superfamily member 7	0.63	0.0001
502499	Hs.75835	PMM1	Phosphomannomutase1	0.61	0.0001
344720	Hs.81994	GYPC	Glycophorin C (Gerbich blood group)	0.6	0.0003
2559389	Hs.150833	C4A	Complement component 4A	0.58	0.0008
2784073	Hs.322431	NEUROD2	Neurogenic differentiation 2	0.54	0.0005
898305	Hs.439671	NBL1	Neuroblastoma, suppression of tumorigenicity 1	0.54	0.00002
756372	Hs.37682	RARRES2	Retinoic acid receptor responder (tazarotene-induced) 2	0.52	0.0003
1474174	Hs.367877	MMP2	Matrix metalloproteinase-2 (72-kDa type IV collagenase)	0.5	0.00004
462939	Hs.526933		EST	0.48	0.001
823851	Hs.469463	AEBP1	AE-bindingprotein1	0.41	0.0007
