Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
36620_at	superoxide dismutase 1 soluble amyotrophic lateral sclerosis 1 adult	SOD1	X02317	Above
37350_at	clone 889N15 on chromosome Xq22.1-22.3. Contains part of the gene for a novel protein similar to X. laevis Cortical Thymocyte Marker CTX	PSMD10	AL031177	Above
41724_at	accessory proteins BAP31/BAP29	DXS1357E	X81109	Above
38738_at	SMT3 suppressor of mif two 3 yeast homolog 1	SMT3H1	X99584	Above
40480_s_at	FYN oncogene related to SRC FGR YES	FYN	M14333	Above
38518_at	sex comb on midleg Drosophila like 2	SCML2	Y18004	Above
31492_at	muscle specific gene	M9	AB019392	Below
35688_g_at	mature T-cell proliferation 1	MTCP1	Z24459	Above
35939_s_at	POU domain class 4 transcription factor 1	POU4F1	L20433	Above
36128_at	transmembrane trafficking protein	TMP21	L40397	Above
37014_at	myxovirus influenza resistance 1 homolog of murine interferon-inducible protein p78	MX1	M33882	Above
34374_g_at	upstream regulatory element binding protein 1	UREB1	Z97054	Above
688_at	proteasome prosome macropain 26S subunit ATPase 1	PSMC1	L02426	Above
39878_at	protocadherin 9	PCDH9	AI524125	Below
38771_at	histone deacetylase 1	HDAC1	D50405	Below
865_at	ribosomal protein S6 kinase 90kD polypeptide 3	RPS6KA3	U08316	Above
41143_at	calmodulin (CALM1) gene	CALM1	U12022	Above
39867_at	Tu translation elongation factor mitochondrial	TUFM	S75463	Below
41470_at	prominin mouse like 1	PROML1	AF027208	Above
41503_at	KIAA0854 protein	KIAA0854	AB020661	Below
2039_s_at	FYN oncogene related to SRC FGR YES	FYN	M14333	Above
36845_at	KIAA0136 protein	KIAA0136	D50926	Above
36940_at	TGFB1-induced anti-apoptotic factor 1	TIAF1	D86970	Above
32236_at	ubiquitin-conjugating enzyme E2G 2 homologous to yeast UBC7	UBE2G2	AF032456	Above
36885_at	spleen tyrosine kinase	SYK	L28824	Below
40200_at	heat shock transcription factor 1	HSF1	M64673	Below
40842_at	 U1 snRNP-specific protein A gene	SNRPA	M60784	Below
40514_at	hypothetical 43.2 Kd protein	LOC51614	AF091085	Below
41222_at	signal transducer and activator of transcription 6 (STAT6) gene	STAT6	AF067575	Below
1294_at	ubiquitin-activating enzyme E1-like	UBE1L	L13852	Below
34315_at	AFG3 ATPase family gene 3 yeast like 2	AFG3L2	Y18314	Above
39806_at	DKFZP547E2110 protein	DKFZP547E2110	AL050261	Above
40875_s_at	small nuclear ribonucleoprotein 70kD polypeptide RNP antigen	SNRP70	X06815	Below
38458_at	cytochrome b5 (CYB5) gene	CYB5	L39945	Above
1817_at	prefoldin 5	PFDN5	D89667	Below
34709_r_at	stromal antigen 2	STAG2	Z75331	Above
33447_at	myosin light polypeptide regulatory non-sarcomeric 20kD	MLCB	X54304	Above
1077_at	recombination activating gene 1	RAG1	M29474	Below
1915_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	V01512	Above
38854_at	KIAA0635 gene product	KIAA0635	AB014535	Above
37732_at	RING1 and YY1 binding protein	RYBP	AL049940	Above
35940_at	POU domain class 4 transcription factor 1	POU4F1	X64624	Above
34733_at	splicing factor 3a subunit 1 120kD	SF3A1	X85237	Below
245_at	selectin L lymphocyte adhesion molecule 1	SELL	M25280	Below
40146_at	RAP1B member of RAS oncogene family	RAP1B	AL080212	Below
40104_at	serine/threonine kinase 25 Ste20 yeast homolog	STK25	D63780	Below
430_at	nucleoside phosphorylase	NP	X00737	Above
36899_at	special AT-rich sequence binding protein 1 binds to nuclear matrix/scaffold-associating DNA s	SATB1	M97287	Below
35727_at	hypothetical protein FLJ20517	FLJ20517	AI249721	Below
38649_at	KIAA0970 protein	KIAA0970	AB023187	Below
36107_at	ATP synthase H transporting mitochondrial F0 complex subunit F6	ATP5J	AA845575	Above
38789_at	transketolase Wernicke-Korsakoff syndrome	TKT	L12711	Below
39301_at	calpain 3 p94	CAPN3	X85030	Below
41278_at	BAF53	BAF53A	AF041474	Below
41162_at	protein phosphatase 1G formerly 2C magnesium-dependent gamma isoform	PPM1G	Y13936	Below
37819_at	hypothetical protein	LOC54104	AF007130	Below
38717_at	DKFZP586A0522 protein	DKFZP586A0522	AL050159	Below
40019_at	ecotropic viral integration site 2B	EVI2B	M60830	Above
39489_g_at	protocadherin 9	PCDH9	W27720	Below
857_at	protein phosphatase 1A formerly 2C magnesium-dependent alpha isoform	PPM1A	S87759	Above
32804_at	RNA binding motif protein 5	RBM5	AF091263	Below
37676_at	phosphodiesterase 8A	PDE8A	AF056490	Below
1519_at	v-ets avian erythroblastosis virus E26 oncogene homolog 2	ETS2	J04102	Above
37680_at	A kinase PRKA anchor protein gravin 12	AKAP12	U81607	Below
548_s_at	spleen tyrosine kinase	SYK	S80267	Below
39797_at	KIAA0349 protein	KIAA0349	AB002347	Above
32789_at	nuclear cap binding protein subunit 2 20kD	NCBP2	AA149428	Below
