Gene symbol	Gene description	Genbank accession	Fold change
EBI3	Epstein–Barr virus induced gene 3	NM_005755	2.6
PTPN1	Protein tyrosine phosphatase, non-receptor type 1	NM_002827	2.6
PRND	Prion protein 2 (doublet)	NM_012409	2.6
DLG2	Discs, large homolog 2 (Drosophila)	NM_001364	2.7
USP33	Ubiquitin-specific peptidase 33	NM_015017	2.7
PFN2	Profilin 2	NM_053024	2.7
TIGD1	Tigger transposable element-derived 1	NM_145702	2.7
CAPN10	Calpain 10	NM_023089	2.8
WFDC2	WAP four-disulfide core domain 2	NM_080736	2.8
IL32	Interleukin 32	NM_001012631	2.8
OBP2B	Odorant-binding protein 2B	NM_014581	2.9
FCAR	Fc fragment of IgA, receptor	NM_002000	2.9
TFPI2	Tissue factor pathway inhibitor 2	NM_006528	2.9
KRT6B	Keratin 6B	NM_005555	3
FMR1NB	Fragile X mental retardation 1 neighbor	NM_152578	3
WBSCR17	Williams–Beuren syndrome chromosome region 17	NM_022479	3
PTCHD1	Patched domain containing 1	NM_173495	3
NRCAM	Neuronal cell adhesion molecule	NM_005010	3.1
PCDHB1	Protocadherin beta 1	NM_013340	3.1
OR1S2	Olfactory receptor, family 1, subfamily S, member 2	NM_001004459	3.1
IL7R	Interleukin 7 receptor	NM_002185	3.1
FHL1	Four and a half LIM domains 1	NM_001449	3.1
LTB	Lymphotoxin beta (TNF superfamily, member 3)	NM_002341	3.1
HAAO	3-Hydroxyanthranilate 3,4-dioxygenase	NM_012205	3.2
PARP8	Poly (ADP-ribose) polymerase 8 (EC 2.4.2.30)		3.2
CLEC11A	C-type lectin domain family 11, member A	NM_002975	3.2
PDE4DIP	Phosphodiesterase 4D interacting protein (myomegalin)	NM_014644	3.2
COL7A1	Collagen, type VII, alpha 1	NM_000094	3.3
PPID	Peptidylprolyl isomerase D (cyclophilin D)	NM_005038	3.5
OLAH	Oleoyl-ACP hydrolase	NM_018324	3.6
SOX10	SRY (sex-determining region Y)-box 10	NM_006941	3.6
MMP9	Matrix metallopeptidase 9	NM_004994	3.7
TMCC2	Transmembrane and coiled-coil domain family 2	NM_014858	3.9
GPX2	Glutathione peroxidase 2	NM_002083	3.9
CD1E	CD1e molecule	NM_030893	4.1
NPY5R	Neuropeptide Y receptor Y5	NM_006174	4.2
PHB	Prohibitin	NM_002634	4.3
SYT6	Synaptotagmin VI	NM_205848	4.3
PGAP1	GPI deacylase	NM_024989	4.4
NLRP7	NLR family, pyrin domain containing 7	NM_139176	4.4
MYH2	Myosin, heavy chain 2, skeletal muscle	NM_017534	4.5
GDPD4	Glycerophosphodiester phosphodiesterase domain containing 4	NM_182833	4.6
SLC45A1	Solute carrier family 45, member 1	NM_001080397	5
PTHR1	Parathyroid hormone receptor 1	NM_000316	5
ZNF596	Zinc finger protein 596	NM_173539	5.1
TM4SF1	Transmembrane 4 L six family member 1	NM_014220	5.2
CHIT1	Chitinase 1	NM_003465	5.2
ASTN1	Astrotactin 1	NM_004319	5.5
DKK4	Dickkopf homolog 4	NM_014420	5.7
DACH1	Dachshund homolog 1	NM_080759	5.9
TP53INP1	Tumour protein p53 inducible nuclear protein 1	NM_033285	5.9
A2M	Alpha-2-macroglobulin	NM_000014	5.9
BMP8A	Bone morphogenetic protein 8a	NM_181809	6.1
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1	NM_002944	6.1
OR10H3	Olfactory receptor, family 10, subfamily H, member 3	NM_013938	6.2
GLRA3	Glycine receptor, alpha 3	NM_006529	6.5
FPRL2	Formyl peptide receptor-like 2	NM_002030	6.6
ENST00000374458	Gametogenetin-binding protein 1		6.8
GARNL4	GTPase-activating Rap/RanGAP domain-like 4	NM_015085	6.8
PTP4A3	Protein tyrosine phosphatase type IVA, member 3	NM_032611	6.9
SLFN11	Schlafen family member 11	NM_152270	7
VN1R5	Vomeronasal 1 receptor 5	NM_173858	7
PKHD1	Polycystic kidney and hepatic disease 1	NM_138694	7.2
SPAG11B	Sperm associated antigen 11B	NM_016512	7.4
SORCS2	Sortilin-related VPS10 domain containing receptor 2	NM_020777	7.8
CNTNAP3	Contactin-associated protein-like 3	NM_033655	8.1
TAS2R1	Taste receptor, type 2, member 1	NM_019599	8.2
IL17RB	Interleukin 17 receptor B	NM_018725	9
EDN2	Endothelin 2	NM_001956	9
NRAP	Nebulin-related anchoring protein	NM_198060	9.1
NNT	Nicotinamide nucleotide transhydrogenase		9.2
LRRC43	Leucine-rich repeat containing 43	NM_152759	9.2
IRX3	Iroquois homeobox protein 3	NM_024336	9.3
S100A7A	S100 calcium-binding protein A7A	NM_176823	9.4
SLC26A3	Solute carrier family 26, member 3	NM_000111	9.8
IL1RL2	Interleukin 1 receptor-like 2	NM_003854	10.5
SLC26A10	Solute carrier family 26, member 10	NM_133489	10.9
SNTG2	Syntrophin, gamma 2	NM_018968	11.1
C9orf121	Chromosome 9 open reading frame 121	NM_145283	11.4
OR56B1	Olfactory receptor, family 56, subfamily B, member 1	NM_001005180	12
HTR1E	5-Hydroxytryptamine (serotonin) receptor 1E	NM_000865	12.8
PPM1L	Protein phosphatase 1 (formerly 2C)-like	NM_139245	13.4
OR10H4	Olfactory receptor, family 10, subfamily H, member 4	NM_001004465	13.6
SYN1	Synapsin I	NM_006950	14.1
CNGB3	Cyclic nucleotide gated channel beta 3	NM_019098	14.3
MAGEE1	Melanoma antigen family E, 1	NM_020932	14.4
	Similar to amyotrophic lateral sclerosis 2	XM_372002	14.8
POU4F1	POU domain, class 4, transcription factor 1	NM_006237	15.7
