Accession number	Gene name	Gene function	Ratio value
U96628	Nuclear antigen H731-like protein	Tumor suppressor	0.16
U72649	B-cell translocation gene 2 (BTG2)	Tumor suppressor	0.18
Y15409	Putative glucose 6-phosphate translocase	Gluconeogenesis	0.18
Z21507	Elongation factor-1-delta	Translation factor	0.2
L13463	Helix-loop-helix basic phosphoprotein (G0S8)	Cell cycle correlation	0.21
S68805	L-arginine:glycine amidinotransferase	Amino transferase	0.22
AF041474	BAF53a (BAF53a)	Chromatin reformation	0.22
X05130	Prolyl 4-hydoxylase beta subunit	Hydroxylase	0.22
AF067855	Geminin Cell cycle	correlation	0.25
D87810	Phosphomannomutase	Glycometabolism	0.25
D28540	CDC10 homologue	Cell cycle correlation	0.27
L37368	RNA-binding protein	RNA metabolism	0.27
Y00711	Lactate dehydrogenase B (LDH-B)	Dehydrogenase	0.27
M24103	Trans-golgi network glycoprotein 51 (TGN)	-	0.29
M64930	Protein phosphatase 2A beta subunit	Signal transduction	0.29
X81197	Archain	Membranin	0.31
U75686	Polyadenylate binding protein	Signal transduction	0.32
AF133659	ATP-binding cassette 7 iron transporter (ABC7)	Iron transfer	0.32
M61832	S-adenosylhomocysteine hydrolase (AHCY)	Hydrolase	0.33
Z23064	HnRNP G protein	RNA-binding protein	0.34
X85960	TRK-T3 oncogene	Oncogene	0.35
L18887	Calnexin	Calcium binding protein	0.35
J02966	Mitochondrial ADP/ADT translocator	ATP/ADP transport	0.35
X78678	Ketohexokinase	Glycometabolism	0.35
M58460	75-kD autoantigen (PM-Sc1)	Autoantigen	0.35
L12711	Transketolase (tk)	Ribose metabolism	0.35
S75311	Glycosyl phosphatidylinositol (GPI)-linked glycoprotein CD24	Signal transduction	0.35
U46838	MCM105 protein	Cell cycle correlation	0.36
Y11312	Phosphoinositide 3-kinase	Signal transduction	0.36
U83908	PDCD4 (programmed cell death 4)	Tumor suppressor	0.36
