Probe name	Gene symbol	GenBank accession no.	Description	NDL (mean) (n=14)	HBT (mean) (n=16)	HBT/NDL	P
2079_s_at	IGF2	M13970	Human insulin-like growth factor 2 (IGF-II) gene, exon 1 of 4	685.2	4116.8	6	<0.001
571_at	NAP1L1	M86667	Homo sapiens NAP1 (nucleosome assembly protein 1)-like 1 mRNA, complete cds	212.6	1235.4	5.8	<0.001
786_at	POLA2	X06745	DNA polymerase ?-subunit (AA 1 - 1462)	31.9	163.9	5.1	<0.001
133_at	CTSC	X87212	Cathepsin C	199.7	866.8	4.3	<0.001
1782_s_at	STMN1	M31303	Human stathmin1/oncoprotein 18 gene	177.3	694.9	3.9	<0.001
491_at	PTPRG	U46116	Human receptor tyrosine phosphatase ? (PTPRG) gene, exon 30, and complete cds	32.4	123.1	3.8	<0.001
282_at	MPHOSPH1	L16782	Human putative M phase phosphoprotein 1 (MPP1) mRNA, partial cds	39.8	140.6	3.5	<0.001
421_at	TPR	X66397	Translocated promoter region (to activated MET oncogene)	100.6	353.6	3.5	<0.001
1913_at	CCNG2	U47414	Cyclin G2	52.3	181.4	3.5	<0.001
893_at	E2-EPF	M91670	Human ubiquitin carrier protein (E2-EPF) mRNA, complete cds	80.5	277.2	3.4	<0.001
490_g_at	MUTYH	U63329	MutY (Escherichia coli) homolog	85.8	288	3.4	<0.001
538_at	CD34	S53911	CD34 antigen	252.3	835.3	3.3	<0.001
1908_at	ETV3	L16464	Ets variant gene 3	119.8	388.2	3.2	<0.001
1809_at	CDC7L1	AB003698	H. sapiens mRNA for Cdc7-related kinase (CDC7-like 1)	66.4	214.7	3.2	<0.001
861_g_at	MSH2	U03911	MutS (E. coli) homolog 2 (colon cancer, nonpolyposis type 1)	34.2	108.4	3.2	<0.001
435_g_at	H1F0	X03473	Histone H1 (0) (amino acids 1–194)	51.9	161.9	3.1	<0.001
1839_at	RAN	NM_006325	GTP-binding protein RAN/TC4	247.8	772.4	3.1	<0.001
