Gene Name	Access No.	Differential gene expression
hCREM: cyclic AMP-responsive element	D14826	Up-Regulated
Proto-Oncogene C-Myc, Orf 114	HG3523	Up-Regulated
Rhesus (Rh) Blood Group System Ce-Antigen	HG627	Up-Regulated
amyloid protein homolog	L09209	Up-Regulated
TR3 orphan receptor	L13740	Up-Regulated
c-myc-P64 (HLmyc2.5)	M13929	Up-Regulated
E16	M80244	Up-Regulated
splicing factor SRp40-3 (SRp40)	U30827	Up-Regulated
DNA-binding protein CPBP (CPBP)	U44975	Up-Regulated
serine proteinase inhibitor (P19)	U71364	Up-Regulated
S-adenosylmethiorine synthesase	X68836	Up-Regulated
rel proto-oncogene	X75042	Up-Regulated
fb19	Y13247	Up-Regulated
