Acc. No.	Gene Name	Category
AI087216	Cyclin-dependent kinase 4	Cell cycle regulators
R54354	CD81 Antigen	Cell-surface antigens & cell adhesion proteins
XM_030120	Butyrophilin protein (LOC90227)	Cell-surface antigens & cell adhesion proteins
H26162	Integrin, alpha6	Cell-surface antigens & cell adhesion proteins
NM_000213	Integrin, beta4	Cell-surface antigens & cell adhesion proteins
NM_004995	Matrix metalloproteinase 14 (MT1-MMP)	Cell-surface antigens & cell adhesion proteins
AF063936	Putative neuronal cell adhesion molecule (NCAM)	Cell-surface antigens & cell adhesion proteins
NM_003286	DNA topoisomerase I	DNA synthesis, repair & recombination proteins
NM_001067	DNA topoisomerase II alpha	DNA synthesis, repair & recombination proteins
AK057293	Chromogranin A	Growth factors, cytokines & chemokines
R60197	Latent TGF-beta	Growth factors, cytokines & chemokines
W45557	IGF-binding protein 4	Growth factors, cytokines & chemokines
AA206052	Myeloid leukemia factor 2	Growth factors, cytokines & chemokines
XM_012444	Neogenin (chicken) homolog 1	Growth factors, cytokines & chemokines
AI524696	Vascular endothelial growth factor B	Growth factors, cytokines & chemokines
NM_000044	Androgen receptor	Hormone receptors
NM_013360	Coagulation factor III (thromboplastin, tissue factor)	Intracellular signal transduction modulators & effectors
AI718588	Complement component (3b/4b) receptor 1	Intracellular signal transduction modulators & effectors
AI587350	G protein-coupled receptor 9	Intracellular signal transduction modulators & effectors
H16711	G protein-coupled receptor kinase 6	Intracellular signal transduction modulators & effectors
H26359	Gq protein, alpha11	Intracellular signal transduction modulators & effectors
R42435	FAST kinase	Intracellular signal transduction modulators & effectors
NM_001699	AXL receptor tyrosine kinase	Intracellular signal transduction modulators & effectors
BC0001777	Hippocalcin	Intracellular signal transduction modulators & effectors
XM_035177	Protein kinase C-binding protein RACK7	Intracellular signal transduction modulators & effectors
BC015229	Cyclophilin-like protein	Intracellular signal transduction modulators & effectors
AC_003024	FK-506 binding protein homologue (FKBP38)	Intracellular signal transduction modulators & effectors
AI424152	Nuclear factor of kappaB	Intracellular signal transduction modulators & effectors
H08653	MAP kinase 3; p44	Intracellular signal transduction modulators & effectors
AA176401	Protein phosphatase 1, regulatory (inhibitor) 3	Intracellular signal transduction modulators & effectors
AI378141	Testis-specific kinase 1	Intracellular signal transduction modulators & effectors
H14808	ATPase, Na+/K+ transporting, beta2	Ion channel & transport proteins
AI469102	Chloride intracellular channel 1	Ion channel & transport proteins
NM_021904	GABA B receptor, 1	Ion channel & transport proteins
AI086951	Glucose-6-phosphatase, transport protein 1	Ion channel & transport proteins
BC008837	Aldo-keto reductase family 1	Metabolic pathway proteins
H05285	Glutaminyl transsynthase	Metabolic pathway proteins
AI087093	Retinol dehydrogenase	Metabolic pathway proteins
AI304696	Oxoglutarate dehydrogenase (lipoamide)	Metabolic pathway proteins
NM_004454	Prostaglandin I2 (prostacyclin) synthase	Metabolic pathway proteins
R38694	PIM-1 proto-oncogene	Oncogenes & tumor suppressors
H51148	RAB3A, member RAS oncogene family	Oncogenes & tumor suppressors
NM_004449	v-ets oncogene	Oncogenes & tumor suppressors
R51318	Translation initiation factor 3 gamma	Transcription factors & general DNA binding proteins
H09658	RNA polymerase II transcription factor SIII p18	Transcription factors & general DNA binding proteins
AA176383	Polymerase (RNA) II C	Transcription factors & general DNA binding proteins
H06125	Zinc finger protein 177	Transcription factors & general DNA binding proteins
R55356	Zinc-finger helicase (Snf2-like)	Transcription factors & general DNA binding proteins
XM_035177	FLJ10631	EST
AK057293	FLJ32731	EST
BC015229	IMAGE: 3898846	EST
AA551245	KIAA0100 gene product	EST
AI243749	KIAA0550 gene product	EST
R44184	KIAA0751 gene product	EST
