Genes	GeneBank Accession	Gene Function
L13852	UBE1L	protein synthesis-related genes
AW293227	NA	protein synthesis-related genes
NM__000985	RPL17	protein synthesis-related genes
S79522	RPS27A	protein synthesis-related genes
L13977	PRCP	protein synthesis-related genes
U17838	NA	protein synthesis-related genes
NM_002139	RBMX	protein synthesis-related genes
NM_002211	ITGB1	cell signals and transducing proteins
NM_006823	PKIA	cell signals and transducing proteins
AF041434	PTP4A3	cell signals and transducing proteins
X04412	GSN	cell signals and transducing proteins
D14582	NA	cell signals and transducing proteins
D50683	TGFBR2	cell signals and transducing proteins
L13463	RGS2	cell signals and transducing proteins
L10333	RTN1	cell signals and transducing proteins
Z48054	PXR1	cell signals and transducing proteins
D31764	SNX17	cell receptors
AK001009	ESRRBL1	cell receptors
Z48054	PXR1	cell receptors
M25753	CCNB1	cell cycle proteins
Z47087	NA	cell cycle proteins
U08023	MERTK	proto-oncogenes and tumor suppression genes
AF007111	MDM4	proto-oncogenes and tumor suppression genes
H54398	NA	immune-related proteins
J04164	IFITM1	immune-related proteins
M55536	NA	Ion-channel and transporters
AF041853	KIF3A	cytoskeletal proteins
U90916	NA	other genes
AB011132	NA	other genes
AB023232	ZFP95	other genes
AB011093	NA	other genes
AB014530	NA	other genes
AL122075	NA	other genes
X56932	RPL13A	other genes
NM_004838	NA	other genes
AF131766	NA	other genes
AB018268	NA	other genes
AF131829	NA	other genes
NM_003605	OGT	other genes
AB020656	NA	other genes
AB018278	NA	other genes
hsu24497	NA	other genes
g41894	NA	other genes
