Probe Set ID	Gene Symbol	Gene Description
1552619_a_at	ANLN	anillin, actin binding protein
1552623_at	HSH2D	hematopoietic SH2 domain containing
1552914_a_at	CD276	CD276 molecule
1553822_at	RTP1	receptor (chemosensory) transporter protein 1
1553992_s_at	NBR2	neighbor of BRCA1 gene 2
1554334_a_at	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
1554343_a_at	STAP1	signal transducing adaptor family member 1
1554408_a_at	TK1	thymidine kinase 1, soluble
1554501_at	TSC22D4	TSC22 domain family, member 4
1555460_a_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
1555758_a_at	CDKN3	cyclin-dependent kinase inhibitor 3
1555826_at	EPR1	effector cell peptidase receptor 1 (non-protein coding)
1556551_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
1557135_at	NA	NA
1557413_a_at	NA	NA
1557768_at	NA	NA
1558604_a_at	NA	NA
1559960_x_at	LOC100130958	hypothetical protein LOC100130958
1561084_at	NA	NA
1562455_at	NA	NA
1562989_at	NA	NA
1563335_at	IRGM	immunity-related GTPase family, M
1563802_at	LOC284551	hypothetical LOC284551
1564474_at	LOC728723	hypothetical LOC728723
1566509_s_at	FBXO9	F-box protein 9
1567687_at	CECR9	cat eye syndrome chromosome region, candidate 9
1568596_a_at	TROAP	trophinin associated protein (tastin)
1568647_at	NA	NA
1570039_at	TMSB15B	thymosin beta 15B
200602_at	APP	amyloid beta (A4) precursor protein
200677_at	PTTG1IP	pituitary tumor-transforming 1 interacting protein
200761_s_at	ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5
200941_at	HSBP1	heat shock factor binding protein 1
200946_x_at	GLUD1	glutamate dehydrogenase 1
201060_x_at	STOM	stomatin
201061_s_at	STOM	stomatin
201462_at	SCRN1	secernin 1
201517_at	NCBP2	nuclear cap binding protein subunit 2, 20kDa
201607_at	PWP1	PWP1 homolog (S. cerevisiae)
201626_at	INSIG1	insulin induced gene 1
201627_s_at	INSIG1	insulin induced gene 1
201658_at	ARL1	ADP-ribosylation factor-like 1
201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
201764_at	TMEM106C	transmembrane protein 106C
201874_at	MPZL1	myelin protein zero-like 1
201890_at	RRM2	ribonucleotide reductase M2 polypeptide
201904_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201905_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201906_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201952_at	ALCAM	activated leukocyte cell adhesion molecule
202012_s_at	EXT2	exostoses (multiple) 2
202013_s_at	EXT2	exostoses (multiple) 2
202018_s_at	LTF	lactotransferrin
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202089_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202095_s_at	BIRC5	baculoviral IAP repeat-containing 5
202338_at	TK1	thymidine kinase 1, soluble
202503_s_at	KIAA0101	KIAA0101
202534_x_at	DHFR	dihydrofolate reductase
202579_x_at	HMGN4	high mobility group nucleosomal binding domain 4
202589_at	TYMS	thymidylate synthetase
202688_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
202705_at	CCNB2	cyclin B2
202726_at	LIG1	ligase I, DNA, ATP-dependent
202866_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12
203024_s_at	C5orf15	chromosome 5 open reading frame 15
203214_x_at	CDC2	cell division cycle 2, G1 to S and G2 to M
203245_s_at	NCRNA00094	non-protein coding RNA 94
203309_s_at	HPS1	Hermansky-Pudlak syndrome 1
203418_at	CCNA2	cyclin A2
203554_x_at	PTTG1	pituitary tumor-transforming 1
203679_at	TMED1	transmembrane emp24 protein transport domain containing 1
203757_s_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
203758_at	CTSO	cathepsin O
203764_at	DLGAP5	discs, large (Drosophila) homolog-associated protein 5
203805_s_at	FANCA	Fanconi anemia, complementation group A
203944_x_at	BTN2A1	butyrophilin, subfamily 2, member A1
203955_at	KIAA0649	KIAA0649
203981_s_at	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4
204159_at	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2
204195_s_at	PKNOX1	PBX/knotted 1 homeobox 1
204317_at	GTSE1	G-2 and S-phase expressed 1
204327_s_at	ZNF202	zinc finger protein 202
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2
204699_s_at	C1orf107	chromosome 1 open reading frame 107
204709_s_at	KIF23	kinesin family member 23
204822_at	TTK	TTK protein kinase
204826_at	CCNF	cyclin F
204887_s_at	PLK4	polo-like kinase 4 (Drosophila)
205034_at	CCNE2	cyclin E2
205046_at	CENPE	centromere protein E, 312kDa
205085_at	ORC1L	origin recognition complex, subunit 1-like (yeast)
205174_s_at	QPCT	glutaminyl-peptide cyclotransferase
205268_s_at	ADD2	adducin 2 (beta)
205301_s_at	OGG1	8-oxoguanine DNA glycosylase
205562_at	RPP38	ribonuclease P/MRP 38kDa subunit
205567_at	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
205607_s_at	SCYL3	SCY1-like 3 (S. cerevisiae)
205711_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
205746_s_at	ADAM17	ADAM metallopeptidase domain 17
205801_s_at	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
205899_at	CCNA1	cyclin A1
206134_at	ADAMDEC1	ADAM-like, decysin 1
206177_s_at	ARG1	arginase, liver
206265_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1
206542_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
206583_at	ZNF673	zinc finger family member 673
206956_at	BGLAP	bone gamma-carboxyglutamate (gla) protein
207233_s_at	MITF	microphthalmia-associated transcription factor
207542_s_at	AQP1	aquaporin 1 (Colton blood group)
207610_s_at	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2
207802_at	CRISP3	cysteine-rich secretory protein 3
208401_s_at	GLP1R	glucagon-like peptide 1 receptor
208511_at	PTTG3	pituitary tumor-transforming 3
208867_s_at	CSNK1A1	casein kinase 1, alpha 1
208870_x_at	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
208886_at	H1F0	H1 histone family, member 0
209043_at	PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1
209081_s_at	COL18A1	collagen, type XVIII, alpha 1
209082_s_at	COL18A1	collagen, type XVIII, alpha 1
209155_s_at	NT5C2	5-nucleotidase, cytosolic II
209180_at	RABGGTB	Rab geranylgeranyltransferase, beta subunit
209408_at	KIF2C	kinesin family member 2C
209426_s_at	AMACR /// C1QTNF3	alpha-methylacyl-CoA racemase /// C1q and tumor necrosis factor related protein 3
209714_s_at	CDKN3	cyclin-dependent kinase inhibitor 3
