Regulation	Rank	C-SD	I (%)	I-R	Protein	Unigene	Intensity uninfected	Intensity Infected
Up	1, 3	+6.5,  +5.4	96.2	1.5	Neurogranin	Hs.26944	2,620	16,700
Up	2	5.6	98.3	1.9	Calgranulin B (migration inhibitory protein 14)	Hs.112405	190	12,640
Up	4	4.9	88.4	1.3	CD14 monocyte differentiation protein	Hs.75627	2,280	12,890
Up	5	4.6	85.2	1.2	Fibrinogen B beta	Hs.7645	3,290	13,620
Up	6	4.5	NA	NA	Lipopolysaccharide binding protein	Hs.154078	140	8,280
Up	7, 31	+4.2,  +2.2	93.2	1.4	IRF7 (interferon regulatory factor 7)	Hs.166120	2,580	7,110
Up	8	4.1	99.9	+8.5,  +4.5	RDC1 G-protein-coupled receptor	Hs.23016	2,830	11,670
Up	9	3.9	NA	NA	Homeobox protein HB24	Hs.60721	20	6,730
Up	10	3.7	0.9	2.4	Ubiquitin-conjugating enzyme E2H10	Hs.93002	2,010	10,300
Up	11	3.6	NA	NA	Osteopontin	Hs.313	10	6,030
Up	12	3.4	NA	NR	Estrogen-related receptor alpha	Hs.110849	360	6,210
Up	13	3.2	NA	NR	TIMP1 (inhibitor of metalloproteinases 1)	Hs.5831	21,030	36,640
Up	14	3.1	NA	NA	Steroid 5-alpha reductase 1	Hs.552	2,130	8,220
Up	15	3	NA	NA	Calgizzarin	Hs.256290	3,350	9,560
Up	16	3	97.1	1.6	RIG-E (stem cell antigen 2)	Hs.77667	3,470	9,910
Up	17	2.8	NA	NA	CBL-B	Hs.3144	1,000	6,360
Up	18	2.8	NA	NA	Dual-specificity protein phosphatase-7	Hs.296938	6,420	3,380
Up	19	2.7	NA	NA	Leukocyte elastase inhibitor	Hs.183583	3,680	9,860
Up	20	2.6	NA	NR	MIP3 beta (macrophage inflammatory protein)	Hs.50002	3,290	8,590
Up	21	2.5	NA	NA	HI05E3 protein	Hs.57698	3,700	9,030
Up	30	2.2	NA	NR	MCM5 (minichromosome maintenance 5)	Hs.77171	7,810	13,930
Up	33	2.1	NA	NR	Bcl3 (B-cell lymphoma 3 protein)	Hs.31210	820	4,460
Up	36	2.1	NA	NR	IL8	Hs.624	5,890	11,220
Up	43	2	NA	NR	TGF B3	Hs.2025	800	4,480
Down	1	7.1	99.8	-4.7	BMP4 (bone morphogenetic protein 4)	Hs.68879	23,270	2,470
Down	2	6.4	NA	NA	MCP1-RA beta chemokine receptor (CCR2)	Hs.395	17,150	1,090
Down	3	4.9	99.9	-5.6	Connexin 37 (gap junction alpha 4)	Hs.296310	10,270	1,140
Down	4	4.8	99.5	-3.1	BMSA1 (bone marrow stromal antigen 1)	Hs.169998	13,570	1,890
Down	5, 23	4.6,  2.7	99.2	-2.5	PRP (major prion protein)	Hs.74621	10,110	350
Down	6	4.4	98.6	-1.9	Skeletal muscle LIM-protein 1	Hs.239069	11,770	4,840
Down	7	4.3	96.9	-1.6	p57-KIP2 cell cycle inhibitor	Hs.106070	12,440	2,170
Down	8	3.8	97.1	-1.6	B1-Catenin	Hs.171271	9,520	1,300
Down	9	3.8	NA	NA	Estradiol 17  B-dehydrogenase 2	Hs.155109	9,610	2,420
Down	10, 26	3.6,  2.5	NA	NA	GADD45 growth arrest DNA-damage protein 45	Hs.110571	7,380	650
Down	11	3.5	99.9	-11.7	PAI-1 endothelial plasminogen activator inhibitor-1	Hs.82085	18,850	7,720
Down	12	3.5	99.6	-3.4	RhoB GDP dissociation inhibitor	Hs.204354	11,210	2,930
Down	13	3.3	NA	NR	Atrophin-1	Hs.169488	11,500	3,430
Down	14	3.2	NA	NR	G1S-specific cyclin D1	Hs.82932	11,360	3,620
Down	15	3.1	NA	NR	Alzheimer’s disease amyloid A4 protein	Hs.177486	22,400	11,150
Down	16	3.1	99.4	-2.9	BMP6 (bone morphogenetic protein 6)	Hs.285671	11,030	2,810
Down	17	3.1	99.5	-3.1	IGFBP10 cysteine-rich angiogenic inducer, cyr61	Hs.8867	7,410	2,000
Down	18	3.1	NA	NA	R-ras2 (TC21)	Hs.206097	6,690	1,390
Down	19	3.1	94.3	-1.4	Endothelial cell multimerin	Hs.268107	10,270	4,080
Down	20	3.0	21.8	-1.2	Elk3 Ets domain protein	Hs.121529	10,870	3,620
Down	22	2.7	NA	NA	HAT-B2 (histone acetyl transferase B subunit 2)	Hs.31314	5,430	370
Down	25	2.5	NA	NR	MCP1 (macrophage chemotactic protein 1)	Hs.340	26,470	17,900
Down	28	2.5	96.5	-1.5	Reelin	Hs.12246	10,880	5,610
Down	44	2.0	99.3	-2.5	a3-Integrin (CD49C)	Hs.265820	12,320	5,770
