Gene Description	Accession No.	5th Day	10th Day	Control
KIAA0029 gene	D21852	0.91	3.9	1.1
homogentisate 1;2-dioxygenase gene	AF000573	1	3.5	1.2
GOK (STIM1)	U52426	1.2	2.9	1
interleukin 2 receptor gamma chain	D11086	1	2.6	0.71
MSS1	D11094	1.1	2.5	1.3
KIAA0111 gene	D21853	1	2.5	1
methyl sterol oxidase (ERG25)	U60205	1.1	2.5	1.7
cytochrome P450 gene	M31667	1.4	2.5	1.7
uroplakin II	AF000562	1.2	2.4	0.83
clone 23707	U79270	1.1	2.2	1.3
14-3-3 epsilon	U54778	0.91	2.1	1.1
KIAA0107 gene	D14663	0.91	2	0.71
ATP synthase gamma-subunit	D16562	1.2	2	0.83
palmitoyl protein thioesterase	U44772	0.83	2	1.2
SWI/SNF complex 155 KDa subunit	U66615	1	2	1
