rank	Gene	GB accession	Gene Description
1	LLGL2	NM_004524	Lethal giant larvae homolog 2 (Drosophila)
2	IL22R	NM_021258	Interleukin 22 receptor
3	LOC84518	NM_032488	Protein related with psoriasis
4	CBR3	NM_001236	Carbonyl reductase 3
5	AK055031	AK055031	Homo sapiens cDNA FLJ30469 fis, clone BRAWH1000037, weakly similar to U-PA
6	TRIM29	NM_012101	Tripartite motif-containing 29
7	EVA1	AF275945	Epithelial V-like antigen 1
8	AF009267	AF009267	Homo sapiens clone FBA1 Cri-du-chat region mRNA
9	IVL	NM_005547	Involucrin
10	AF005082	AF005082	Homo sapiens skin-specific protein (xp33) mRNA, partial cds
11	AL137428	AL137428	Homo sapiens mRNA; cDNA DKFZp761N1323 (from clone DKFZp761N1323)
12	RAB10	NM_016131	RAB10, member RAS oncogene family
13	PPL	NM_002705	Periplakin
14	FLJ11036	NM_018306	Hypothetical protein FLJ11036
15	TNFRSF5	NM_001250	Tumor necrosis factor receptor superfamily, member 5
16	AL162069	AL162069	Homo sapiens mRNA; cDNA DKFZp762H106 (from clone DKFZp762H106)
17	FLJ13962	NM_024862	Hypothetical protein FLJ13962
18	AKAP2	AJ303079	A kinase (PRKA) anchor protein 2
19	FLJ11323	NM_018390	Hypothetical protein FLJ11323
20	DKFZP434K041	0 AL137589	Hypothetical protein DKFZp434K0410
21	SPINK5	NM_006846	Serine protease inhibitor, Kazal type, 5
22	FLJ22622	NM_025151	Hypothetical protein FLJ22622
23	AQP3	NM_004925	Aquaporin 3
24	HAIK1	NM_015515	Type I intermediate filament cytokeratin
25	KIAA0594	AB011166	KIAA0594 protein
26	SLPI	NM_003064	Secretory leukocyte protease inhibitor (antileukoproteinase)
27	ODC-p	NM_052998	Ornithine decarboxylase-like protein
28	AJ420500	AJ420500	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1977059
29	CRH	NM_000756	Corticotropin releasing hormone
30	SERPINB13	AJ001696	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 13
31	HSU79274	NM_013300	Protein predicted by clone 23733
32	SPIB	NM_003121	Spi-B transcription factor (Spi-1/PU.1 related)
33	AK056828	AK056828	Homo sapiens cDNA FLJ32266 fis, clone PROST1000419
34	NUDEL	NM_030808	LIS1-interacting protein NUDEL; endooligopeptidase A
35	KLK10	NM_002776	Kallikrein 10
36	BC016993	BC016993	Homo sapiens, clone IMAGE:4401841, mRNA
37	RPL34P2	AL049714	Ribosomal protein L34 pseudogene 2
38	PREI3	NM_015387	Preimplantation protein 3
39	C4.4A	NM_014400	GPI-anchored metastasis-associated protein homolog
40	SRP19	NM_003135	Signal recognition particle 19kD
41	TIMM8B	NM_012459	Translocase of inner mitochondrial membrane 8 homolog B (yeast)
42	CSTB	NM_000100	Cystatin B (stefin B)
43	KIAA0350	AB002348	KIAA0350 protein
44	SMAP31	NM_032495	Hypothetical protein SMAP31
45	SERPINB2	NM_002575	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2
46	PI3	NM_002638	Protease inhibitor 3, skin-derived (SKALP)
47	DUOX1	NM_017434	Dual oxidase 1
48	LANO	NM_018214	LAP (leucine-rich repeats and PDZ) and no PDZ protein
49	RAD17	NM_002873	RAD17 homolog (S. pombe)
50	WEE1	X62048	WEE1+ homolog (S. pombe)
51	MDK	NM_002391	Midkine (neurite growth-promoting factor 2)
52	CATX-8	NM_020387	CATX-8 protein
53	DD96	NM_005764	Epithelial protein up-regulated in carcinoma, membrane associated protein 17
54	MGC11279	NM_024326	Hypothetical protein MGC11279
55	S100A9	NM_002965	S100 calcium binding protein A9 (calgranulin B)
56	BC014381	BC014381	Homo sapiens, clone IMAGE:4046329, mRNA
57	S100A7	NM_002963	S100 calcium binding protein A7 (psoriasin 1)
58	SENP7	AL136599	Sentrin/SUMO-specific protease
59	AK021970	AK021970	Homo sapiens cDNA FLJ11908 fis, clone HEMBB1000089
60	AK055723	AK055723	Homo sapiens cDNA FLJ31161 fis, clone KIDNE1000028
61	PGLYRP	NM_052890	Peptidoglycan recognition protein L precursor
62	MAL2	NM_052886	Mal, T-cell differentiation protein 2
63	FBXO8	NM_012180	F-box only protein 8
64	ZD52F10	NM_033317	Hypothetical gene ZD52F10
65	DNAH11	NM_003777	Dynein, axonemal, heavy polypeptide 11
66	DESC1	NM_014058	DESC1 protein
67	PLA2G4B	NM_005090	Phospholipase A2, group IVB (cytosolic)
68	HAS3	AF232772	Hyaluronan synthase 3
69	KLK5	NM_012427	Kallikrein 5
70	RASAL1	NM_004658	RAS protein activator like 1 (GAP1 like)
71	ECG2	NM_032566	Esophagus cancer-related gene-2
72	FLJ22792	NM_024921	Hypothetical protein FLJ22792
73	AK055932	AK055932	Homo sapiens cDNA FLJ31370 fis, clone NB9N42000122
74	S73288	S73288	Small proline-rich protein SPRK [human, odontogenic keratocysts, mRNA Partial, 317 nt]
75	AF339799	AF339799	Homo sapiens clone IMAGE:2363394, mRNA sequence
76	TGM1	NM_000359	Transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)
77	BENE	U17077	BENE protein
78	AK056768	AK056768	Homo sapiens cDNA FLJ32206 fis, clone PLACE6003109
79	AL137617	AL137617	Homo sapiens mRNA; cDNA DKFZp434C0512 (from clone DKFZp434C0512)
80	AK055994	AK055994	Homo sapiens cDNA FLJ25084 fis, clone CBL08511
81	ZNF185	NM_007150	Zinc finger protein 185 (LIM domain)
82	AK057222	AK057222	Homo sapiens, Similar to CG10958 gene product, clone MGC:16372 IMAGE:3929220, mRNA, complete cds
83	TRG@	AK056843	T cell receptor gamma locus
84	VWF	NM_000552	Von Willebrand factor
85	FLJ22184	NM_025094	Hypothetical protein FLJ22184
86	SULT2B1	NM_004605	Sulfotransferase family, cytosolic, 2B, member 1
87	BC016969	BC016969	Homo sapiens, clone IMAGE:4428577, mRNA, partial cds
88	DSG3	NM_001944	Desmoglein 3 (pemphigus vulgaris antigen)
89	CLDN5	NM_003277	Claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
90	AL137723	AL137723	Homo sapiens mRNA; cDNA DKFZp434D0818 (from clone DKFZp434D0818)
91	AK022838	AK022838	Homo sapiens cDNA FLJ12776 fis, clone NT2RP2001678
92	PRKAB2	NM_005399	Protein kinase, AMP-activated, beta 2 non-catalytic subunit
93	AK024867	AK024867	Homo sapiens cDNA: FLJ21214 fis, clone COL00523
94	AGS3	AL117478	Likely ortholog of rat activator of G-protein signaling 3
95	AK024480	AK024480	Homo sapiens mRNA for FLJ00074 protein, partial cds
96	FLJ21212	NM_024642	Hypothetical protein FLJ21212
97	EPSTI1	NM_033255	Epithelial stromal interaction 1 (breast)
98	PCBP1	NM_006196	Poly(rC) binding protein 1
99	PPIL2	NM_014337	Peptidylprolyl isomerase (cyclophilin)-like 2
100	AC_006017	AC_006017	Homo sapiens PAC clone RP5-981O7 from 7q34-q36
101	AL512697	AL512697	Homo sapiens mRNA; cDNA DKFZp547F134 (from clone DKFZp547F134)
102	AK057730	AK057730	Homo sapiens cDNA FLJ25001 fis, clone CBL00443
103	KLK11	NM_006853	Kallikrein 11
104	KIAA0831	NM_014924	KIAA0831 protein
105	LAMP3	NM_014398	Lysosomal-associated membrane protein 3
106	SPINT1	NM_003710	Serine protease inhibitor, Kunitz type 1
107	OAS1	NM_016816	2’,5’-oligoadenylate synthetase 1 (40-46 kD)
108	AF130069	AF130069	Homo sapiens clone FLB8436 PRO2277 mRNA, complete cds
109	AK055225	AK055225	Homo sapiens cDNA FLJ30663 fis, clone FCBBF1000598, moderately similar to ZINC FINGER PROTEIN 84
110	FLJ23447	NM_024825	Hypothetical protein FLJ23447
111	TACSTD2	NM_002353	Tumor-associated calcium signal transducer 2
112	FLJ20420	NM_017812	Hypothetical protein FLJ20420
113	LCN2	NM_005564	Lipocalin 2 (oncogene 24p3)
114	HPCAL1	NM_002149	Hippocalcin-like 1
115	BACH1	NM_001186	BTB and CNC homology 1, basic leucine zipper transcription factor 1
116	DSC2	NM_004949	Desmocollin 2
117	AK024849	AK024849	Homo sapiens cDNA: FLJ21196 fis, clone COL00193
118	AF339829	AF339829	Homo sapiens clone IMAGE:609847, mRNA sequence
119	SPRR3	NM_005416	Small proline-rich protein 3
120	FACL4	NM_022977	Fatty-acid-Coenzyme A ligase, long-chain 4
121	AK024104	AK024104	Homo sapiens cDNA FLJ14042 fis, clone HEMBA1006038, weakly similar to LAMININ ALPHA-5 CHAIN
122	FPGT	NM_003838	Fucose-1-phosphate guanylyltransferase
123	AK057520	AK057520	Homo sapiens cDNA FLJ32958 fis, clone TESTI2008234
124	DKFZp761K142	3 NM_018422	Hypothetical protein DKFZp761K1423
125	AK057719	AK057719	Homo sapiens cDNA FLJ33157 fis, clone UTERU2000393
126	TP63	Y16961	Tumor protein 63 kDa with strong homology to p53
127	ALOX12B	NM_001139	Arachidonate 12-lipoxygenase, 12R type
128	SERPINB7	NM_003784	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7
129	JAK1	NM_002227	Janus kinase 1 (a protein tyrosine kinase)
130	MLLT7	NM_005938	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7
131	KV8.1	NM_014379	Neuronal potassium channel alpha subunit
132	DKFZp547C176	AL359601	Hypothetical protein DKFZp547C176
133	KCNAB1	AK057059	Potassium voltage-gated channel, shaker-related subfamily, beta member 1
134	MAIL	NM_031419	Molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL), homolog of mouse
135	AL080208	AL080208	Homo sapiens mRNA; cDNA DKFZp586C1523 (from clone DKFZp586C1523)
136	DEFB3	NM_018661	Defensin, beta 3
137	UCRP	AF388367	Usher critical region protein pseudogene
138	PRKCI	NM_002740	Protein kinase C, iota
139	SLC9A3R1	NM_004252	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1
140	AK024712	AK024712	Homo sapiens cDNA: FLJ21059 fis, clone CAS00740
141	E2F5	NM_001951	E2F transcription factor 5, p130-binding
142	HPS3	AY033141	Hermansky-Pudlak syndrome 3
