Affymetrix number	Gene Name	Gene Symbol	Reference Number	Chi-Square Value	Above/Below mean
38319_at	CD3D antigen delta polypeptide TiT3 complex	CD3D	AA919102	215	Above
1096_g_at	CD19 antigen	CD19	M28170	206.48	Below
38242_at	B cell linker protein	SLP65	AF068180	198.52	Below
32794_g_at	T cell receptor beta locus	TRB	X00437	197.71	Above
37988_at	CD79B antigen immunoglobulin-associated beta	CD79B	M89957	197.71	Below
38017_at	CD79A antigen immunoglobulin-associated alpha	CD79A	U05259	197.53	Below
35016_at	Human Ia-associated invariant gamma-chain gene, exon 8, clones lambda-y(1,2,3).	NA	M13560	M13560	Below
36277_at	Human membran protein (CD3-epsilon) gene, exon 9.	CD3E	M23323	197.53	Above
38095_i_at	major histocompatibility complex class II DP beta 1	HLA-DPB1	M83664	191.09	Below
39318_at	T-cell leukemia/lymphoma 1A	TCL1A	X82240	189.78	Below
38147_at	SH2 domain protein 1A Duncan s disease lymphoproliferative syndrome	SH2D1A	AL023657	189.78	Above
41723_s_at	major histocompatibility complex class II DR beta 1	HLA-DRB1	M32578	189.25	Below
38833_at	Human mRNA for SB classII histocompatibility antigen alpha-chain	NA	X00457	189.03	Below
33238_at	Human T-lymphocyte specific protein tyrosine kinase p56lck (lck) abberant mRNA	lck	U23852	189.03	Above
37039_at	major histocompatibility complex class II DR alpha	HLA-DRA	J00194	188.93	Below
38051_at	mal T-cell differentiation protein	MAL	X76220	188.93	Above
37344_at	major histocompatibility complex class II DM alpha	HLA-DMA	X62744	187.25	Below
38096_f_at	major histocompatibility complex class II DP beta 1	HLA-DPB1	M83664	182.38	Below
2059_s_at	lymphocyte-specific protein tyrosine kinase	LCK	M36881	182.38	Above
1105_s_at	T cell receptor beta locus	TRB	M12886	180.45	Above
32649_at	transcription factor 7 T-cell specific HMG-box	TCF7	X59871	177.84	Above
38949_at	protein kinase C theta	PRKCQ	L01087	172.59	Below
39709_at	selenoprotein W 1	SEPW1	U67171	171.96	Above
41165_g_at	immunoglobulin heavy constant mu	IGHM	X67301	171.96	Below
36473_at	ubiquitin specific protease 20	USP20	AB023220	167.27	Above
266_s_at	CD24 antigen small cell lung carcinoma cluster 4 antigen	CD24	L33930	165.56	Below
40570_at	forkhead box O1A rhabdomyosarcoma	FOXO1A	AF032885	165.29	Below
40775_at	integral membrane protein 2A	ITM2A	AL021786	164.14	Above
37420_i_at	Human DNA sequence from clone RP3-377H14 on chromosome 6p21.32-22.1.	NA	AL022723	164.14	Below
1085_s_at	phospholipase C gamma 2 phosphatidylinositol-specific	PLCG2	M37238	161.3	Below
38018_g_at	CD79A antigen immunoglobulin-associated alpha	CD79A	U05259	160.51	Below
35643_at	nucleobindin 2	NUCB2	X76732	160.07	Above
41166_at	immunoglobulin heavy constant mu	IGHM	X58529	158.5	Below
38415_at	protein tyrosine phosphatase type IVA member 2	PTP4A2	U14603	155.78	Above
38893_at	neutrophil cytosolic factor 4 40kD	NCF4	AL008637	155.78	Below
1241_at	protein tyrosine phosphatase type IVA member 2	PTP4A2	U14603	155.78	Above
32793_at	T cell receptor beta locus	TRB	X00437	155.43	Above
36571_at	topoisomerase DNA II beta 180kD	TOP2B	X68060	152.16	Below
37399_at	aldo-keto reductase family 1 member C3 3-alpha hydroxysteroid dehydrogenase type II	AKR1C3	D17793	151.93	Above
41097_at	telomeric repeat binding factor 2	TERF2	AF002999	151.86	Below
