Affymetrix U133 (A&B) probeset	Gene Symbol	P value (individual) U	P value (individual) S	Affyprobeset	GS	P value(individual) U	P value(individual) S	P value(gene pair) U	P value(gene pair) S
222425_s_at	POLDIP2	1.50E-05	0.024	A.201207_at	TNFAIP1	0.00011	0.081	3.10E-07	0.00046
201208_s_at	TNFAIP1	0.022	0.11	A.214283_at	TMEM97	0.074	0.081	0.00022	0.0029
213259_s_at	SARM1	0.011	0.074	B.225375_at	TMEM199	0.022	0.00072	0.00085	2.90E-05
204534_at	VTN	0.024	0.11	A.210312_s_at	IFT20	0.00041	0.024	0.00021	0.00052
204534_at	VTN	0.024	0.11	A.212279_at	TMEM97	0.0042	0.0035	1.00E-04	0.00062
210312_s_at	IFT20	0.00041	0.024	A.212281_s_at	TMEM97	0.0028	0.0051	1.60E-05	0.0036
213259_s_at	SARM1	0.011	0.074	A.212281_s_at	TMEM97	0.0028	0.0051	0.00039	0.004
217806_s_at	POLDIP2	4.30E-05	0.12	A.212281_s_at	TMEM97	0.0028	0.0051	2.60E-05	0.0036
225375_at	TMEM199	0.022	0.00072	A.201207_at	TNFAIP1	0.00011	0.081	9.30E-05	0.00021
225375_at	TMEM199	0.022	0.00072	A.212279_at	TMEM97	0.0042	0.0035	2.00E-04	0.00032
