GenBank	Ave_Spt16_FC	Ave_SSRP1_FC	Symbol	Gene name
T66816	-1.916707	1.509468	HIST1H1C	Histone 1, H1c
AA418408	-1.704988	-1.46134	RPC32	Polymerase (RNA) III (DNA-directed) (32kDa)
H11051	-1.627403	-1.48982	CPNE6	Copine VI (neuronal)
AA058323	-1.552067	-1.23807	IFITM1	Interferon-induced transmembrane protein 1-(9–27)
T60061	-1.514326	-1.14426	ARG99	ARG99 protein
W85697	1.4734588	-1.11418	HNRPK	Heterogeneous nuclear ribonucleoprotein K
R53406	1.5113547	1.308622	NA	Unknown protein
AA041406	1.7223561	1.37524	COP1	Constitutive photomorphogenic protein
N55540	1.9094455	2.078311	LOC163782	Hypothetical protein LOC163782
AA064973	2.0401064	2.281155	PRO01073	PRO1073 protein
