Acc	Name	Symbol
W49672	Data not found	na
AA610043	synaptotagmin-like 2	SYTL2
AA829213	chromosome 12 open reading frame 2	C12orf2
T81317	Homo sapiens transcribed sequences	na
AI023525	Homo sapiens transcribed sequences	na
W92138	iroquois homeobox protein 1	IRX1
AI206976	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	na
R95773	erythrocyte membrane protein band 4.1-like 2	EPB41L2
AA455623	LEM domain containing 2	LEMD2
N51291	Data not found	na
T47417	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF
AI821364	Homo sapiens transcribed sequences	na
AA486838	secreted frizzled-related protein 4	SFRP4
AA953914	hypothetical protein MGC29898	MGC29898
AI095082	Ras-related GTP binding D	RRAGD
AI073991	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	na
AA776813	Data not found	na
N22145	RAS p21 protein activator (GTPase activating protein) 1	RASA1
AA034938	laminin, alpha 2 (merosin, congenital muscular dystrophy)	LAMA2
N50659	Data not found	na
AA282985	Homo sapiens transcribed sequences	na
AA677700	Homo sapiens transcribed sequences	na
T70541	hypothetical protein MGC21518	MGC21518
AI688014	MLN51 protein	MLN51
AA428166	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1635266	na
H02230	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	ELOVL5
R55730	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	ELAVL4
N51117	Homo sapiens transcribed sequences	na
R38943	angiomotin like 1	AMOTL1
AI820815	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_115558.1 (H.sapiens) hypothetical protein FLJ13614 [Homo sapiens]	na
AI299651	cleavage and polyadenylation specific factor 6, 68kDa	CPSF6
AA974946	syndecan binding protein (syntenin) 2	SDCBP2
AI124708	Data not found	na
AA953725	Data not found	na
R24713	Data not found	na
N63768	chromosome 6 open reading frame 79	C6orf79
AA863316	Data not found	na
AA991369	cytochrome P450, family 4, subfamily F, polypeptide 11	CYP4F11
AI015833	Homo sapiens transcribed sequences	na
AA232953	Homo sapiens LOC350594 (LOC350594), mRNA	na
AI040377	Homo sapiens transcribed sequences	na
AA906569	Data not found	na
AA907064	Homo sapiens similar to Protein C21orf15 (LOC283436), mRNA	na
H72557	dedicator of cyto-kinesis 2	DOCK2
AA862999	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	CASR
AI313160	Homo sapiens transcribed sequences	na
N20482	popeye domain containing 3	POPDC3
AI000196	Homo sapiens LOC253758 (LOC253758), mRNA	na
AA278313	Homo sapiens mRNA for hypothetical protein (C8ORF16)	na
N71920	Data not found	na
AA602951	Data not found	na
AA918102	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	DPM1
AA878235	unc-5 homolog D (C. elegans)	UNC5D
AA426359	serologically defined colon cancer antigen 33	SDCCAG33
AA599120	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	SMARCE1
AA504348	topoisomerase (DNA) II alpha 170kDa	TOP2A
AI183359	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	PTPN5
H66942	solute carrier family 33 (acetyl-CoA transporter), member 1	SLC33A1
AA281497	interferon gamma receptor 1	IFNGR1
AI348451	hypothetical protein FLJ33790	FLJ33790
AA757170	lin-7 homolog A (C. elegans)	LIN7A
AA456135	Homo sapiens, clone IMAGE:4828750, mRNA	na
AA626864	ubiquitin specific protease 34	USP34
AI184761	chromosome 6 open reading frame 56	C6orf56
N53214	NACHT, LRR and PYD containing protein 2	NALP2
R62190	KIAA1280 protein	KIAA1280
AI341868	Homo sapiens transcribed sequences	na
R70479	tumor necrosis factor, alpha-induced protein 3	TNFAIP3
AA776903	WD repeat domain 26	WDR26
AI668597	Homo sapiens transcribed sequences	na
