Probe ID	GENE	NAME	Biological Process	Zscore	FC
202672_s_at	ATF3	activating transcription factor 3	regulation of transcription	8.525	5.1128641
207571_x_at	C1orf38	chromosome 1 open reading frame 38	cell adhesion	10.231	3.1183007
210785_s_at	C1orf38	chromosome 1 open reading frame 39	cell adhesion	5.492	3.1126835
213348_at	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	regulation of progression through cell cycle	8.117	4.3138486
216894_x_at	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	regulation of progression through cell cycle	6.458	4.5855327
219534_x_at	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	regulation of progression through cell cycle	6.017	3.8604513
219640_at	CLDN15	claudin 15	calcium-independent cell-cell adhesion	2.992	4.5110132
215501_s_at	DUSP10	dual specificity phosphatase 10	protein amino acid dephosphorylation; JNK cascade	2.94	4.2466539
221563_at	DUSP10	dual specificity phosphatase 10	protein amino acid dephosphorylation; JNK cascade	7.978	5.7436233
212227_x_at	EIF1	eukaryotic translation initiation factor 1	translational initiation	2.567	1.7629325
219233_s_at	GSDML	gasdermin-like	NA	5.451	4.0514626
215071_s_at	HIST1H2AC	histone cluster 1, H2ac	nucleosome assembly	22.386	4.4343735
214472_at	HIST1H3D	histone cluster 1, H3d	nucleosome assembly	11.537	4.9131915
214522_x_at	HIST1H3D	histone cluster 1, H3d	nucleosome assembly	7.022	4.6964006
208496_x_at	HIST1H3G	histone cluster 1, H3g	nucleosome assembly	4.428	6.1402062
206110_at	HIST1H3H	histone cluster 1, H3h	nucleosome assembly	11.196	4.6453523
214290_s_at	HIST2H2AA3 / HIST2H2AA4	histone cluster 2, H2aa3 / histone cluster 2, H2aa4	nucleosome assembly	7.84	2.5602309
218280_x_at	HIST2H2AA3 / HIST2H2AA4	histone cluster 2, H2aa3 / histone cluster 2, H2aa4	nucleosome assembly	8.251	3.2712434
201464_x_at	JUN	jun oncogene	regulation of progression through cell cycle	3.027	3.3020167
203751_x_at	JUND	jun D proto-oncogene	regulation of transcription	4.487	3.6338656
203752_s_at	JUND	jun D proto-oncogene	regulation of transcription	13.193	2.5481349
221841_s_at	KLF4	Kruppel-like factor 4 (gut)	regulation of transcription	7.638	4.8784029
201669_s_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	cell motility	6.717	3.6042097
37028_at	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	apoptosis	7.837	3.945816
202988_s_at	RGS1	regulator of G-protein signalling 1	signal transduction	4.321	5.0074513
216834_at	RGS1	regulator of G-protein signalling 1	signal transduction	3.36	2.4548041
202388_at	RGS2	regulator of G-protein signalling 2, 24kDa	cell cycle	6.536	3.0752566
203455_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	6.718	5.1566265
210592_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	10.694	5.9428571
213988_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	16.284	20.706522
201471_s_at	SQSTM1	sequestosome 1	ubiquitin-dependent protein catabolic process; apoptosis	7.247	2.3460443
213112_s_at	SQSTM1	sequestosome 1	ubiquitin-dependent protein catabolic process; apoptosis	9.227	3.2893626
209197_at	SYT11	synaptotagmin XI	transport	9.059	3.9906351
