GenBank accession	Gene symbol	Chromosomal location	Fold change	References
U38945	CDKN2A	9p21	6.65	Wang et al. [[13]]
BC002700	KRT7	12q12-q13	3.71	Smedts et al. [[14]]
NM_004526	MCM2	3q21	3.06	Ishimii et al. [[15]]
NM_001071	TYMS	18p11.32	2.96	Suzuki et al. [[16]]
NM_001793	CDH3	16q22.1	2.58	Han et al. [[17]]
BC001188	TFRC	3q29	2.54	Lloyd et al. [[18]]
NM_002276	KRT19	17q21.2	2.52	Mittal et al. [[19]]
AA807529	MCM5	22q13.1	2.24	Williams et al. [[20]]
AF022375	VEGF	6p12	2.12	Gaffney et al. [[21]]
NM_004428	EFNA1	1q21-q22	2.1	Chen et al. [[22]]; Wu et al. [[23]]
BG170541	MET	7q31	2.01	Baykal et al. [[24]]
NM_000930	PLAT	8p12	2.01	Shimada et al. [[25]]
NM_000421	KRT10	17q21	-2.48	Carrilho et al. [[26]]
NM_002274	KRT13	17q12-q21.2	-2.87	Carrilho et al. [[26]]
NM_005547	IVL	1q21	-3.03	Xu et al. [[27]]
NM_001562	IL18	11q22.2-q22.3	-3.69	Cho et al. [[28]]
NM_000697	ALOX12	17p13.1	-10.66	Nigam et al. [[29]]
NM_002371	MAL	2cen-q13	-14.37	Hatta et al. [[30]]
