Probe Set ID	UniGene ID	Gene Title	Gene Symbol	Tstat	pval	FDR	Chromosomal Location
218808_at	Hs.280978	hypothetical protein FLJ10496	FLJ10496	9.786341128	0.0000001516	0.00028699	chr3p21.31
209607_x_at	---	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	SULT1A3	9.740528846	0.0000000910	0.000249235	chr16p11.2
201137_s_at	Hs.368409	major histocompatibility complex, class II, DP beta 1	HLA-DPB1	9.650705818	0.0000051785	0.002098051	chr6p21.3
203473_at	Hs.7884	solute carrier organic anion transporter family, member 2B1	SLCO2B1	9.077051187	0.0000003859	0.000537452	chr11q13
213148_at	---	hypothetical protein LOC257407	LOC257407	8.815355623	0.0000005813	0.000681694	chr2q37.1
218825_at	Hs.91481	EGF-like-domain, multiple 7	EGFL7	8.596026995	0.0000709993	0.008423772	chr9q34.3
217226_s_at	Hs.283844	paired related homeobox 1 /// similar to rat tricarboxylate carrier-like protein	PRRX1 /// BA108L7.2	8.496789178	0.0000006805	0.000758165	chr1q24 /// chr10q24.32
204067_at	---	sulfite oxidase	SUOX	8.457928807	0.0000004762	0.000589527	chr12q13.2
220661_s_at	Hs.377705	hypothetical protein FLJ20531	FLJ20531	8.397357377	0.0000039096	0.001853559	chr1q44
203932_at	Hs.1162	major histocompatibility complex, class II, DM beta	HLA-DMB	8.166010315	0.0000008765	0.000804809	chr6p21.3
221687_s_at	Hs.438972	chromosome 9 open reading frame 28	C9orf28	7.973443663	0.0000035604	0.001800712	chr9q33.3
212326_at	Hs.194737	vacuolar protein sorting 13D (yeast)	VPS13D	7.782288627	0.0000012500	0.000910518	chr1p36.22-p36.21
37425_g_at	Hs.110746	chromosome 6 open reading frame 18	C6orf18	7.730812195	0.0000013369	0.000910518	chr6p21.3
204018_x_at	Hs.398636	hemoglobin, alpha 2	HBA2	7.729096219	0.0000013141	0.000910518	chr16p13.3
204670_x_at	Hs.308026	major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 3 /// major histocompatibility complex, class II, DR beta 4	HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4	7.7065934	0.0000047041	0.00201318	chr6p21.3
206452_x_at	Hs.400740	protein phosphatase 2A, regulatory subunit B (PR 53)	PPP2R4	7.684656629	0.0000091466	0.002748748	chr9q34
219413_at	Hs.110298	acyl-Coenzyme A binding domain containing 4	ACBD4	7.67701095	0.0000014310	0.000937851	chr17q21.31
224758_at	Hs.9098	solute carrier family 13 (sodium/sulfate symporters), member 4	SLC13A4	7.57582807	0.0000027205	0.003850379	chr7q33
202953_at	Hs.8986	complement component 1, q subcomponent, beta polypeptide	C1QB	7.462992935	0.0001374266	0.011869292	chr1p36.3-p34.1
227078_at	Hs.175804	musculoskeletal, embryonic nuclear protein 1	MUSTN1	7.419294431	0.0000022262	0.003616262	chr3p21.1
219417_s_at	Hs.129563	hypothetical protein FLJ20014	FLJ20014	7.371458112	0.0000024588	0.001441825	chr17p13.1
211499_s_at	Hs.57732	mitogen-activated protein kinase 11	MAPK11	7.248696597	0.0000637811	0.008094617	chr22q13.33
213566_at	Hs.23262	ribonuclease, RNase A family, k6	RNASE6	7.190066216	0.0000035298	0.001800712	chr14q11.2
206217_at	Hs.105407	ectodysplasin A	EDA	7.155101333	0.0000034456	0.001800712	chrxq12-q13.1
211991_s_at	Hs.914	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	7.134655879	0.0001092766	0.010689646	chr6p21.3
219246_s_at	Hs.425608	hypothetical protein FLJ13491	FLJ13491	7.119444463	0.0000037046	0.001800712	chr12q24.31
233560_x_at	Hs.528694	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	MCM8	7.092281234	0.0000038251	0.004728173	chr20p12.3
206106_at	Hs.432642	mitogen-activated protein kinase 12	MAPK12	7.053828002	0.0000042346	0.001887213	chr22q13.33
204150_at	Hs.301989	stabilin 1	STAB1	7.036153338	0.0000042121	0.001887213	chr3p21.1
32062_at	Hs.155650	leucine rich repeat containing 14	LRRC14	6.963441153	0.0000072135	0.002474891	chr8q24.3
204122_at	Hs.9963	TYRO protein tyrosine kinase binding protein	TYROBP	6.956441032	0.0000068675	0.002444633	chr19q13.1
226841_at	Hs.62264	macrophage expressed gene 1	MPEG1	6.924692897	0.0000073680	0.00695197	chr11q12.1
203551_s_at	Hs.436988	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11	6.921029802	0.0000109556	0.003090166	chr17q22
212346_s_at	Hs.511752	MAX dimerization protein 4	MXD4	6.896030768	0.0000471969	0.00682914	chr4p16.3
218893_at	Hs.103833	hypothetical protein FLJ23469	FLJ23469	6.894094537	0.0000062113	0.002268961	chr19q13.42
221698_s_at	Hs.143929	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12 /// C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12	CLECSF12	6.851562815	0.0000055286	0.002145219	chr12p13.2-p12.3
213866_at	Hs.320522	hypothetical protein LOC201191	LOC201191	6.83948957	0.0000060432	0.002252279	chr17q21.33
218180_s_at	Hs.55016	EPS8-like 2	EPS8L2	6.801178758	0.0000060646	0.002252279	chr11p15.5
204773_at	Hs.204891	interleukin 11 receptor, alpha	IL11RA	6.790079056	0.0006070680	0.025914362	chr9p13
209097_s_at	Hs.409202	jagged 1 (Alagille syndrome)	JAG1	6.778775987	0.0000173984	0.004153333	chr20p12.1-p11.23
202607_at	Hs.20894	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	NDST1	6.748479589	0.0000138039	0.003576648	chr5q33.1
238518_x_at	Hs.415312	CG9886-like	GLYCTK	6.716963263	0.0000128038	0.008786092	chr3p21.2-p21.1
213334_x_at	Hs.170835	three prime repair exonuclease 2	TREX2	6.683858549	0.0000077126	0.002500362	chrxq28
204738_s_at	Hs.438833	cerebral cavernous malformations 1	CCM1	6.67063259	0.0000076024	0.002500362	chr7q21-q22
213257_at	Hs.150138	sterile alpha and TIR motif containing 1	SARM1	6.663420421	0.0000546926	0.007476783	chr17q11
210982_s_at	Hs.409805	major histocompatibility complex, class II, DR alpha	HLA-DRA	6.662491697	0.0000075773	0.002500362	chr6p21.3
74694_s_at	Hs.170253	rabaptin, RAB GTPase binding effector protein 2	RABEP2	6.654566979	0.0008183527	0.030200223	chr16p11.2
205129_at	Hs.90691	nucleophosmin/nucleoplasmin, 3	NPM3	6.61697142	0.0000082640	0.002557606	chr10q24.31
201158_at	Hs.346743	N-myristoyltransferase 1	NMT1	6.558505723	0.0000105044	0.003024718	chr17q21.31
226442_at	Hs.107812	ankyrin repeat and BTB (POZ) domain containing 1	ABTB1	6.532170286	0.0000127297	0.008786092	chr3q21
201080_at	Hs.291070	phosphatidylinositol-4-phosphate 5-kinase, type II, beta	PIP5K2B	6.507184049	0.0002160468	0.015049878	chr17q12
203104_at	Hs.174142	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	CSF1R	6.490915831	0.0000601614	0.007839629	chr5q33-q35
219690_at	Hs.352548	hypothetical protein FLJ22573	FLJ22573	6.448839559	0.0000175207	0.004153333	chr19q13.12
205141_at	---	angiogenin, ribonuclease, RNase A family, 5	ANG	6.410265878	0.0000209158	0.004524915	chr14q11.1-q11.2
232926_x_at	Hs.433223	ankyrin repeat domain 19	ANKRD19	6.393722311	0.0000125838	0.008786092	chr9q22.31
204432_at	Hs.43627	SRY (sex determining region Y)-box 12	SOX12	6.368041912	0.0000243657	0.005002593	chr20p13
220626_at	Hs.118620	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	SERPINA10	6.348858797	0.0000244708	0.005002593	chr14q32.13
204714_s_at	Hs.30054	coagulation factor V (proaccelerin, labile factor)	F5	6.315195048	0.0000357057	0.006073515	chr1q23
205056_s_at	Hs.418105	gene rich cluster, A gene	GRCA	6.302479467	0.0000183086	0.004285996	chr12p13
202789_at	Hs.268177	phospholipase C, gamma 1	PLCG1	6.297210481	0.0012795896	0.038017461	chr20q12-q13.1
236745_at	Hs.381943	hypothetical protein FLJ34512	FLJ34512	6.278431289	0.0000148476	0.009606397	chr16p13.3
217360_x_at	Hs.103995 /// Hs.145288 /// Hs.366 /// Hs.383169 /// Hs.406489 /// Hs.413826 /// Hs.439852 /// Hs.446586 /// Hs.448936 /// Hs.448950 /// Hs.497707 /// Hs.525870 /// Hs.525873 /// Hs.525874 /// Hs.528827 /// Hs.64568	hypothetical protein MGC27165 /// Clone RA702-M3-2.fa immunoglobulin heavy chain mRNA, partial cds /// immunoglobulin heavy locus /// Immunoglobulin heavy constant epsilon /// Partial mRNA for immunoglobulin heavy chain variable region (IGHV32-D-JH-Cmu ge	MGC27165 /// IGH@ /// IGHG1 /// IGHM	6.248978756	0.0000171482	0.004153333	chr14q32.33
221247_s_at	Hs.437320	Williams-Beuren syndrome chromosome region 16 /// Williams-Beuren syndrome chromosome region 16	WBSCR16	6.248702799	0.0000265770	0.005287634	chr7q11.23
202988_s_at	Hs.75256	regulator of G-protein signalling 1	RGS1	6.206335518	0.0000306359	0.00564182	chr1q31
