Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
38652_at	hypothetical protein FLJ20154	FLJ20154	AF070644	Above
36239_at	POU domain class 2 associating factor 1	POU2AF1	Z49194	Above
41442_at	core-binding factor runt domain alpha subunit 2 translocated to 3	CBFA2T3	AB010419	Above
37780_at	piccolo presynaptic cytomatrix protein	PCLO	AB011131	Above
36985_at	isopentenyl-diphosphate delta isomerase	IDI1	X17025	Above
38578_at	tumor necrosis factor receptor superfamily member 7	TNFRSF7	M63928	Above
35614_at	transcription factor-like 5 basic helix-loop-helix	TCFL5	AB012124	Above
32224_at	KIAA0769 gene product	KIAA0769	AB018312	Above
32730_at	KIAA1750 protein	NA	AL080059	Above
36937_s_at	PDZ and LIM domain 1 elfin	PDLIM1	U90878	Below
36008_at	protein tyrosine phosphatase type IVA member 3	PTP4A3	AF041434	Above
41200_at	CD36 antigen collagen type I receptor thrombospondin receptor like 1	CD36L1	Z22555	Above
33690_at	DKFZp434A202 from clone DKFZp434A202	NA	AL080190	Above
755_at	inositol 1 4 5-triphosphate receptor type 1	ITPR1	D26070	Above
41097_at	telomeric repeat binding factor 2	TERF2	AF002999	Above
160029_at	protein kinase C beta 1	PRKCB1	X07109	Above
34481_at	vav proto-oncogene	Vav	AF030227	Above
41498_at	KIAA0911 protein	KIAA0911	AB020718	Above
37280_at	MAD mothers against decapentaplegic Drosophila homolog 1	MADH1	U59912	Above
1647_at	IQ motif containing GTPase activating protein 2	IQGAP2	U51903	Below
37724_at	v-myc avian myelocytomatosis viral oncogene homolog	MYC	V00568	Below
37981_at	drebrin 1	DBN1	U00802	Above
37326_at	proteolipid protein 2 colonic epithelium-enriched	PLP2	U93305	Below
37344_at	major histocompatibility complex class II DM alpha	HLA-DMA	X62744	Above
38666_at	pleckstrin homology Sec7 and coiled/coil domains 1 cytohesin 1	PSCD1	M85169	Below
39039_s_at	CGI-76 protein	LOC51632	AI557497	Below
34819_at	CD164 antigen sialomucin	CD164	D14043	Below
40729_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1	NFKBIL1	Y14768	Above
34224_at	fatty acid desaturase 3	FADS3	AC_004770	Above
39827_at	hypothetical protein	FLJ20500	AA522530	Below
32157_at	protein phosphatase 1 catalytic subunit alpha isoform	PPP1CA	S57501	Below
34183_at	DKFZP434C171 protein	DKFZP434C171	AL080169	Below
39329_at	actinin alpha 1	ACTN1	X15804	Below
38124_at	midkine neurite growth-promoting factor 2	MDK	X55110	Above
33304_at	interferon stimulated gene 20kD	ISG20	U88964	Above
41295_at	GTT1 protein	GTT1	AL041780	Below
40745_at	adaptor-related protein complex 1 beta 1 subunit	AP1B1	L13939	Above
38906_at	spectrin alpha erythrocytic 1 elliptocytosis 2	SPTA1	M61877	Above
263_g_at	S-adenosylmethionine decarboxylase 1	AMD1	M21154	Below
41609_at	major histocompatibility complex class II DM beta	HLA-DMB	U15085	Above
39045_at	hypothetical protein FLJ21432	FLJ21432	W26655	Below
39421_at	runt-related transcription factor 1 acute myeloid leukemia 1 aml1 oncogene	RUNX1	D43969	Above
34210_at	CDW52 antigen CAMPATH-1 antigen	CDW52	N90866	Above
