Accession No.	Symbol	Gene	Function
AA008579	Abcg2	ATP-binding cassette, sub-family G (WHITE), member 2	Transport, Ext stim
AA537637	Acas1	Acetyl-Coenzyme A synthetase 1	Metabolism
W33415	Acly	ATP citrate lyase	Metabolism
AA403828, AA387076	Akap12	A kinase (PRKA) anchor protein (gravin) 12	Signal transd.
W64238	Apel-pending	Apelin	Signal transd.
AA087036	Arl6ip2	ADP-ribosylation-like factor 6 interacting protein	Protein met, Transport
AA003372	Bcat1	Branched chain aminotransferase 1, cytosolic	Metabolism
AA030640	Bnip3	BCL2/adenovirus E1B 19 kDa-interacting protein 1, NIP3	Death
AA238417	Cals1	Carbonic anhydrase-like sequence 1	Metabolism
AA396324	Ccnb1	Cyclin B1	Cell cycle
AA111722	Ccnd1	Cyclin D1	Cell cycle
W98440	Ccnd2	Cyclin D2	Cell cycle
AA035888	Cdc2a	Cell division cycle 2 homolog A (S. pombe)	Cell cycle, Protein met
AA153012	Chaf1a	Chromatin assembly factor 1, subunit A (p150)	Cell cycle, Cell org., NA met, Protein met
AA547555	Cks1	CDC28 protein kinase 1	Cell cycle
AA466508	Clic4	Chloride intracellular channel 4 (mitochondrial)	Transport
AA068939	Cnbp	Cellular nucleic acid binding protein	NA met
W14146	Cs	Citrate synthase	Metabolism
AA177976	Cugbp2	CUG triplet repeat, RNA-binding protein 2	NA met, Development
AA267000	Ect2	Epithelial cell transforming sequence 2 oncogene	Cell cycle, Signal transd.
AA204262	Eno1	Enolase 1, alpha non-neuron	Metabolism
AA002514	Fabp7	Fatty acid binding protein 7, brain	Cell cycle, Metabolism, Transport, Development
AA066741, AA032807	FoxM1	Forkhead box M1	NA met, Stress, Ext stim
AA237872	Gcs1	Glucosidase I	NA met
AA255078	Glk	Galactokinase	Metabolism
AA276216	Gpi1	Glucose phosphate isomerase 1 complex	Metabolism
AA220714	Gys3	Glycogen synthase 3	Metabolism
AA414831	Hig1-pending	Hypoxia induced gene 1	Death
AA275111	Hmgb2	High mobility group protein 2	Cell org., NA met
AA049862	Hrb	HIV-1 Rev binding protein (nuclear)	Transport
AI892096	Idh3a	Isocitrate dehydrogenase 3 (NAD+) alpha	Metabolism
AA003218	Kife1	Kinesin family member C1	Cell org.
W66752	Kpnb3	Karyopherin (importin) beta 3 (nuclear)	Transport
AA265396	Lag	Leukemia-associated gene (stathmin 1)	Cell org., Signal transd.
AA239254	Lce-pending	Long chain fatty acyl elongase (mitochondrial)	Metabolism
W30242	Lrrfip1	Leucine rich repeat (in FLII) interacting protein 1	NA met
AA011839	Mcmd2	Mini chromosome maintenance deficient 2 (S. cerevisiae)	Cell cycle, Cell org., NA met
AA259788	Mcmd4	Mini chromosome maintenance deficient 4 (S. cerevisiae)	NA met
AA016759	Mcmd6	Mini chromosome maintenance deficient 6 (S. cerevisiae)	Cell cycle, NA met
AA544948	Mcmd7	Mini chromosome maintenance deficient 7 (S. cerevisiae)	Cell cycle, NA met
AA242457	Mmp15	Matrix metalloproteinase 15	Protein met
W84014	Mthfd2	Methylenetetrahydrofolate dehydrogenase (NAD + dependent)	Metabolism
AA009268	Myc	Myelocytomatosis oncogene	Cell cycle, NA met
W13528	Myh8	Myosin, heavy polypeptide 8, skeletal muscle, perinatal	Cell org., Development
AA118848	Nicastrin	Nicastrin	Protein met
W63828	Nup88	Nucleoporin 88 kDa	Transport
W88183	Olig2	Oligodendrocyte transcription factor 2	NA met, Development
AA116947	Pcna	Proliferating cell nuclear antigen	Cell cycle, NA met
AA423301	Pdha1	Pyruvate dehydrogenase E1 alpha subunit	Metabolism
AA203878	Pfkfb1	Inducible 6-phosphofructo-2-kinase	Metabolism
AA475930	Pgcp-pending	Plasma glutamate carboxypeptidase	Protein met
W98869	Ptbp1	Polypyrimidine tract binding protein	NA met
AA007773	Ptdsr	Phosphatidylserine receptor	Stress, Cell–cell
AA250500	Pttg1	Pituitary tumor-transforming 1	NA met, Development
W41878	Pycs	Pyrroline-5-carboxylate synthetase	Metabolism
A1327394	Racgap1	Rac GTPase-activating protein 1, Ras superfamily	Signal transd.
W83609	Rbp1	Retinol binding protein 1, cellular	Metabolism, Transport
AA108363	Rpl3	Ribosomal protein L3	Protein met
W47785	Rps6kal	Ribosomal protein S6 kinase polypeptide 1	Cell cycle, Protein met, Signal transd.
AA267034	Ruvbl2	RuvB-like protein 2	NA met, Protein met
W82738	Scarb1	Scavenger receptor class B1	Metabolism, Transport, Death
W91516	Sell	Selectin L	Cell org., Cell–cell, Ext stim
AA033138	Slc25a5	Solute carrier family 25 (mitochondrial)	Transport
AA000101	Sox3	SRY-box containing gene 3	NA met, Development
AA190123	Tacc3	Transforming, acidic coiled-coil containing protein 3	Cell cycle, Stress, Development
AA041834	Tk1	Thymidine kinase 1	NA met
AA270625	Tnc	Tenascin C	Cell–cell
AA212159	Tubb5	Tubulin, beta 5	Cell org.
AA020155	Upp	Uridine phosphorylase	NA met
AA020307	Vldlr	Very low density lipoprotein receptor	Metabolism, Transport, Signal transd., Development
AA178164	Zfp26	Zinc finger protein 26	NA met
