Gene Symbol	Systematic Name	Description	List score	Gene regulation in M IGHV3-23 CLL	Position in heatmap
EPS15	NM_001981	Homo sapiens epidermal growth factor receptor pathway substrate 15 (EPS15), mRNA [NM_001981]	421	down	1
7-Mar	NM_022826	Homo sapiens membrane-associated ring finger (C3HC4) 7 (MARCH7), mRNA [NM_022826]	415	down	2
PRKAR1A	NM_212472	Homo sapiens protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1) (PRKAR1A), transcript variant 3, mRNA [NM_212472]	425	down	3
CCDC100	NM_153223	Homo sapiens coiled-coil domain containing 100 (CCDC100), mRNA [NM_153223]	401	down	4
ZNF96	NM_001039643	Homo sapiens zinc finger protein 96 (ZNF96), mRNA [NM_001039643]	354	down	5
CRBN	NM_016302	Homo sapiens cereblon (CRBN), mRNA [NM_016302]	414	down	6
A_24_P518369	A_24_P518369	Unknown	448	down	7
SERP1	NM_014445	Homo sapiens stress-associated endoplasmic reticulum protein 1 (SERP1), mRNA [NM_014445]	380	down	8
ENST00000382908	ENST00000382908	Unknown	365	down	9
GCH1	NM_000161	Homo sapiens GTP cyclohydrolase 1 (dopa-responsive dystonia) (GCH1), transcript variant 1, mRNA [NM_000161]	431	down	10
AP3M2	NM_006803	Homo sapiens adaptor-related protein complex 3, mu 2 subunit (AP3M2), mRNA [NM_006803]	476	down	11
SOCS5	NM_144949	Homo sapiens suppressor of cytokine signaling 5 (SOCS5), transcript variant 2, mRNA [NM_144949]	567	down	12
HSP90B1	NM_003299	Homo sapiens heat shock protein 90kDa beta (Grp94), member 1 (HSP90B1), mRNA [NM_003299]	516	down	13
BU537617	BU537617	BU537617 AGENCOURT_10224860 NIH_MGC_126 Homo sapiens cDNA clone IMAGE:6567892 5, mRNA sequence [BU537617]	456	down	14
CPSF6	NM_007007	Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA [NM_007007]	429	down	15
BCOR	NM_017745	Homo sapiens BCL6 co-repressor (BCOR), transcript variant 1, mRNA [NM_017745]	681	down	16
ERBB2IP	NM_018695	Homo sapiens erbb2 interacting protein (ERBB2IP), transcript variant 2, mRNA [NM_018695]	373	down	17
C12orf35	NM_018169	Homo sapiens chromosome 12 open reading frame 35 (C12orf35), mRNA [NM_018169]	353	down	18
ACTR2, †	NM_001005386	Homo sapiens ARP2 actin-related protein 2 homolog (yeast) (ACTR2), transcript variant 1, mRNA [NM_001005386]	544	down	19
CANX	NM_001746	Homo sapiens calnexin (CANX), transcript variant 1, mRNA [NM_001746]	361	down	20
RNF13	NM_007282	Homo sapiens ring finger protein 13 (RNF13), transcript variant 1, mRNA [NM_007282]	572	down	21
BRCC3	NM_001018055	Homo sapiens chromosome X open reading frame 53 (CXorf53), transcript variant 2, mRNA [NM_001018055]	355	down	22
