GenBank ID	Gene Description
U35623	Myeloid cell leukemia sequence 1
AA615100	NA
AI8422603	NA
AW060684	NA
AI852735	NA
U57524	Nuclear factor kappa light polypeptide
U22399	Cyclin dependent kinase inhibitor 1C
AI850186	CGI 65 protein
AI854851	NA
X51703	NA
D10630	ZF38
AW121180	NA
M22998	Glucose transporter type 1
AV248951	NA
U79962	RNA binding protein 2
AA867646	NA
U88328	STAT induced STAT inhibitor 3
AW122692	NA
AB016490	NA
AW124245	NA
AW209414	NA
AA967717	Mesenchymal stem cell protein DSC92
AV352777	NA
AW060250	NA
AW045596	NA
AW124355	Syntaxin 6
AA760339	Disrupter of silencing 10
AW047866	NA
D10627	NA
C76063	NA
AA657044	Neuroblast differentiation assoc. protein
M72414	Microtubule associated protein 4
AI846182	HIP1 related
AI552922	NA
AF041060	NA
AW121613	NA
AI648925	dTDP D glucose 4 6 dehydratase
AI595382	NA
D01034	TATA box binding protein
AI836109	Hydrolase homologue 2880964CD1
AF031128	Peroxisomal membrane protein 3
AI036466	Phosphatidic acid phospholipase A1
AI852578	NA
U07159	Acyl Coenzyme A dehydrogenase
Z17804	Cadherin associated protein
AW048484	NA
D84096	Ubiquitin carboxyl terminal hydrolase
AF004927	Sigma opioid receptor type I
AI847650	HT002 protein
AF073523	RAD1 S. pombe homolog
AI853575	Mitochodnrial ribosomal protein S2
AW122332	NA
X02452	NA
AI047076	Fidgetin like 1
X57687	Lymphoblastic leukemia derived sequence 1
