Gene	ID	t1/2
AB026190	AA479295	63
ABCE1	T70122	65
ABR	W24076	98
ACADM	N70794	108
ACADSB	H96140	40
ACTR1A	AI014416	273
ADAM9	H59231	75
ADK	R12473	328
AGL	AA668425	51
AKT1	W77811	49
ALTE	AA630498	187
AP3M2	R14443	222
APACD	AA085749	110
APM1	H45617	84
ARCN1	AA598401	74
ARFD1	AA706974	28
ARHGEF7	AA452871	254
ARHGEF9	AA147072	113
ARPC5	W55964	124
ATP1B1	AA598814	42
ATP2A2	H85355	98
ATP6E	AI986422	245
ATP6F	AA480826	941
ATRX	AA410435	66
AUH	AA448711	52
B3GNT1	H93550	29
B4GALT3	AA424578	63
BACH	AA035455	199
BCL2L2	AA456480	47
BIRC2	R19628	101
BIRC3	AA002126	67
BLZF1	R43576	89
BMP6	AA424833	31
BNIP3	AA063521	57
BPNT1	AA197334	46
BRCA2	H48122	55
BRD2	AA918860	89
BRP441	AA459690	174
BSN	H18306	68
BTAF1	AA120777	76
BTF	H21107	51
BTN2A1	H68107	110
BUB3	H38804	105
BYSL	AA701929	148
C1orf16	AA431423	73
C1orf29	AA410567	54
C20orf45	AA004210	63
C4orf1	AA757427	76
C7	AA598478	81
C8orf1	AA027049	139
CALU	R78585	231
CAP350	AI001846	41
CASP7	T50828	274
CBLN1	AA495901	143
CBX3	AA682719	69
CCT2	N38959	70
CD164	AA598561	191
CD36	N39161	295
CDC27	T81764	122
CDC42	AA009697	667
CDC7L1	N62245	54
CDK2	AI653017	424
CDKN2D	R77517	93
CENTB2	AA490493	104
CHS1	N74383	70
CHSY1	AA703453	61
CIAS1	AW468866	39
CNK	AA489234	57
COX17	AA099855	76
CREBBP	AA023014	57
CREG	T71991	389
CRLF3	AI240562	37
CRSP2	AA150093	650
CRTAP	AA486278	62
CSF2	AA995402	39
CSPG2	AA101875	193
CTF1	AA708512	39
CUL3	H98621	72
CXCR4	T62491	51
CYP1B1	AA448157	86
CYP51	AA477893	51
DAZ	AA133797	71
DBT	R89083	32
DBY	W37634	101
DDEF2	N70773	153
DDX11	AA032090	88
DDX16	AA457157	137
DDX18	R08935	76
DDX3	AA626845	58
DDX8	AA458473	64
DIS3	H03208	45
DLEU2	N25204	137
DMTF1	AA129860	103
DMXL1	N29992	48
DSCR3	R97540	119
DUSP2	AA759046	17
DYRK1A	AA676749	48
E2F1	AA424950	88
EDN3	T67005	90
EDNRB	H28710	65
EEF2	R20379	187
EGR2	AA446027	16
EHHADH	R02373	30
EIF2AK3	AA436178	139
EIF3S1	AA455070	54
EIF4E	AA193254	90
EIF4G3	N92469	184
ENC1	H72122	46
ENDOFIN	R26672	42
EPB49	N55461	31
ESM1	W46577	77
EVI5	T65001	53
EZH2	AA430744	132
F2R	N20407	52
F3	AI313387	56
FACL4	AA633818	112
FCER1G	H79353	697
FKBP4	AA932521	157
FUT4	R28447	67
G3BP2	AA151214	177
GABPB2	AW571916	224
GALC	W85914	452
GAS41	T62072	65
GC20	AA488391	341
GCA	R44739	85
GCP3	AI004751	253
GFI1	AA418008	47
GLO1	AA136710	103
GLS	R89349	41
GMFB	H22652	190
GNE	T68440	44
GNG10	AA460286	121
GOT1	H22856	563
GPC1	AA455896	208
GRB10	AA136336	67
GS2NA	AA418918	122
GS3786	H88599	79
GTF2A2	T55801	89
GTF2B	H23978	75
GYS2	N72934	62
HCS	R52654	172
HD	T64094	83
HERC3	AA282253	57
HIF1A	AA598526	80
HIVEP2	AA683219	194
HK1	AA485272	38
HNRPA2B	W02101	81
HSPC019	AI017010	171
HSU79274	AA451900	91
ID2	AA482267	31
IDH3A	AA464206	71
IER3	AA480815	71
IFNA1	M29884	35
IFNAR1	N59150	67
IFNB	M28622	138
IGF1	N67876	47
IL10	M57627	155
IL10RA	AA437226	81
IL12B	M65272	93
IL17	U32659	101
IL1RAP	AA256132	134
IL2	S77834	38
IL24	AA281635	247
IL3	M14743	124
IL4	M13982	37
IL5	X12705	89
IL6	M14584	204
IMPA1	H90219	61
IQGAP1	AA598496	118
ITGA2	AA463610	51
ITGAV	AA029934	251
ITSN1	AA496795	181
JUN	W96134	17
KAL1	H17882	47
KDR	AA026831	57
KIAA0010	AA284599	91
KIAA0022	H60460	64
KIAA0028	H19822	193
KIAA0040	AA465479	62
KIAA0141	AA455516	103
KIAA0171	H15458	73
KIAA0212	AA630346	115
KIAA0232	AA406589	75
KIAA0247	N63733	81
KIAA0254	N75979	116
KIAA0266	AA598993	37
KIAA0296	AA890161	37
KIAA0298	AA853966	20
KIAA0354	AA062802	62
