Genes less expressed in post-CT samples	Gene Description	Fc (Pre/Post-CT)
C20orf45	(chromosome 20 open reading frame 45)	2.6
MRPS17	(mitochondrial ribosomal protein S17)	2.5
CSE1L	[CSE1 chromosome segregation 1-like (yeast)]	2.5
BET1	[BET1 homolog (S. cerevisiae)]	2.5
ITPKC	(inositol 1,4,5-trisphosphate 3-kinase C)	2.5
KLK2	(kallikrein 2, prostatic)	2.4
ZNF19	[zinc finger protein 19 (KOX 12)]	2.4
GLCE	(glucuronyl C5-epimerase)	2.4
GIT1	(G protein-coupled receptor kinase-interactor 1)	2.3
SRPRB	(signal recognition particle receptor, B subunit)	2.3
TA-PP2C	(T-cell activation protein phosphatase 2C)	2.3
CKLFSF4	(chemokine-like factor super family 4)	2.3
RNP24	(coated vesicle membrane protein)	2.3
LOC84661	(dpy-30-like protein)	2.3
C14orf120	(chromosome 14 open reading frame 120)	2.2
PBXIP1	(pre-B-cell leukemia transcription factor interacting protein 1)	2.2
VLDLR	(very low density lipoprotein receptor)	2.2
PTBP2	(polypyrimidine tract binding protein 2)	2.1
SPAG9	(sperm associated antigen 9)	2.1
KCTD15	(potassium channel tetramerisation domain containing 15)	2.1
METTL3	(methyltransferase like 3)	2.1
GALC	[galactosylceramidase (Krabbe disease)]	2.1
CNNM3	(cyclin M3)	2.1
LMAN2	(lectin, mannose-binding 2)	2
ARHE	(rashomolog gene family, member E)	2
ZNF189	(zinc finger protein 189)	2
