Gene name	GenBank accession no.	Symbol	G1; Regulation in HCCs	G3; Regulation in HCCs
H2A histone family	AA488627	H2AFY	1	1.8
Expressed sequence tag	AA45944		1.6	2.6
Papillary renal cell carcinoma	AA488180	PRCC	1	1.7
Heterogeneous nuclear ribonucleoprotein M	AA504272	HNRPM	1	1.6
Microspherule protein 1	AA488979	MCRS1	-1.2	1.3
Ribosomal protein S23	N73091	RPS23	-1.3	1.6
Histone deacetylase 2	AA127093	HDAC2	-1.2	1.8
CGI-69 protein	AA485441	CGI-69	-1.5	1.5
Replication factor C (activator 1) 4	N93924	RFC4	-1.6	1.6
Expressed sequence tag	N59870		-1.3	1.3
Nucleolin	AA476294	NCL	-1.6	1.6
Bromodomain containing 4	R32788	BRD4	-1.1	1.6
Sjogren syndrome antigen B (autoantigen La)	H29485	SSB	-1.4	1.4
CDW92 antigen	AA457261	CDw92	-2.7	-1.2
Aryl hydrocarbon receptor	AA461522	AHR	-1.5	1.2
Fatty acid desaturase 1	AA431773	FADS1	-4	1.7
Vesicle docking protein p115	AA504342	VDP	1.2	-1.8
Glyoxylate reductase/hydroxypyruvate reductase	R83908	GRHPR	-1.3	-3.9
Complement component 8, alpha polypeptide	H53865	C8A	-1.6	-7.6
Deoxyribonuclease I-like 3	T73558	DNASE1L3	-2.5	-9.6
Liver-expressed antimicrobial peptide 2	R93723	LEAP-2	-1.5	-4.1
Liver-expressed antimicrobial peptide 2	T82264	LEAP-2	-1.6	-4.5
Lutheran blood group (Auberger b antigen included)	H24954	LU	-2.3	-3.6
Seven in absentia homologue	T71889	SIAH1	-1.4	-4.1
Expressed sequence tag	N58432		-1.6	-6.4
Mitochondrial ribosomal protein L46	AA446865	MRPL46	-1.3	-2.1
CD8 antigen, alpha polypeptide (p32)	AA443584	CD8A	-1.8	-3.6
Protein kinase C, iota	T57875	PRKCI	1	-3.7
Expressed sequence tag	AA490120		1.1	-5
Epithelial membrane protein 2	T88721	EMP2	1.1	-2.6
Alcohol dehydrogenase 6 (class V)	T87343	ADH6	-1.2	-4.7
Solute carrier family 38, member 2	AA598996	SLC38A2	-1.3	-3.8
Translocation protein 1	AA450205	TLOC1	1	-1.7
Expressed sequence tag	R61700		1.1	-1.4
Acyl-CoA synthetase long-chain family member 6	AA426087	FACL6	2	-1.1
Expressed sequence tag	R60924		1.5	-1.8
Hydroxysteroid (17-beta) dehydrogenase 4	AA487914	HSD17B4	2	-1.7
Betaine-homocysteine methyltransferase 2	N78012	BHMT2	2	-2.4
IFN-stimulated transcription factor 3, gamma	AA291389	ISGF3G	2.5	-1.8
Cytochrome b5	R91950	CYB5	2	-2.5
Formyltetrahydrofolate dehydrogenase	T52840	FTHFD	2.1	-3.7
Anaphase-promoting complex subunit 7	AF191340	ANAPC7	2.1	-3.1
Regucalcin	H05140	RGN	1.6	-2.2
Acetyl-coenzyme A acyltransferase 2	P42765	ACAA2	1.5	-2.4
Acyl-coenzyme A dehydrogenase	P11310	ACADM	2.3	-1.1
Hypothetical protein FLJ13456	N25234	FLJ13456	1.9	-1.1
Putative ethanolamine kinase	H77536	FLJ10761	4.7	-1.1
Expressed sequence tag	R02373		4.5	1
Solute carrier family 16	U59299	SLC16A2	2.4	-1.1
Sorbitol dehydrogenase	A54674	SORD	5.4	1.8
Betaine-homocysteine methyltransferase	T58896	BHMT	4	-1.9
Ankyrin repeat and SOCS box-containing 13	T12477	ASB13	1.5	-2.1
Selenium-binding protein 1	T65736	SELENBP1	2.8	-1.5
