Class Correlation	Feature no.	Fold increase	Accession no.	Gene Description
GBM	34091_s_at	2.55	Z19554	VIM:vimentin
GBM	630_at	4.83	L39874	DCTD: dCMP deaminase
GBM	631_g_at	2.8	L39874	DCTD: dCMP deaminase
GBM	39691_at	1.8	AB007960	SH3GLB1: SH3-domain GRB2-like endophilin B1
GBM	160039_at	5.57	NM_002747	MAPK4: mitogen-activated protein kinase 4
GBM	35016_at	1.89	M13560	CD74: CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen associated)
GBM	38791_at	1.78	D29643	DDOST: dolichyl-diphosphooligosaccharide protein glycosyltransferase
GBM	1395_at	2.1	L25081	ARHC: ras homologue gene family, member C
GBM	37542_at	2.41	D86961	LHFPL2: lipoma HMGIC fusion partner-like 2
GBM	935_at	1.49	L12168	CAP: adenylyl cyclase-associated protein
AO	33619_at	2.2	L01124	RPS13: ribosomal protein S13
AO	34679_at	2.64	X02596	BCR: breakpoint cluster region
AO	37573_at	3.96	AF007150	ANGPTL2: angiopoietin-like 2
AO	33677_at	1.81	M94314	RPL24: ribosomal protein L24
AO	326_i_at	2.03	HG1800–HT1823	RPS20: ribosomal protein S20
AO	41325_at	2.43	AF006823	KCNK3: potassium channel, subfamily K, member 3 (TASK-1)
AO	38681_at	1.76	U62962	EIF3S6: eukaryotic translation initiation factor 3, subunit 6 (48kD)
AO	41792_at	2.16	L78207	ABCC8: ATP-binding cassette, subfamily C (CFTR/MRP), member 8
AO	37249_at	3.4	AF079529	PDE8B: phosphodiesterase 8B
AO	37953_s_at	2.77	U78181	ACCN2: amiloride-sensitive cation channel 2, neuronal
