Probe Set ID	Gene Symbol	Gene Title	Median fold change	Interquartile range
209555_s_at	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	1.84	0.85 – 6.99
201141_at	GPNMB	glycoprotein (transmembrane) nmb	1.67	1.18 – 2.36
211896_s_at	DCN	decorin	1.64	1.00 – 2.65
213068_at	DPT	dermatopontin	1.64	0.97 – 3.75
202283_at	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	1.6	1.06 – 1.96
207173_x_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	1.58	1.03 – 2.28
206488_s_at	CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	1.58	0.88 – 3.26
208791_at	CLU	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	1.57	1.03 – 2.38
221019_s_at	COLEC12	collectin sub-family member 12	1.57	1.17 – 2.21
203980_at	FABP4	fatty acid binding protein 4, adipocyte	1.57	0.85 – 4.29
204955_at	SRPX	sushi-repeat-containing protein, X-linked	1.56	0.97 – 2.19
204052_s_at	SFRP4	secreted frizzled-related protein 4	1.55	1.14 – 2.50
204051_s_at	SFRP4	secreted frizzled-related protein 4	1.55	1.16 – 2.62
201069_at	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1.54	1.14 – 2.15
212865_s_at	COL14A1	collagen, type XIV, alpha 1 (undulin)	1.54	1.03 – 2.22
202948_at	IL1R1	interleukin 1 receptor, type I	1.53	0.95 – 2.31
201852_x_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	1.51	1.01 – 2.02
202450_s_at	CTSK	cathepsin K (pycnodysostosis)	1.51	1.16 – 2.01
202688_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	1.5	0.94 – 2.12
