HELP ID	# clusters detected	# cases w/ hyper or hypomethylation	Accession	Gene symbol
MSPI0406S00908340	16	285	NM_022103	ZNF667
MSPI0406S00785511	16	265	NM_001124758	SPNS2
MSPI0406S00870600	15	315	NM_152476	ZNF560
MSPI0406S00613096	15	331	NM_002281	KRT81
MSPI0406S00274414	15	312	NM_001882	CRHBP
MSPI0406S00908309	14	333	NM_144690	ZNF582
MSPI0406S00852330	14	314	NM_021127	PMAIP1
MSPI0406S00829958	14	330	AB097006	CANT1
MSPI0406S00653659	14	319	NM_024705	DHRS12
MSPI0406S00558409	14	320	NM_080654	CCDC34
MSPI0406S00213791	14	339	NM_025163	PIGZ
MSPI0406S00146431	14	340	NM_018534	NRP2
MSPI0406S00960076	13	329	NM_013378	VPREB3
MSPI0406S00848242	13	293	NM_173206	PIAS2
MSPI0406S00826166	13	301	NM_013260	SAP30BP
MSPI0406S00826166	13	301	NM_001003715	RECQL5
MSPI0406S00265126	13	343	NM_178140	PDZD2
MSPI0406S00062872	13	244	NM_015569	DNM3
MSPI0406S00914181	12	249	NM_014962	BTBD3
MSPI0406S00798560	12	336	NM_144610	FLJ25006
MSPI0406S00798560	12	336	CR610211	CS0DD002YI15
MSPI0406S00537146	12	290	NM_001003408	ABLIM1
MSPI0406S00528891	12	321	NM_183374	CYP26C1
MSPI0406S00340363	12	274	NM_198569	GPR126
MSPI0406S00239368	12	258	NM_001059	TACR3
MSPI0406S00760933	11	336	NM_005953	MT2A
MSPI0406S00704116	11	326	NM_003020	SCG5
MSPI0406S00685030	11	281	NM_201595	GTF2A1
MSPI0406S00685030	11	281	BC040628	BC040628
MSPI0406S00606787	11	341	NM_006390	IPO8
MSPI0406S00394642	11	324	NM_012470	TNPO3
MSPI0406S00247456	11	296	NM_003264	TLR2
MSPI0406S00201342	11	321	NM_053024	PFN2
MSPI0406S00055568	11	308	NM_031420	MRPL9
MSPI0406S00055568	11	308	NM_016178	OAZ3
MSPI0406S01015163	10	319	NM_024597	MAP7D3
MSPI0406S01011804	10	331	NM_001137554.1	MCTS1
MSPI0406S00838340	10	239	NM_003409	ZFP161
MSPI0406S00646456	10	303	NM_001260	CDK8
