Affymetrix number	Gene Name	Gene Symbol	Reference Number	Chi-Square Value	Above/Below mean
38652_at	hypothetical protein FLJ20154	FLJ20154	AF070644	137.92	Above
36239_at	POU domain class 2 associating factor 1	POU2AF1	Z49194	131.43	Above
41442_at	core-binding factor runt domain alpha subunit 2 translocated to 3	CBFA2T3	AB010419	130.17	Above
37780_at	piccolo presynaptic cytomatrix protein	PCLO	AB011131	126.79	Above
36985_at	isopentenyl-diphosphate delta isomerase	IDI1	X17025	125.47	Above
38578_at	tumor necrosis factor receptor superfamily member 7	TNFRSF7	M63928	115.72	Above
38203_at	potassium intermediate/small conductance calcium-activated channel subfamily N member 1	KCNN1	U69883	112.87	Above
35614_at	transcription factor-like 5 basic helix-loop-helix	TCFL5	AB012124	108.45	Above
32224_at	KIAA0769 gene product	KIAA0769	AB018312	107.08	Above
32730_at	Homo sapiens mRNA for KIAA1750 protein partial cds	NA	AL080059	104.93	Above
35665_at	phosphoinositide-3-kinase class 3	PIK3C3	Z46973	104.83	Above
1077_at	recombination activating gene 1	RAG1	M29474	102.9	Above
36524_at	Rho guanine nucleotide exchange factor GEF 4	ARHGEF4	AB029035	100.67	Above
34194_at	Homo sapiens cDNA FLJ21697 fis clone COL09740	NA	AL049313	98.31	Above
36937_s_at	PDZ and LIM domain 1 elfin	PDLIM1	U90878	96.91	Below
36008_at	protein tyrosine phosphatase type IVA member 3	PTP4A3	AF041434	96.68	Above
1299_at	telomeric repeat binding factor 2	TERF2	X93512	93.08	Above
41814_at	fucosidase alpha-L- 1 tissue	FUCA1	M29877	92.77	Above
41200_at	CD36 antigen collagen type I receptor thrombospondin receptor like 1	CD36L1	Z22555	90.86	Above
35238_at	TNF receptor-associated factor 5	TRAF5	AB000509	90.81	Above
880_at	FK506-binding protein 1A 12kD	FKBP1A	M34539	86.69	Above
33690_at	Homo sapiens mRNA cDNA DKFZp434A202 from clone DKFZp434A202	NA	AL080190	86.69	Above
40272_at	collapsin response mediator protein 1	CRMP1	D78012	85.44	Above
35362_at	myosin X	MYO10	AB018342	83.6	Above
41819_at	FYN-binding protein FYB-120/130	FYB	U93049	83.25	Above
40279_at	KIAA0121 gene product	KIAA0121	D50911	81.66	Above
1488_at	protein tyrosine phosphatase receptor type K	PTPRK	L77886	81.66	Above
1325_at	MAD mothers against decapentaplegic Drosophila homolog 1	MADH1	U59423	81.17	Above
37908_at	guanine nucleotide binding protein 11	GNG11	U31384	80.37	Above
769_s_at	annexin A2	ANXA2	D00017	78.68	Below
33415_at	non-metastatic cells 2 protein NM23B expressed in	NME2	X58965	77.04	Below
1980_s_at	non-metastatic cells 2 protein NM23B expressed in	NME2	X58965	76.35	Below
32579_at	SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily a member 4	SMARCA4	D26156	76.35	Above
39425_at	thioredoxin reductase 1	TXNRD1	X91247	75.97	Above
755_at	inositol 1 4 5-triphosphate receptor type 1	ITPR1	D26070	75.56	Above
37343_at	inositol 1 4 5-triphosphate receptor type 3	ITPR3	U01062	75.11	Above
1336_s_at	protein kinase C beta 1	PRKCB1	X06318	73.96	Above
41097_at	telomeric repeat binding factor 2	TERF2	AF002999	73.84	Above
31786_at	Sam68-like phosphotyrosine protein T-STAR	T-STAR	AF051321	73.72	Above
160029_at	protein kinase C beta 1	PRKCB1	X07109	73.66	Above
