Gene name	Affymetrix probe set id
ANLN	222608_s_at
BUB1	209642_at
BUB3	201457_x_at
CCNB1	214710_s_at
CDC2	203213_at
CDKN3	209714_s_at
CENPA	204962_s_at
CENPF	207828_s_at
CKS2	204170_s_at
DPP3	218567_x_at
DTL	218585_s_at
FOXM1	202580_x_at
HN1	217755_at
KPNA2	211762_s_at
MELK	204825_at
MLF1IP	218883_s_at
NDC80	204162_at
NME	201577_at
NUSAP1	218039_at
PAFAH1B3	203228_at
PBK	219148_at
PCNA	201202_at
PRC1	218009_s_at
RACGAP1	222077_s_at
RRM2	201890_at
SMC4	201663_s_at
SQLE	209218_at
TK1	202338_at
TOP2A	201291_s_at
TYMS	1554696_s_at
