Rank	Gene Symbol	Probe Set ID	Q Value (biCEBPA v wtCEBPA)	Fold Change (biCEBPA v wtCEBPA)
1	HOXA9	GC07M027168_at	0.000758	0.097
2	HOXA5	GC07M027147_at	0.00106	0.18
3	BASP1	GC05P017270_at	0.00104	0.188
4	CFD	GC19P000811_at	0.00267	0.199
5	HOXB2	GC17M043975_at	0.000758	0.208
6	PPBP	GC04M075092_at	0.0178	0.268
7	CLC	GC19M044913_at	0.0248	0.276
8	NDFIP1	GC05P141468_at	0.00182	0.285
9	AZU1	GC19P000776_at	0.0256	0.293
10	HOXB6	GC17M044028_at	0.00164	0.298
11	HOXA10	GC07M027176_at	0.000758	0.301
12	SUCLG2	GC03M067507_at	0.00254	0.306
13	CD52	GC01P026516_at	0.0077	0.307
14	SCHIP1	GC03P160474_at	0.00441	0.313
15	TNS3	GC07M047281_at	0.00382	0.333
16	COL4A5	GC0XP107489_at	0.00639	0.345
17	TUBB6	GC18P012299_at	0.00182	0.346
18	ARL4C	GC02M235066_at	0.00983	0.348
19	PLAUR	GC19M048842_at	0.00314	0.349
20	IRS2	GC13M109204_at	0.0077	0.363
21	CD9	GC12P006179_at	0.00781	0.364
22	BAG3	GC10P121400_at	0.0132	0.37
23	S100A8	GC01M151629_at	0.0119	0.37
24	TRIB1	GC08P126511_at	0.0188	0.371
25	ALOX5AP	GC13P030207_at	0.0145	0.376
26	TREM1	GC06M041351_at	0.0302	0.383
27	KLF10	GC08M103731_at	0.00837	0.398
28	PBEF1	GC07M105677_at	0.0234	0.398
29	DDIT4	GC10P073703_at	0.0195	0.405
30	ALOX5	GC10P045189_at	0.0388	0.414
31	CEBPB	GC20P048240_at	0.0279	0.414
32	BTG1	GC12M091039_at	0.00712	0.415
33	CSTB	GC21M044018_at	0.0077	0.416
34	BEX4	GC0XP102357_at	0.01	0.417
35	PRKAR2B	GC07P106472_at	0.017	0.42
36	HMOX1	GC22P034101_at	0.0287	0.422
37	CLEC7A	GC12M010161_at	0.0425	0.422
38	PELI1	GC02M064231_at	0.0369	0.426
39	ALDH2	GC12P110667_at	0.0327	0.426
40	F13A1	GC06M006089_at	0.0412	0.428
41	TSPO	GC22P041877_at	0.0117	0.429
42	SH3BP5	GC03M015271_at	0.00505	0.441
43	ACSL1	GC04M185914_at	0.0302	0.445
44	KIAA0746	GC04M025425_at	0.0033	0.446
45	CXCR4	GC02M136588_at	0.0276	0.447
46	ZFP36L2	GC02M043362_at	0.0247	0.456
47	SCO2	GC22M049308_at	0.0372	0.458
48	KLF11	GC02P010135_at	0.028	0.458
49	NGFRAP1	GC0XP102437_at	0.0328	0.46
50	IGHM	GC14M105389_at	0.0107	0.462
51	CAST	GC05P096036_at	0.0112	0.464
52	TOB1	GC17M046294_at	0.0442	0.475
53	SNX10	GC07P026298_at	0.0435	0.477
54	GBP2	GC01M089345_at	0.0117	0.479
55	ARHGEF3	GC03M056736_at	0.0392	0.479
56	CTNNA1	GC05P138117_at	0.0112	0.48
57	SH3TC1	GC04P008251_at	0.011	0.483
58	BTBD14A	GC09M138038_at	0.0264	0.484
59	HLX	GC01P219120_at	0.0186	0.486
60	EMR1	GC19P006838_at	0.043	0.488
61	GALNAC4S-6ST	GC10M125758_at	0.0333	0.489
62	CEBPA	GC19M038482_at	0.0302	2.042
63	TSPAN7	GC0XP038305_at	0.01	2.057
64	CD38	GC04P015457_at	0.0127	2.087
65	ANKRD27	GC19M037780_at	0.00639	2.133
66	GYPC	GC02P127129_at	0.043	2.174
67	POU4F1	GC13M078071_at	0.00639	2.204
68	ITM2C	GC02P231437_at	0.0169	2.239
69	C11orf32	GC11U900634_at	0.0168	2.314
70	TSPAN13	GC07P016759_at	0.0214	2.314
71	CSRP2	GC12M075754_at	0.00106	2.324
72	CD96	GC03P112743_at	0.0117	2.444
73	STAP1	GC04P068108_at	0.00277	2.458
74	S100B	GC21M046842_at	0.000758	2.565
75	CD34	GC01M206116_at	0.00505	2.701
76	P2RX5	GC17M003523_at	0.00104	2.723
77	CTSW	GC11P065405_at	0.00712	2.882
78	MPO	GC17M053702_at	0.0186	3.567
79	PGDS	GC04M095522_at	0.000758	3.822
80	TRH	GC03P131176_at	0.000758	3.888
81	MEST	GC07P129913_at	0.00417	3.961
82	ITM2A	GC0XM078422_at	0.00145	4.303
83	CYTL1	GC04M005135_at	0.00257	4.586
