Parametric p-value	Fold difference of geometric means (R vs T)	Description	Clone	UG cluster	Gene symbol	Map
p < 1e-07	0.031	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	2060355	Hs.73848	CEACAM6	19q13.2
3.00E-07	0.045	secretory leukocyte protease inhibitor (antileukoproteinase)	2510171	Hs.251754	SLPI	20q12
p < 1e-07	0.047	S100 calcium binding protein P	2060823	Hs.2962	S100P	4p16
0.0001337	0.052	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	2795874	Hs.227948	SERPINB3	18q21.3
0.0002589	0.077	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	557012	Hs.75716	SERPINB2	18q21.3
0.000152	0.088	keratin 4	1600453	Hs.3235	KRT4	12q12-q13
0.0002952	0.09	tetraspan 1	2989680	Hs.38972	TSPAN-1	1p33
9.30E-06	0.091	tumor-associated calcium signal transducer 2	1600421	Hs.23582	TACSTD2	1p32-p31
0.0009022	0.094	uroplakin 1B	2932992	Hs.271580	UPK1B	3q13.3-q21
1.50E-06	0.109	coagulation factor III (thromboplastin, tissue factor)	2061594	Hs.62192	F3	1p22-p21
0.0001048	0.117	ESTs, Weakly similar to CGHU7L collagen alpha 1(III) chain precursor - human [H.sapiens]	938641	Hs.355747	NA	1
4.79E-05	0.121	mucin 1, transmembrane	2957567	Hs.89603	MUC1	1q21
1.20E-06	0.135	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein	429577	Hs.44208	FLJ23153	7q21.12
0.0003502	0.142	annexin A1	79576	Hs.78225	ANXA1	9q12-q21.2
2.00E-07	0.148	UDP glycosyltransferase 1 family, polypeptide A1	86450	Hs.278896	UGT1A1	2q37
5.54E-05	0.159	defensin, beta 1	2912830	Hs.32949	DEFB1	8p23.2-p23.1
0.0001838	0.16	retinoic acid induced 3	2060304	Hs.194691	RAI3	12p13-p12.3
0.0006128	0.172	interleukin 1 receptor antagonist	519653	Hs.81134	IL1RN	2q14.2
0.0005417	0.179	polymeric immunoglobulin receptor	1800114	Hs.205126	PIGR	1q31-q41
0.0006216	0.182	ATPase, Class V, type 10B	2532486	Hs.109358	ATP10B	5q34
1.95E-05	0.189	B-factor, properdin	167371	Hs.69771	BF	6p21.3
9.90E-06	0.211	sodium channel, nonvoltage-gated 1 alpha	1453049	Hs.446415	SCNN1A	12p13
2.11E-05	0.213	Homo sapiens, clone IMAGE:4471726, mRNA	899118	Hs.288660	NA	12
0.0002516	0.217	ESTs	931235	Hs.445586	NA	19
7.44E-05	0.218	kallikrein 10	2851003	Hs.69423	KLK10	19q13.3-q13.4
7.61E-05	0.22	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	2595929	Hs.183583	SERPINB1	6p25
0.0004069	0.22	zinc finger protein 185 (LIM domain)	2510927	Hs.16622	ZNF185	Xq28
0.0001657	0.232	kallikrein 6 (neurosin, zyme)	1480159	Hs.79361	KLK6	19q13.3
0.0009484	0.232	thyroid hormone receptor interactor 4	1970421	Hs.116784	TRIP4	15q22.1
0.0006364	0.237	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	3508771	Hs.77062	LILRB5	19q13.4
8.02E-05	0.242	monoamine oxidase A	1510714	Hs.183109	MAOA	Xp11.4-p11.3
0.0005976	0.251	kallikrein 11	2668780	Hs.57771	KLK11	19q13.3-q13.4
6.11E-05	0.252	LIM domain only 7	1832584	Hs.5978	LMO7	13q21.33
0.0007485	0.252	selenoprotein P, plasma, 1	2959255	Hs.275775	SEPP1	5q31
5.60E-06	0.256	pre-B-cell colony-enhancing factor	1641590	Hs.239138	PBEF	7q22.1
0.0001669	0.262	EphA2	1958394	Hs.171596	EPHA2	1p36
8.40E-06	0.267	epidermal growth factor receptor pathway substrate 8-related protein 1	1395088	Hs.28907	EPS8R1	19q13.42
0.0004759	0.272	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1758055	Hs.278611	GALNT3	2q24-q31
3.92E-05	0.273	anterior gradient 2 homolog (Xenepus laevis)	1998428	Hs.413945	AGR2	7p21.3
4.66E-05	0.287	Incyte EST	1260330	NA	NA	NA
0.0005075	0.288	cellular retinoic acid binding protein 2	4083362	Hs.183650	CRABP2	1q21.3
0.0006567	0.292	epiregulin	443631	Hs.115263	EREG	4q21.1
5.02E-05	0.293	monoglyceride lipase	2174920	Hs.6721	MGLL	3q21.3
9.86E-05	0.295	Kruppel-like factor 4 (gut)	1962235	Hs.356370	KLF4	9q31
9.37E-05	0.301	spermidine/spermine N1-acetyltransferase	63038	Hs.28491	SAT	Xp22.1
0.0002604	0.303	sushi-repeat protein	3598293	Hs.126782	SRPUL	Xq21.33-q23
0.0002916	0.304	glutathione peroxidase 2 (gastrointestinal)	1633118	Hs.2704	GPX2	14q24.1
0.0006359	0.305	annexin A2	5077219	Hs.217493	ANXA2	15q21-q22
0.0001596	0.309	prostate stem cell antigen	1900949	Hs.423634	PSCA	8q24.2
0.0003083	0.328	claudin 7	2060261	Hs.278562	CLDN7	17p13
0.0001827	0.343	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968	HS3ST1	4p16
1.15E-05	0.345	LIM domain only 2 (rhombotin-like 1)	1383888	Hs.184585	LMO2	11p13
0.0003592	0.349	transforming growth factor, alpha	3125996	Hs.170009	TGFA	2p13
