Image ID	Gene description
21652	catenin (cadherin-associated protein), K1
298062	troponin T2, cardiac
383188	recoverin
755750	protein (NM23B) in non-metastatic cells 2
769716	neurofibromin 2
878280	collapsin response mediator protein 1
377461	caveolin 1, caveolae protein
325182	cadherin 2, N-cadherin (neuronal)
1435862	MIC2 surface antigen (CD99)
42558	L-arginine:glycine amidinotransferase
812105	transmembrane protein
767183	hematopoietic cell-specific Lyn substrate 1
41591	meningioma 1
810057	cold shock domain protein A
183337	major histocompatibility complex, class II, DM alpha
796258	sarcoglycan, alpha
1409509	troponin T1, skeletal, slow
788107	amphiphysin-like
143306	lymphocyte-specific protein 1
866702	protein tyrosine phosphatase, non-receptor type 13
770394	Fc fragment of IgG, receptor, transporter, alpha
82225	secreted frizzled-related protein 1
52076	olfactomedin-related endoplasmic reticulum-localized protein
80109	major histocompatibility complex, class II, DQ alpha 1
814260	follicular lymphoma variant translocation 1
784224	fibroblast growth factor receptor 4
204545	ESTs
244618	ESTs
295985	ESTs
308231	myh-1c
308163	ESTs
212542	cDNA DKFZp586J2118
