Probe Set ID	Gene Title	Gene Symbol	Location	Entrez Gene	Score (d)	Provability (p)	Score (d)	Provability (p)
1552622_s_at	DNA directed RNA polymerase II polypeptide J-related gene	POLR2J2	7q11.22	246721	2.8738396	0.001369652	2.8686593	0.001374023
1555318_at	hypoxia inducible factor 3, alpha subunit	HIF3A	19q13.32	64344	3.0080616	0.000910918	2.8923073	0.000319936
1557293_at	hypothetical gene supported by AK128346	LOC440993	3q29	440993	3.602744	0.000266533	2.8591602	0.002597196
1558280_s_at	Rho GTPase activating protein 29	ARHGAP29	1p22.1	9411	2.84579	0.001478555	2.6280077	0.001763883
1558411_at	hypothetical protein BC011266	LOC93556	3q26.2	93556	3.1483972	0.000394818	2.9199128	0.002480177
1558515_at	CDNA FLJ33139 fis, clone UTERU1000109	---	---	---	2.9556274	0.001260153	2.8005798	0.001887793
1559964_at	FLJ38717 protein	FLJ38717	6p21.1	401261	2.5229394	0.004223811	2.7708461	0.000450962
204284_at	protein phosphatase 1, regulatory (inhibitor) subunit 3C	PPP1R3C	10q23-q24	5507	2.5430255	0.00569637	2.6531107	0.003407942
205051_s_at	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	4q11-q12	3815	2.928456	0.000977111	2.6397696	0.004107633
205528_s_at	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	RUNX1T1	8q22	862	3.2091854	0.001014784	2.6531289	0.001677834
208835_s_at	cisplatin resistance-associated overexpressed protein	CROP	17q21.33	51747	2.686324	0.002543822	3.1077473	0.00143137
209377_s_at	high mobility group nucleosomal binding domain 3	HMGN3	6q14.1	9324	2.6019635	0.003987966	2.6573725	0.005186314
209815_at	patched homolog (Drosophila)	PTCH	9q22.3	5727	2.6612616	0.003661326	3.0634406	0.001540024
211548_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248	2.5785341	0.007184192	3.2784033	0.004873001
212179_at	chromosome 6 open reading frame 111	C6orf111	6q16.3	25957	2.5166605	0.006234026	2.8070302	0.004242854
212263_at	quaking homolog, KH domain RNA binding (mouse)	QKI	6q26-27	9444	2.6506686	0.002361392	2.9448192	0.004404303
213156_at	MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211) /// Homo sapiens, clone IMAGE:4214654, mRNA	---	---	---	2.7871614	0.001363027	2.8776066	0.004498609
213269_at	zinc finger protein 248	ZNF248	---	57209	2.627645	0.002402529	2.6101105	0.000582009
213650_at	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B	GOLGA8A /// GOLGA8B	15q11.2 /// 15q14	23015 /// 440270	2.865848	0.000586492	2.6521132	0.002179579
213878_at	---	---	---	---	2.6538532	0.003475362	3.1964056	0.00078723
215359_x_at	zinc finger protein 44 (KOX 7)	ZNF44	19p13.2	51710	2.6011348	0.003071279	3.2530699	0.000546369
215933_s_at	hematopoietically expressed homeobox	HHEX	10q23.33	3087	3.0100095	0.001919239	2.9009416	0.001870335
218352_at	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	RCBTB1	13q14	55213	2.6257424	0.002092295	2.9470713	0.002506964
218490_s_at	zinc finger protein 302	ZNF302	19q13.11	55900	2.9452505	0.001511686	3.200955	0.002483423
220094_s_at	chromosome 6 open reading frame 79	C6orf79	6p24.3-p23	63933	3.1943743	0.000289355	3.1955643	0.000873502
220906_at	---	---	---	---	3.985809	0.00012636	3.1052947	0.000363042
220925_at	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	MAK10	9q21.33	60560	2.9819093	0.001292142	2.9658585	0.000936413
222108_at	adhesion molecule with Ig-like domain 2	AMIGO2	12q13.11	347902	2.7855291	0.00202008	3.1031163	0.002301044
224711_at	Solute carrier family 25, member 29	SLC25A29	14q32.2	123096	2.95678	0.000972092	2.9087806	0.003011701
225318_at	Wolf-Hirschhorn syndrome candidate 1-like 1	WHSC1L1	8p11.2	54904	2.8964148	0.001022945	2.780833	0.003205497
225595_at	HCF-binding transcription factor Zhangfei	ZF	11q14	58487	2.8255937	0.002212733	3.044843	0.000170282
225835_at	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	SLC12A2	5q23.3	6558	2.818367	0.001357817	3.0119197	0.001139785
225892_at	Iron-responsive element binding protein 2	IREB2	15q25.1	3658	2.762773	0.002063737	2.6814055	0.005761808
226316_at	Chromosome 13 open reading frame 10	C13orf10	13q31.1	64062	2.8329918	0.002015629	2.7062306	0.001860172
226492_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	SEMA6D	15q21.1	80031	3.137739	0.000890038	3.051939	0.000234467
226534_at	KIT ligand	KITLG	12q22	4254	2.842755	0.002353085	2.799667	0.004144506
226666_at	Dishevelled associated activator of morphogenesis 1	DAAM1	14q23.1	23002	2.747829	0.002160803	2.9033232	0.002480596
226800_at	KIAA1799 protein	KIAA1799	1p31.3	84455	3.3102195	0.000604909	2.8412302	0.000999555
227095_at	Leptin receptor	LEPR	1p31	3953	2.6223693	0.003599936	2.7089903	0.006619183
227105_at	centrosome and spindle pole associated protein 1	CSPP1	8q13.2	79848	2.6565042	0.003426249	2.7224662	0.004417038
227148_at	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	PLEKHH2	2p21	130271	2.8637877	0.002496017	2.8116093	0.002261136
227812_at	tumor necrosis factor receptor superfamily, member 19	TNFRSF19	13q12.11-q12.3	55504	2.6457052	0.002615869	2.6848037	0.00311957
227852_at	retinitis pigmentosa 9 (autosomal dominant)	RP9	7p14.3	6100	3.643534	4.01E-05	3.6219358	3.35E-05
227930_at	Eukaryotic translation initiation factor 2C, 4	EIF2C4	1p34.3	192670	2.835612	0.001779331	2.9833694	0.002714333
227947_at	phosphatase and actin regulator 2	PHACTR2	6q24.2	9749	2.6777132	0.001350469	2.9088337	0.007688157
228157_at	zinc finger protein 207	ZNF207	17q11.2	7756	2.9961607	0.003244916	3.7014456	0.002290026
228630_at	Zinc finger protein 84 (HPF2)	ZNF84	12q24.33	7637	2.5192266	0.003257566	3.00331	0.001218735
228665_at	cysteine/tyrosine-rich 1	CYYR1	21q21.2	116159	2.863708	0.000939268	3.0855474	0.002870987
228760_at	Splicing factor, arginine/serine-rich, 46kD	SRP46	11q22	10929	2.9415114	0.000620053	2.9963725	0.000656429
228850_s_at	---	---	---	---	2.4999318	0.0040317	2.6161203	0.007510432
228875_at	chromosome 6 open reading frame 189	C6orf189	6q22.31	221303	2.6625655	0.003519121	2.8628786	0.002099735
228963_at	CDNA FLJ37088 fis, clone BRACE2017124	---	---	---	2.5283473	0.001852188	2.868223	0.002458502
229111_at	Mannan-binding lectin serine peptidase 2	MASP2	1p36.3-p36.2	10747	2.7935739	0.002165678	2.7681293	0.001446131
229572_at	Transcribed locus, moderately similar to XP_498452.1 PREDICTED: hypothetical protein XP_498452 [Homo sapiens]	---	---	---	2.6055434	0.001733511	3.152153	0.000333111
230142_s_at	cold inducible RNA binding protein	CIRBP	19p13.3	1153	2.5710719	0.004154294	3.1652138	0.000108282
230986_at	Kruppel-like factor 8	KLF8	Xp11.21	11279	3.311544	0.000462045	2.7459152	0.00049942
232014_at	zinc finger protein 30 (KOX 28)	ZNF30	19q13.11	90075	3.6116464	0.000101957	3.5207677	2.02E-05
235423_at	Transcribed locus, weakly similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	---	---	---	2.6413488	0.001667481	2.7358904	0.000646144
235810_at	zinc finger protein 21 (KOX 14)	ZNF21	Xp22.11-p11.23	7569	3.0899482	0.000675135	2.7841015	0.000384688
238712_at	Transcribed locus	---	---	---	3.1998005	0.001220367	3.4862852	0.0004161
238992_at	Transcribed locus	---	---	---	2.5022013	0.002863868	2.6764455	0.000564691
239842_x_at	Transcribed locus, weakly similar to XP_517655.1 PREDICTED: similar to KIAA0825 protein [Pan troglodytes]	---	---	---	2.6501074	0.002958555	2.8581307	0.001007013
239847_at	CDNA clone IMAGE:6186815	---	---	---	2.7472844	0.003305621	2.815029	0.002396405
241936_x_at	Transcribed locus, weakly similar to XP_517655.1 PREDICTED: similar to KIAA0825 protein [Pan troglodytes]	---	---	---	2.5832903	0.004125227	2.6123197	0.00189552
242389_at	CDNA FLJ33355 fis, clone BRACE2005151	---	---	---	2.7798483	0.001738906	2.6945324	0.001414355
