GenBank Acc. No.	Symbol	Description	Fold Increase	Function
X00945	Spi1-6	&#2;1-Protease inhibitor	3.1	Acute phase response
M75717	Spi1-5	Serine protease inhibitor 1-5	3.1	Acute phase response
M75718	Spi1-4	Serine protease inhibitor 1-4	2.8	Acute phase response
M75720	Spi1-3	Serine protease inhibitor 1-3	2.2	Acute phase response
M25529	Spi1-2	Serine protease inhibitor 1-2	2.6	Acute phase response
M75721	Spi1-1	Serine protease inhibitor 1-1	4.8	Acute phase response
AF036164	Serpinf1	Serine (or cysteine) proteinase inhibitor, clade F member 1	2	Acute phase response
X95504	Zac1	Zinc finger protein regulator of apoptosis and cell cycle arrest	2	Apoptosis
U10903	Pdcd2	Programmed cell death 2	2.4	Apoptosis
L21973	E2f1	E2F transcription factor 1	2	Apoptosis
Y13090	Casp12	Caspase 12	2.1	Apoptosis
M88242	Ptgs2	Prostaglandin-endoperoxide synthase 2	2	Peroxidase reaction
AB006758	Pcdh7	Protocadherin 7	2.3	Cell adhesion
AF061260	Igsf4	Immunoglobulin superfamily, member 4	2.2	Cell adhesion
AA655199	Col3a1	Procollagen, type III, - &#2;1	2.2	Cell adhesion
AF005886	Ccni	Cyclin I	2.4	Cell cycle
L47480	Bmp4	M. musculus BMP-4 gene, complete cds	2.3	Cytokine
U08210	Eln	Elastin	2.3	Extracellular matrix
AF009605	Pck1	Phosphoenolpyruvate carboxykinase	2.4	Gluconeogenesis
AI790931	Fbp1	Fructose bisphosphatase 1	2.1	Gluconeogenesis
D85605	Cckar	Cholecystokinin type-A receptor, complete cds	2	G protein-coupled receptor protein signaling pathway
X16426	H2-Q10	MHC (Qa) Q10-k gene for class I antigen	2.1	Immune response
U34042	Tll	Tolloid-like	2.3	Proteolysis and peptidolysis
AF077738	Cpxm1	Carboxypeptidase X 1	5.5	Proteolysis and peptidolysis
X61232	Cpe	Carboxypeptidase E	2.1	Proteolysis and peptidolysis
AI836552	Mtf2	Metal response element binding transcription factor 2	2	Regulation of transcription
U02278	Hoxb3	Homeobox containing protein	2.2	Regulation of transcription
AF049702	Elf5	E74-like factor 5	2.3	Regulation of transcription
AB014494	Arntl	Aryl hydrocarbon receptor nuclear translocator-like	2	Regulation of transcription
AF020195	Slc4a4	Solute carrier family 4 member 4	4.1	Transport
U63146	Rbp4	Retinol binding protein 4, plasma	2.1	Transport
M27008	Orm1	Orosomucoid 1	3.4	Transport
Y14660	Fabp1	Fatty acid binding protein 1, liver	2	Transport
U95607	Dnajb3	DnaJ (Hsp40) homolog, subfamily B, member 3	2.8	Response to heat
AI255961	Hamp	Hepcidin antimicrobial peptide	2.1	Response to pathogen
AF029347	Clcn3	Chloride channel 3	2.1	Ion transport
AB024922	Sgcg	Sarcoglycan-.	2.1	Protein binding
