Category	Gene name	Hs. ID
Angiogenesis	IL-8	Hs.624
Angiogenesis	uPA	Hs.77274
Angiogenesis	uPAR	Hs.179657
Angiogenesis	PAI-1	Hs.82085
Angiogenesis	HIF-1, alpha	Hs.197540
Angiogenesis	TGF-beta1	Hs.1103
Apoptosis	Caspase-1	Hs.2490
Apoptosis	Bid	Hs.172894
Apoptosis	TNFAIP6	Hs.29352
Cell surface molecule	CD71/Transferrin receptor	Hs.77356
Cell surface molecule	CD86	Hs.27954
Cell surface molecule	CCR1	Hs.301921
Cytokine/Chemokine	RANTES	Hs.241392
Cytokine/Chemokine	CXCL6	Hs.164021
Cytokine/Chemokine	Scyb11	Hs.103982
Cytokine/Chemokine	SCYA4	Hs.75703
Cytoskeleton	Integrin, beta-4	Hs.85266
Cytoskeleton	P-cadherin	Hs.2877
Cytoskeleton	Integrin, alpha-6	Hs.227730
Cytoskeleton	Collagen IV, alpha1	Hs.119129
Oncogene/TS	COX-2	Hs.196384
Oncogene/TS	STAT-1	Hs.21486
Oncogene/TS	STAT-2	Hs.72988
Oncogene/TS	PML-1	Hs.89633
Oncogene/TS	V-kit	Hs.81665
Oncogene/TS	RASA	Hs.758
Growth	GTF2B	Hs.258561
Growth	cdc25B	Hs.153752
Growth	CDC2	Hs.334562
Growth	GADD153 / DDIT3	Hs.337761
Growth	Cyclin A2	Hs.85137
Growth	NOL1	Hs.15243
Growth	Rab2	Hs.78305
Kinase	CDC28 protein kinase 2	Hs.83758
Kinase	NET1A	Hs.25155
Kinase		Hs.98338
Kinase	PTK7	Hs.90572
Kinase	ADRBK2	Hs.13944
Kinase	PKC, beta 1	Hs.349845
Kinase	SRPK2	Hs.78353
Metastasis	MMP-7	Hs.2256
Metastasis	Rho C	Hs.179735
Metastasis	MMP-12	Hs.1695
Metastasis	MMP-1	Hs.83169
Metastasis	MMP-3	Hs.83326
Metabolism	GSTTLp28	Hs.11465
Other	IP-30	Hs.14623
Other	MyD88	Hs.82116
Other	Pleckstrin	Hs.77436
Other	Macropain	Hs.1390
Other	ERp72	Hs.397515
Other	RIG-E	Hs.77667
Other	RFC5	Hs.171075
Other	Granzyme K	Hs.3066
Other	UBE2C	Hs.93002
