Affymetrix number	Gene Name	Gene Symbol	Reference Number	Above/Below mean
34306_at	muscleblind Drosophila like	MBNL	AB007888	Above
40797_at	a disintegrin and metalloproteinase domain 10	ADAM10	AF009615	Above
33412_at	LGALS1 Lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	AI535946	Above
39338_at	S100 calcium-binding protein A10 annexin II ligand calpactin I light polypeptide p11	S100A10	AI201310	Above
2062_at	insulin-like growth factor binding protein 7	IGFBP7	L19182	Above
32193_at	plexin C1	PLXNC1	AF030339	Above
40518_at	protein tyrosine phosphatase receptor type C	PTPRC	Y00062	Above
36777_at	DNA segment on chromosome 12 unique 2489 expressed sequence	D12S2489E	AJ001687	Above
38391_at	capping protein actin filament gelsolin-like	CAPG	M94345	Above
40763_at	Meis1 mouse homolog	MEIS1	U85707	Above
34721_at	FK506-binding protein 5	FKBP5	U42031	Above
37809_at	homeo box A9	HOXA9	U41813	Above
32215_i_at	KIAA0878 protein	KIAA0878	AB020685	Above
38160_at	lymphocyte antigen 75	LY75	AF011333	Above
1389_at	membrane metallo-endopeptidase neutral endopeptidase enkephalinase CALLA CD10	MME	J03779	Below
34168_at	deoxynucleotidyltransferase terminal	DNTT	M11722	Below
40522_at	glutamate-ammonia ligase glutamine synthase	GLUL	X59834	Above
854_at	B lymphoid tyrosine kinase	BLK	S76617	Above
40067_at	E74-like factor 1 ets domain transcription factor	ELF1	M82882	Above
39756_g_at	X-box binding protein 1	XBP1	Z93930	Below
32134_at	Testing	DKFZP586B2022	AL050162	Above
39379_at	Homo sapiens mRNA cDNA DKFZp586C1019 from clone DKFZp586C1019	NA	AL049397	Above
40415_at	acetyl-Coenzyme A acyltransferase 1 peroxisomal 3-oxoacyl-Coenzyme A thiolase	ACAA1	X14813	Above
40519_at	protein tyrosine phosphatase receptor type C	PTPRC	Y00638	Above
33847_s_at	cyclin-dependent kinase inhibitor 1B p27 Kip1	CDKN1B	U10906	Above
32696_at	pre-B-cell leukemia transcription factor 3	PBX3	X59841	Above
40417_at	KIAA0098 protein	NA	D43950	Above
1644_at	eukaryotic translation initiation factor 3 subunit 2 beta 36kD	EIF3S2	U36764	Above
948_s_at	peptidylprolyl isomerase D cyclophilin D	PPID	D63861	Above
34337_s_at	putative DNA binding protein	M96	AJ010014	Below
41747_s_at	myocyte-specific enhancer factor 2A (MEF2A) gene	MEF2A	U49020	Above
39516_at	hypothetical protein	HSPC004	AI827793	Above
31820_at	hematopoietic cell-specific Lyn substrate 1	HCLS1	X16663	Above
33305_at	serine or cysteine proteinase inhibitor clade B ovalbumin member 1	SERPINB1	M93056	Above
40520_g_at	protein tyrosine phosphatase receptor type C	PTPRC	Y00638	Above
41222_at	signal transducer and activator of transcription 6 (STAT6) gene	STAT6	AF067575	Above
1718_at	actin related protein 2/3 complex subunit 2 34 kD	ARPC2	U50523	Above
38342_at	KIAA0239 protein	KIAA0239	D87076	Below
38805_at	TG-interacting factor TALE family homeobox	TGIF	X89750	Below
32089_at	sperm associated antigen 6	SPAG6	AF079363	Above
1950_s_at	Smad 3, exon 1	NA	AB004922	Above
39410_at	development and differentiation enhancing factor 2	DDEF2	AB007860	Above
37280_at	MAD mothers against decapentaplegic Drosophila homolog 1	MADH1	U59912	Below
32607_at	brain acid-soluble protein 1	BASP1	AF039656	Above
39389_at	CD9 antigen p24	CD9	M38690	Below
40913_at	ATPase Ca transporting plasma membrane 4	ATP2B4	W28589	Below
1039_s_at	hypoxia-inducible factor 1 alpha subunit basic helix-loop-helix transcription factor	HIF1A	U22431	Below
35939_s_at	POU domain class 4 transcription factor 1	POU4F1	L20433	Below
963_at	ligase IV DNA ATP-dependent	LIG4	X83441	Below
39628_at	RAB9 member RAS oncogene family	RAB9	U44103	Below
38242_at	B cell linker protein	SLP65	AF068180	Below
37692_at	diazepam binding inhibitor GABA receptor modulator acyl-Coenzyme A binding protein	DBI	AI557240	Above
32166_at	KIAA1027 protein	KIAA1027	AB028950	Above
34800_at	DKFZP586O1624 protein	DKFZP586O1624	AL039458	Below
34386_at	methyl-CpG binding domain protein 4	MBD4	AF072250	Below
40296_at	hypothetical protein	753P9	AL023653	Below
40456_at	up-regulated by BCG-CWS	LOC64116	AL049963	Above
33943_at	ferritin heavy polypeptide 1	FTH1	L20941	Below
39049_at	 G18.1a and G18.1b proteins (G18.1a and G18.1b genes, located in the class III region of the major histocompatibility complex)	NA	AJ243937	Below
38075_at	synaptophysin-like protein	SYPL	X68194	Above
932_i_at	zinc finger protein 91 HPF7 HTF10	ZNF91	L11672	Below
1825_at	IQ motif containing GTPase activating protein 1	IQGAP1	L33075	Above
34210_at	CDW52 antigen CAMPATH-1 antigen	CDW52	N90866	Below
39778_at	mannosyl alpha-1 3- glycoprotein beta-1 2-N-acetylglucosaminyltransferase	MGAT1	M55621	Below
34699_at	CD2-associated protein	CD2AP	AL050105	Below
40066_at	ubiquitin-activating enzyme E1C homologous to yeast UBA3	UBE1C	AF046024	Above
41177_at	hypothetical protein FLJ12443	FLJ12443	AW024285	Above
32736_at	HSPC022 protein	HSPC022	W68830	Above
1928_s_at	mad protein homolog Smad2 gene	Smad2	U78733	Below
1081_at	ornithine decarboxylase 1	ODC1	M33764	Above
37345_at	Calumenin	CALU	AF013759	Above
34099_f_at	nucleosome assembly protein 1-like 1	NAP1L1	W26056	Above
933_f_at	zinc finger protein 91 HPF7 HTF10	ZNF91	L11672	Below
32214_at	thioredoxin-like 32kD	TXNL	AF003938	Below
33501_r_at	SNC73 protein SNC73 mRNA complete cds	NA	S71043	Below
950_at	translocation protein 1	TLOC1	D87127	Below
41161_at	death-associated protein 6	DAXX	AB015051	Below
41381_at	KIAA0308 protein	KIAA0308	AB002306	Below
38705_at	ubiquitin-conjugating enzyme E2D 2 homologous to yeast UBC4/5	UBE2D2	AI310002	Above
38617_at	LIM domain kinase 2	LIMK2	D45906	Below
34305_at	poly rC binding protein 1	PCBP1	Z29505	Above
40436_g_at	solute carrier family 25 mitochondrial carrier adenine nucleotide translocator member 6	SLC25A6	J03592	Above
1827_s_at	c-myc-P64 mRNA, initiating from promoter P0	NA	M13929	Above
38479_at	acidic protein rich in leucines	SSP29	Y07969	Below
33207_at	DnaJ Hsp40 homolog subfamily C member 3	DNAJC3	AI095508	Below
39039_s_at	CGI-76 protein	LOC51632	AI557497	Below
32157_at	protein phosphatase 1 catalytic subunit alpha isoform	PPP1CA	S57501	Above
905_at	guanylate kinase 1	GUK1	L76200	Below
35794_at	KIAA0942 protein	KIAA0942	AB023159	Below
1007_s_at	discoidin domain receptor family member 1	DDR1	U48705	Below
39424_at	tumor necrosis factor receptor superfamily member 14 herpesvirus entry mediator	TNFRSF14	U70321	Below
36634_at	BTG family member 2	BTG2	U72649	Below
38760_f_at	butyrophilin subfamily 3 member A2	BTN3A2	U90546	Below
