Probe Set ID	Gene Symbol	Gene Description
1552584_at	IL12RB1	interleukin 12 receptor, beta 1
1552619_a_at	ANLN	anillin, actin binding protein
1552623_at	HSH2D	hematopoietic SH2 domain containing
1552718_at	DTD1	D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)
1552908_at	C1orf150	chromosome 1 open reading frame 150
1553373_at	WDR64	WD repeat domain 64
1553613_s_at	FOXC1	forkhead box C1
1553728_at	LRRC43	leucine rich repeat containing 43
1553970_s_at	CEL	carboxyl ester lipase (bile salt-stimulated lipase)
1554628_at	ZNF57	zinc finger protein 57
1554983_at	C21orf117	chromosome 21 open reading frame 117
1555120_at	CD96	CD96 molecule
1555383_a_at	POF1B	premature ovarian failure, 1B
1555427_s_at	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
1555758_a_at	CDKN3	cyclin-dependent kinase inhibitor 3
1555923_a_at	C10orf114	chromosome 10 open reading frame 114
1556059_s_at	SPEN	spen homolog, transcriptional regulator (Drosophila)
1556579_s_at	IGSF10	immunoglobulin superfamily, member 10
1556899_at	NA	NA
1556937_at	NA	NA
1557135_at	NA	NA
1557170_at	NEK8	NIMA (never in mitosis gene a)- related kinase 8
1557522_x_at	NA	NA
1557965_at	MTERFD2	MTERF domain containing 2
1557966_x_at	MTERFD2	MTERF domain containing 2
1558211_s_at	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
1558871_at	NA	NA
1559049_a_at	NA	NA
1560540_x_at	NA	NA
1561084_at	NA	NA
1561365_at	NRP1	Neuropilin 1
1562365_at	LOC286177	hypothetical protein LOC286177
1562822_at	NA	NA
1563274_at	NA	NA
1563335_at	IRGM	immunity-related GTPase family, M
1563902_at	NA	NA
1564790_at	ST7OT2	ST7 overlapping transcript 2 (non-protein coding)
1566509_s_at	FBXO9	F-box protein 9
1567912_s_at	CT45A1 /// CT45A2 /// CT45A3 /// CT45A4 /// CT45A5 /// CT45A6 /// LOC100133581	cancer/testis antigen family 45, member A1 /// cancer/testis antigen family 45, member A2 /// cancer/testis antigen family 45, member A3 /// cancer/testis antigen family 45, member A4 /// cancer/testis antigen family 45, member A5 /// cancer/testis antige
1568902_at	NA	NA
1569422_at	FAM129C	family with sequence similarity 129, member C
1569932_at	NHSL2	NHS-like 2
1570422_at	SNTG2	syntrophin, gamma 2
1570516_s_at	OR51B5	olfactory receptor, family 51, subfamily B, member 5
200044_at	SFRS9	splicing factor, arginine/serine-rich 9
200602_at	APP	amyloid beta (A4) precursor protein
200665_s_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
200777_s_at	BZW1	basic leucine zipper and W2 domains 1
200819_s_at	RPS15	ribosomal protein S15
200923_at	LGALS3BP /// LOC100133842	lectin, galactoside-binding, soluble, 3 binding protein /// similar to lectin, galactoside-binding, soluble, 3 binding protein
200941_at	HSBP1	heat shock factor binding protein 1
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta
201061_s_at	STOM	stomatin
201328_at	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
201329_s_at	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
201345_s_at	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)
201432_at	CAT	catalase
201462_at	SCRN1	secernin 1
201522_x_at	SNRPN /// SNURF	small nuclear ribonucleoprotein polypeptide N /// SNRPN upstream reading frame
201607_at	PWP1	PWP1 homolog (S. cerevisiae)
201608_s_at	PWP1	PWP1 homolog (S. cerevisiae)
201626_at	INSIG1	insulin induced gene 1
201632_at	EIF2B1	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
201873_s_at	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1
201904_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201905_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201906_s_at	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
201934_at	WDR82	WD repeat domain 82
201993_x_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like
201997_s_at	SPEN	spen homolog, transcriptional regulator (Drosophila)
202012_s_at	EXT2	exostoses (multiple) 2
202013_s_at	EXT2	exostoses (multiple) 2
202018_s_at	LTF	lactotransferrin
202088_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202089_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6
202112_at	VWF	von Willebrand factor
202408_s_at	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)
202521_at	CTCF	CCCTC-binding factor (zinc finger protein)
202601_s_at	HTATSF1	HIV-1 Tat specific factor 1
202866_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12
202867_s_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12
202873_at	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
203079_s_at	CUL2	cullin 2
203199_s_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
203207_s_at	MTFR1	mitochondrial fission regulator 1
203245_s_at	NCRNA00094	non-protein coding RNA 94
203458_at	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
203581_at	RAB4A	RAB4A, member RAS oncogene family
203679_at	TMED1	transmembrane emp24 protein transport domain containing 1
203735_x_at	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)
204195_s_at	PKNOX1	PBX/knotted 1 homeobox 1
