Probe set	Gene Symbol	Accession	Entrez Gene ID	Cytoband	p-value
215096_s_at	ESD	AU145746	2098	13q14.1-q14.2	1,99E-06
214651_s_at	HOXA9	U41813	3205	7p15-p14	2,66E-06
209009_at	ESD	BC001169	2098	13q14.1-q14.2	2,95E-06
202217_at	C21orf33	NM_004649	8209	21q22.3	4,46E-06
200642_at	SOD1	NM_000454	6647	21q22.1|21q22.11	4,50E-06
227608_at	NA	AA225118	55249	NA	5,14E-06
200708_at	GOT2	NM_002080	2806	16q21	5,28E-06
206445_s_at	PRMT1	NM_001536	3276	19q13.3	5,81E-06
1567627_at	CD74	M28590	972	5q32	7,31E-06
201623_s_at	DARS	BC000629	1615	2q21.3	1,26E-05
203103_s_at	PRPF19	NM_014502	27339	11q12.2	1,31E-05
208644_at	PARP1	M32721	142	1q41-q42	1,38E-05
201268_at	NME1 /// NME1-NME2 /// NME2	NM_002512	4831	17q21.3	1,51E-05
200910_at	CCT3	NM_005998	7203	1q23	1,64E-05
201624_at	DARS	NM_001349	1615	2q21.3	1,91E-05
217786_at	PRMT5	NM_006109	10419	14q11.2-q21	2,03E-05
229638_at	IRX3	AI681917	79191	16q12.2	2,21E-05
208758_at	ATIC	D89976	471	2q35	2,29E-05
235753_at	HOXA7	AI492051	NA	7p15-p14	3,13E-05
212922_s_at	SMYD2	AI809870	56950	1q41	3,50E-05
227655_at	SNORD123	AI631964	NA	5p15.2	4,36E-05
204683_at	ICAM2	NM_000873	3384	17q23-q25	4,47E-05
226880_at	NUCKS1	AL035851	64710	1q32.1	4,83E-05
224150_s_at	CEP70	AF289495	80321	3q22-q23	5,21E-05
218713_at	NARG2	NM_024611	79664	15q22.2	5,87E-05
202265_at	BMI1	NM_005180	648	10p11.23	5,89E-05
200751_s_at	HNRNPC	BE898861	3183	14q11.2	6,12E-05
201746_at	TP53	NM_000546	7157	17p13.1	6,38E-05
210125_s_at	BANF1	AF044773	8815	11q13.1	6,61E-05
217809_at	BZW2	NM_014038	28969	7p21.1	7,22E-05
209059_s_at	EDF1	AB002282	8721	9q34.3	7,51E-05
211934_x_at	GANAB	W87689	23193	11q12.3	7,71E-05
208818_s_at	COMT	BC000419	1312	22q11.21-q11.23|22q11.21	7,72E-05
213844_at	HOXA5	NM_019102	3202	7p15-p14	8,15E-05
212352_s_at	TMED10	BE780075	10972	14q24.3	8,39E-05
200612_s_at	AP2B1	NM_001282	163	17q11.2-q12	8,43E-05
208657_s_at	SEPT9	AF142408	10801	17q25	8,69E-05
208723_at	USP11	BC000350	8237	Xp11.23	9,85E-05
