Name	Ratio (PC3-NKX3.1/PC3-pcDNA3.1)	GB.accession	Function
DAPK1	0.005	X76104	Cell growth and proliferation
GPNMB	0.0152	X76534,BC032783	Cell growth and proliferation
BCL2	0.04	M14745	Cell growth and proliferation
LGALS3	0.0406	AB006780	Cell growth and proliferation
SERPINA6	0.0455	BC036818	Cell growth and proliferation
IGFBP3	0.0497	BX640961	Cell growth and proliferation
TGFB2	0.06	M19154	Cell growth and proliferation
IL1A	0.0632		Cell growth and proliferation
IL6	0.0737	X04430	Cell growth and proliferation
AREG	0.0803	M30704	Cell growth and proliferation
TMSNB	0.0838	D82345	Cell growth and proliferation
TSPAN2	0.0839	AF054839	Cell growth and proliferation
CDK6	0.0879	X66365	Cell growth and proliferation
ABCC2	0.0889	U49248	Cell growth and proliferation
CBFA2T1	0.0994	D43638	Cell growth and proliferation
MITF	0.11	AB006909	Cell growth and proliferation
FGFR1	0.28	BC018128	Cell growth and proliferation
VEGF	0.42	AF022375	Cell growth and proliferation
IGFBP7	0.46	S75725	Cell growth and proliferation
CDKN1A	2.13	BC000312	Cell growth and proliferation
CDKN1B	2.47	BC001971	Cell growth and proliferation
NME5	4.17	AF067724	Cell growth and proliferation
LOXL1	0.0153	BC068542	Metabolic
KIAA0537	0.0159	AB011109	Metabolic
ALDH1A1	0.0177	AK000118	Metabolic
HYAL1	0.0337	X04741	Metabolic
HYAL1	0.0345	U03056	Metabolic
CA2	0.0356	AK123309,J03037	Metabolic
H1F0	0.0366	CR609515,BC000145	Metabolic
FLJ14440	0.0432	AF251057	Metabolic
RBPMS	0.0544	D84110	Metabolic
TRIB1	0.061	AK001319,BC063292	Metabolic
KYNU	0.0649	U57721,CR609484	Metabolic
RBKS	0.0689	BX648909	Metabolic
DDX17	0.0757	AK024985	Metabolic
FBXO32	0.103		Metabolic
GLDC	0.105	D90239	Metabolic
UGCG	0.055	D50840	Development
DPYSL3	0.058	BC077077,D78014	Development
COL7A1	0.07	L02870	Development
PLXDC2	0.082	AY358486	Development
VAMP5	0.0941	AF151025	Development
SPARC	0.0963	AK126525,J03040	Development
UGCG	0.245	AJ420423	Development
LAMA4	0.0155	BC066552,S78569	Cell-adhesion
CDH13	0.0183		Cell-adhesion
FN1	0.059	X02761,BX640803	Cell motility
FOXF2	0.0807	U13220	Cell motility
TNFAIP6	0.0197	M31165	Response-to-stress
CYP3A5	0.0328		Response-to-stress
CYP3A43	0.0424		Response-to-stress
SOD2	0.0575	AK097395	Response-to-stress
ABCB1	0.0657	M14758	Response-to-stress
AKR1C1	0.0876		Response-to-stress
CYP3A7	0.0944	D00408,BX647143	Response-to-stress
TERF2IP	12.6	AF289599	Response-to-stress
PLK2	0.0188	AF059617	Cell signaling or cell communication
TNFAIP6	0.0197	M31165	Cell signaling or cell communication
ASB2	0.0244	AL137735,AB056723	Cell signaling or cell communication
IQGAP2	0.0272	U51903	Cell signaling or cell communication
NTS	0.0279	BF698911	Cell signaling or cell communication
HSPC195	0.0293	BC006428	Cell signaling or cell communication
SCYB14	0.0442	AF144103,AY358906	Cell signaling or cell communication
MAP3K1	0.0484	AF042838	Cell signaling or cell communication
STAT4	0.0503	BC031212,L78440	Cell signaling or cell communication
EDN1	0.0693	CR602522	Cell signaling or cell communication
PCSK5	0.0819	BC012064,U56387	Cell signaling or cell communication
COL6A1	0.0913	X15880	Cell signaling or cell communication
IMPA2	0.092		Cell signaling or cell communication
TMEPAI	0.11	AF305616	Cell signaling or cell communication
MAP3K14	0.305	Y10256	Cell signaling or cell communication
SFRP1	0.27	AF056087	Cell signaling or cell communication
TCF8	0.3	BC038504	Cell signaling or cell communication
Frizzled-2	0.2	BC052266	Cell signaling or cell communication
Beta-catenin	0.48	X87838	Cell signaling or cell communication
NTSR1	7.38	X70070	Cell signaling or cell communication
DKK3	4.27	AB034203	Cell signaling or cell communication
CLDN2	0.0298	AK075405,AF177340	Cell structure
KCNMB4	0.0604		Cell structure
TM4SF4	0.0604	U31449,AK055577	Cell structure
HS3ST3A1	0.0975	AF105376	Cell structure
POU4F1	0.0871	L20433	Regulation of transcription
FOSL2	0.0972	BX647822,AK055579	Regulation of transcription
NR4A2	21.4	X75918	Regulation of transcription
