Rank	GO category	GO term	GO description	Unique id	Annotations	Description	GB acc	UG cluster	Gene symbol	Map Location	Parametric p-value	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Ratio of geom means
1	5581	CC	collagen	A_23_P131614	Info	COL6A3; collagen, type VI, alpha 3	NM_004369	Hs.233240	COL6A3	chr2 (238,519,411-238,609,570)	0.002916	3.267	1.821	1.794
2	5581	CC	collagen	A_23_P211212	Info	COL18A1; collagen, type XVIII, alpha 1	NM_030582	Hs.413175	COL18A1	chr21 (45,731,605-45,789,835)	0.0195094	1.277	0.617	2.07
3	5581	CC	collagen	A_32_P32254	Info	COL6A1; collagen, type VI, alpha 1	NM_001848	Hs.415997	COL6A1	chr21 (46,257,853-46,281,164)	0.0379555	1.996	1.07	1.865
4	5581	CC	collagen	A_23_P207520	Info	COL1A1; collagen, type I, alpha 1	NM_000088	Hs.172928	COL1A1	chr17 (48,735,288-48,753,674)	0.0474576	7.234	4.033	1.794
5	5581	CC	collagen	A_24_P277934	Info	COL1A2; collagen, type I, alpha 2	NM_000089	Hs.232115	COL1A2	chr7 (93,635,983-93,672,639)	0.0550882	9.795	4.231	2.315
6	5581	CC	collagen	A_23_P99063	Info	LUM; lumican	NM_002345	Hs.406475	LUM	chr12 (89,999,794-90,008,078)	0.0688856	4.404	2.174	2.026
7	5581	CC	collagen	A_23_P65240	Info	COL4A1; collagen, type IV, alpha 1	NM_001845	Hs.437173	COL4A1	chr13 (108,499,310-108,657,505)	0.1070614	3.853	2.577	1.495
8	5581	CC	collagen	A_23_P211233	Info	COL6A2; collagen, type VI, alpha 2	NM_001849	Hs.420269	COL6A2	chr21 (46,374,214-46,408,981)	0.144013	0.869	0.553	1.571
9	5581	CC	collagen	A_23_P160318	Info	COL16A1; collagen, type XVI, alpha 1	NM_001856	Hs.26208	COL16A1	chr1 (31,620,321-31,672,400)	0.1549549	3.343	2.049	1.632
10	5581	CC	collagen	A_23_P310956	Info	COL6A2; collagen, type VI, alpha 2	NM_058175	Hs.420269	COL6A2	chr21 (46,374,244-46,405,921)	0.1667522	0.88	0.657	1.339
11	5581	CC	collagen	A_23_P33196	Info	COL5A2; collagen, type V, alpha 2	NM_000393	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.1684387	4.635	2.687	1.725
12	5581	CC	collagen	A_23_P214168	Info	COL12A1; collagen, type XII, alpha 1	NM_004370	Hs.101302	COL12A1	chr6 (75,789,640-75,911,220)	0.1832721	5.991	3.36	1.783
13	5581	CC	collagen	A_23_P112554	Info	COL15A1; collagen, type XV, alpha 1	NM_001855	Hs.409034	COL15A1	chr9 (97,086,028-97,213,309)	0.1952232	2.854	2.199	1.298
14	5581	CC	collagen	A_23_P158593	Info	COL5A1; collagen, type V, alpha 1	NM_000093	Hs.528321	COL5A1	chr9 (132,972,977-133,174,868)	0.2193455	1.405	1.012	1.388
15	5581	CC	collagen	A_23_P214144	Info	COL10A1; collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	NM_000493	Hs.179729	COL10A1	chr6 (116,485,643-116,492,866)	0.314874	3.792	2.332	1.626
16	5581	CC	collagen	A_23_P10391	Info	COL5A2; collagen, type V, alpha 2	Y14690	Hs.283393	COL5A2	chr2 (190,099,161-190,247,140)	0.3352506	3.363	2.34	1.437
17	5581	CC	collagen	A_23_P205031	Info	COL4A2; collagen, type IV, alpha 2	NM_001846	Hs.407912	COL4A2	chr13 (108,657,632-108,863,556)	0.3451776	3.156	2.479	1.273
