Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
200906_s_at	AK025843	23022	palladin		|47|	|4|4q|4q32|	Consensus includes gb:AK025843.1 /DEF=Homo sapiens cDNA: FLJ22190 fis, clone HRC01053. /FEA=mRNA /DB_XREF=gi:10438481 /UG=Hs.194431 palladin /FL=gb:AF077041.1 gb:AF151909.1 gb:NM_016081.1
200924_s_at	NM_002394	6520	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2		|128|	|11|11q|	gb:NM_002394.1 /DEF=Homo sapiens solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), mRNA.  /FEA=mRNA /GEN=SLC3A2 /PROD=antigen identified by monoclonal antibodies 4F2,TRA1.10, TROP4, and T43 /DB_XREF=gi:4
200999_s_at	NM_006825	10970	cytoskeleton-associated protein 4	|5624|267|5623|16021|16020|6886|15031|6810|8151|	|1664|1496|	|12|12q|12q24|	gb:NM_006825.1 /DEF=Homo sapiens transmembrane protein (63kD), endoplasmic reticulumGolgi intermediate compartment (P63), mRNA.  /FEA=mRNA /GEN=P63 /PROD=transmembrane protein (63kD), endoplasmicreticulumGolgi intermediate compartment /DB_XREF=gi:5803112
201108_s_at	BF055462	7057	thrombospondin 1	|7399|7398|7397|7345|7275|6928|8151|5194|7596|7599|7582|4871|5615|5576|4866|4857|30234|5578|	|90|93|2210|	|15|15q|	Consensus includes gb:BF055462 /FEA=EST /DB_XREF=gi:10809358 /DB_XREF=est:7j80e06.x1 /CLONE=IMAGE:3392770 /UG=Hs.87409 thrombospondin 1 /FL=gb:NM_003246.1
201331_s_at	BC004973	6778	signal transducer and activator of transcription 6, interleukin-4 induced	|7165|7154|3700|3677|3676|6355|6350|6139|8152|8151|	|1017|17|	|12|12q|	gb:BC004973.1 /DEF=Homo sapiens, signal transducer and activator of transcription 6, interleukin-4 induced, clone MGC:3649, mRNA, complete cds.  /FEA=mRNA /PROD=signal transducer and activator of transcription6, interleukin-4 induced /DB_XREF=gi:13436385
201431_s_at	NM_001387	1809	dihydropyrimidinase-like 3	|7399|7398|7397|7345|7275|7165|7154|16810|16787|3824|6139|8152|8151|	|449|1979|744|	|5|5q|	gb:NM_001387.1 /DEF=Homo sapiens dihydropyrimidinase-like 3 (DPYSL3), mRNA. /FEA=mRNA /GEN=DPYSL3 /PROD=dihydropyrimidinase-like 3 /DB_XREF=gi:4503378 /UG=Hs.74566 dihydropyrimidinase-like 3 /FL=gb:D78014.1 gb:NM_001387.1
201563_at	L29008	6652	sorbitol dehydrogenase	|9582|9581|9605|7154|9628|9314|7600|5975|8152|8151|	|107|1262|	|15|15q|15q15|	gb:L29008.1 /DEF=Human L-iditol-2 dehydrogenase mRNA, complete cds. /FEA=mRNA /PROD=L-iditol-2 dehydrogenase /DB_XREF=gi:496077 /UG=Hs.878 sorbitol dehydrogenase /FL=gb:NM_003104.1 gb:L29008.1 gb:U07361.1
201578_at	NM_005397	5420	podocalyxin-like	|5887|5886|5622|5623|16020|16021|		|7|7q|7q32|	gb:NM_005397.1 /DEF=Homo sapiens podocalyxin-like (PODXL), mRNA. /FEA=mRNA /GEN=PODXL /PROD=podocalyxin-like /DB_XREF=gi:4885556 /UG=Hs.16426 podocalyxin-like /FL=gb:U97519.1 gb:NM_005397.1
201611_s_at	NM_012405	23463	isoprenylcysteine carboxyl methyltransferase	|5624|267|5623|6464|6411|8152|8151|5783|5737|5622|6605|16741|16740|3824|		|1|1p|1p36|	gb:NM_012405.1 /DEF=Homo sapiens isoprenylcysteine carboxyl methyltransferase (ICMT), mRNA.  /FEA=mRNA /GEN=ICMT /PROD=isoprenylcysteine carboxyl methyltransferase /DB_XREF=gi:6912429 /UG=Hs.183212 isoprenylcysteine carboxyl methyltransferase /FL=gb:AF06
201906_s_at	NM_005808	10217	HYA22 protein			|3|3p|3p21|	gb:NM_005808.1 /DEF=Homo sapiens HYA22 protein (HYA22), mRNA. /FEA=mRNA /GEN=HYA22 /PROD=HYA22 protein /DB_XREF=gi:5031774 /UG=Hs.147189 HYA22 protein /FL=gb:D88153.1 gb:NM_005808.1
202035_s_at	AI332407	6422	secreted frizzled-related protein 1	|6916|6915|8219|16265|7165|7154|5615|5576|7345|7275|	|1392|	|8|8p|8p12|	Consensus includes gb:AI332407 /FEA=EST /DB_XREF=gi:4068966 /DB_XREF=est:qq15g12.x1 /CLONE=IMAGE:1932646 /UG=Hs.7306 secreted frizzled-related protein 1 /FL=gb:AF001900.1 gb:AF017987.1 gb:AF056087.1 gb:NM_003012.2
202411_at	NM_005532	3429	interferon, alpha-inducible protein 27			|14|14q|	gb:NM_005532.1 /DEF=Homo sapiens interferon, alpha-inducible protein 27 (IFI27), mRNA. /FEA=mRNA /GEN=IFI27 /PROD=interferon, alpha-inducible protein 27 /DB_XREF=gi:5031780 /UG=Hs.278613 interferon, alpha-inducible protein 27 /FL=gb:NM_005532.1
202443_x_at	AA291203	4853	Notch homolog 2 (Drosophila)		|23|66|	|1|1p|1p13|	Consensus includes gb:AA291203 /FEA=EST /DB_XREF=gi:1939386 /DB_XREF=est:zt38h02.s1 /CLONE=IMAGE:724659 /UG=Hs.8121 Notch (Drosophila) homolog 2 /FL=gb:AF315356.1 gb:NM_024408.1
202570_s_at	BF346592	22839	KIAA0964 protein			|20|20q|20q11|	Consensus includes gb:BF346592 /FEA=EST /DB_XREF=gi:11294104 /DB_XREF=est:602020234F1 /CLONE=IMAGE:4155609 /UG=Hs.177425 KIAA0964 protein /FL=gb:AB023181.1 gb:NM_014902.1
202656_s_at	BG107456	9792	transcriptional regulator interacting with the PHS-bromodomain 2			|2|2p|2p13|	Consensus includes gb:BG107456 /FEA=EST /DB_XREF=gi:12601302 /DB_XREF=est:602277568F1 /CLONE=IMAGE:4365352 /UG=Hs.77293 KIAA0127 gene product /FL=gb:D50917.1 gb:NM_014755.1
202887_s_at	NM_019058	54541	HIF-1 responsive RTP801			|10|10p|10pter|	gb:NM_019058.1 /DEF=Homo sapiens hypothetical protein (FLJ20500), mRNA. /FEA=mRNA /GEN=FLJ20500 /PROD=hypothetical protein /DB_XREF=gi:9506686 /UG=Hs.111244 hypothetical protein /FL=gb:AL136668.1 gb:NM_019058.1
202897_at	AB023430	8194	protein tyrosine phosphatase, non-receptor type substrate 1	|16020|5623|7155|7154|5886|5622|	|47|	|20|20p|	gb:AB023430.1 /DEF=Homo sapiens Bit mRNA, complete cds. /FEA=mRNA /GEN=Bit /DB_XREF=gi:6518912 /UG=Hs.156114 protein tyrosine phosphatase, non-receptor type substrate 1 /FL=gb:D86043.1 gb:NM_004648.1 gb:AB023430.1
203081_at	NM_020248	56998	catenin, beta interacting protein 1	|5515|5488|8283|8151|7165|7154|7275|6355|6350|6139|8152|		|1|1p|1p36|	gb:NM_020248.1 /DEF=Homo sapiens beta-catenin-interacting protein ICAT (LOC56998), mRNA.  /FEA=mRNA /GEN=LOC56998 /PROD=beta-catenin-interacting protein ICAT /DB_XREF=gi:9910389 /UG=Hs.99816 beta-catenin-interacting protein ICAT /FL=gb:AB021262.1 gb:NM_0
203332_s_at	NM_005541	3635	inositol polyphosphate-5-phosphatase, 145kD	|7165|7154|6796|8152|8151|4437|16791|16788|16787|3824|16302|	|17|783|	|2|2q|2q36|	gb:NM_005541.1 /DEF=Homo sapiens inositol polyphosphate-5-phosphatase, 145kD (INPP5D), mRNA.  /FEA=mRNA /GEN=INPP5D /PROD=inositol polyphosphate-5-phosphatase, 145kD /DB_XREF=gi:5031798 /UG=Hs.155939 inositol polyphosphate-5-phosphatase, 145kD /FL=gb:U50
203440_at	M34064	1000	cadherin 2, type 1, N-cadherin (neuronal)	|7155|7154|5194|	|28|1049|	|18|18q|18q11|	gb:M34064.1 /DEF=Human N-cadherin mRNA, complete cds. /FEA=mRNA /GEN=NCAD /DB_XREF=gi:416292 /UG=Hs.161 cadherin 2, type 1, N-cadherin (neuronal) /FL=gb:M34064.1 gb:NM_001792.1
203441_s_at	NM_001792	1000	cadherin 2, type 1, N-cadherin (neuronal)	|7155|7154|5194|	|28|1049|	|18|18q|18q11|	gb:NM_001792.1 /DEF=Homo sapiens cadherin 2, type 1, N-cadherin (neuronal) (CDH2), mRNA.  /FEA=mRNA /GEN=CDH2 /PROD=cadherin 2, type 1, N-cadherin (neuronal) /DB_XREF=gi:4502720 /UG=Hs.161 cadherin 2, type 1, N-cadherin (neuronal) /FL=gb:M34064.1 gb:NM_0
203819_s_at	AU160004	10643	IGF-II mRNA-binding protein 3	|5737|5622|5623|3723|3676|16070|6139|8152|8151|6412|9059|9058|6411|7345|7275|	|13|76|	|7|7p|	Consensus includes gb:AU160004 /FEA=EST /DB_XREF=gi:11021525 /DB_XREF=est:AU160004 /CLONE=Y79AA1000871 /UG=Hs.79440 IGF-II mRNA-binding protein 3 /FL=gb:U97188.1 gb:U76705.1 gb:AF117108.1 gb:NM_006547.1
203820_s_at	NM_006547	10643	IGF-II mRNA-binding protein 3	|5737|5622|5623|3723|3676|16070|6139|8152|8151|6412|9059|9058|6411|7345|7275|	|13|76|	|7|7p|	gb:NM_006547.1 /DEF=Homo sapiens IGF-II mRNA-binding protein 3 (KOC1), mRNA. /FEA=mRNA /GEN=KOC1 /PROD=IGF-II mRNA-binding protein 3 /DB_XREF=gi:5729900 /UG=Hs.79440 IGF-II mRNA-binding protein 3 /FL=gb:U97188.1 gb:U76705.1 gb:AF117108.1 gb:NM_006547.1
203828_s_at	NM_004221	9235	natural killer cell transcript 4	|7155|7154|5194|6955|6952|9607|9605|5615|5576|		|16|16p|16p13|	gb:NM_004221.1 /DEF=Homo sapiens natural killer cell transcript 4 (NK4), mRNA. /FEA=mRNA /GEN=NK4 /PROD=natural killer cell transcript 4 /DB_XREF=gi:4758811 /UG=Hs.943 natural killer cell transcript 4 /FL=gb:M59807.1 gb:NM_004221.1
204105_s_at	NM_005010	4897	neuronal cell adhesion molecule	|7155|7154|5194|5887|5886|5622|5623|16020|16021|	|41|	|7|7q|7q31|	gb:NM_005010.1 /DEF=Homo sapiens neuronal cell adhesion molecule (NRCAM), mRNA. /FEA=mRNA /GEN=NRCAM /PROD=neuronal cell adhesion molecule /DB_XREF=gi:4826863 /UG=Hs.7912 neuronal cell adhesion molecule /FL=gb:AB002341.1 gb:NM_005010.1
