Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1448595_a_at	Rex3	reduced expression 3	498.9	6.59E-07
1452417_x_at	---	---	162	5.31E-05
1423754_at	Ifitm3	interferon induced transmembrane protein 3	124.1	4.95E-09
1420398_at	Rgs18	regulator of G-protein signaling 18	108.8	2.27E-10
1456046_at	C1qr1	complement component 1, q subcomponent, receptor 1	95.8	2.98E-06
1419589_at	C1qr1	complement component 1, q subcomponent, receptor 1	94.7	2.18E-06
1426225_at	Rbp4	retinol binding protein 4, plasma	88.3	9.00E-09
1415971_at	Marcks	myristoylated alanine rich protein kinase C substrate	79.4	7.90E-08
1456700_x_at	Marcks	myristoylated alanine rich protein kinase C substrate	79.4	2.42E-08
1456777_at	Mgam	maltase-glucoamylase	76.8	3.18E-09
1417133_at	Pmp22	peripheral myelin protein	74.1	8.81E-10
1442082_at	C3ar1	complement component 3a receptor 1	72.8	1.01E-10
1456028_x_at	Marcks	myristoylated alanine rich protein kinase C substrate	70.7	6.93E-07
1437726_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	69.4	2.67E-07
1452815_at	P2ry10	purinergic receptor P2Y, G-protein coupled 10	64.8	4.88E-08
1415972_at	Marcks	myristoylated alanine rich protein kinase C substrate	63.1	1.41E-06
1417256_at	Mmp13	matrix metalloproteinase 13	53.2	4.51E-10
1450876_at	Cfh	complement component factor h	52.5	1.23E-11
1448576_at	Il7r	interleukin 7 receptor	51.4	2.76E-10
1434366_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	46.3	3.97E-10
1439036_a_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	44.8	3.13E-13
1438467_at	Mgl2	macrophage galactose N-acetyl-galactosamine specific lectin 2	44	1.64E-07
1456060_at	---	---	41.9	3.49E-08
1421424_a_at	Anpep	alanyl (membrane) aminopeptidase	41.8	1.48E-11
1440865_at	Ifitm6	interferon induced transmembrane protein 6	41.8	9.60E-12
1449269_at	F5	coagulation factor V	41.4	7.63E-09
1451716_at	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	41.1	8.83E-12
1448575_at	Il7r	interleukin 7 receptor	40.8	1.10E-10
1418907_at	F5	coagulation factor V	39.4	2.35E-10
1427660_x_at	D6Mit97	DNA segment, Chr 6, Massachusetts Institute of Technology 97	38.6	2.30E-05
1421811_at	Thbs1	thrombospondin 1	38.6	7.04E-06
1423153_x_at	Cfh	complement component factor h	38.2	9.08E-10
1448259_at	Fstl1	follistatin-like 1	36.7	4.91E-10
1415973_at	Marcks	myristoylated alanine rich protein kinase C substrate	36.1	5.32E-07
1416805_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	35	7.68E-09
1418645_at	Hal	histidine ammonia lyase	32	3.69E-10
1448995_at	Cxcl4	chemokine (C-X-C motif) ligand 4	29.2	6.08E-05
1460419_a_at	Prkcb1	protein kinase C, beta 1	29.2	2.71E-06
1424463_at	2210010L05Rik	RIKEN cDNA 2210010L05 gene	28.7	2.18E-08
1451941_a_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	28.2	6.18E-08
1451411_at	Gprc5b	G protein-coupled receptor, family C, group 5, member B	27.9	2.75E-06
1418394_a_at	Cd97	CD97 antigen	27.8	2.57E-11
1417063_at	C1qb	complement component 1, q subcomponent, beta polypeptide	26.7	1.99E-06
1416871_at	Adam8	a disintegrin and metalloprotease domain 8	25.5	6.03E-10
1419483_at	C3ar1	complement component 3a receptor 1	24.4	3.53E-10
1416441_at	Pgcp	plasma glutamate carboxypeptidase	24.4	8.45E-11
1433930_at	Hpse	heparanase	23.8	1.23E-09
1435477_s_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	23.7	1.66E-08
1452348_s_at	Ifi205	interferon activated gene 205	23.5	7.05E-08
1447541_s_at	---	---	23.3	1.80E-06
1427455_x_at	D6Mit97	DNA segment, Chr 6, Massachusetts Institute of Technology 97	23.2	0.00055836
1416221_at	Fstl1	follistatin-like 1	23.1	2.92E-07
1428386_at	Acsl3	acyl-CoA synthetase long-chain family member 3	22.9	6.94E-10
1419605_at	Mgl1	macrophage galactose N-acetyl-galactosamine specific lectin 1	22.7	2.75E-10
1437279_x_at	Sdc1	syndecan 1	22.6	1.32E-05
1417928_at	Pdlim4	PDZ and LIM domain 4	22.5	1.83E-09
1449153_at	Mmp12	matrix metalloproteinase 12	22.1	1.99E-09
1418318_at	Rnf128	ring finger protein 128	21.1	8.26E-10
1427313_at	Ptgir	prostaglandin I receptor (IP)	21.1	1.10E-06
1427005_at	Plk2	polo-like kinase 2 (Drosophila)	20.7	3.05E-06
1448786_at	1100001H23Rik	RIKEN cDNA 1100001H23 gene	20.3	4.42E-08
1452163_at	Ets1	E26 avian leukemia oncogene 1, 5 domain	20.2	9.01E-06
1449036_at	Rnf128	ring finger protein 128	20	4.04E-09
1417400_at	Rai14	retinoic acid induced 14	19.7	5.84E-07
1440837_at	H2-Ob	histocompatibility 2, O region beta locus	19.6	1.21E-05
1419482_at	C3ar1	complement component 3a receptor 1	19.2	1.30E-08
1421001_a_at	Car6	carbonic anhydrase 6	18.6	7.18E-10
1455970_at	Clca3	chloride channel calcium activated 3	18.6	1.80E-06
1434510_at	1810018P12Rik	RIKEN cDNA 1810018P12 gene	18.5	6.21E-10
1423059_at	Ptk2	PTK2 protein tyrosine kinase 2	18.1	1.08E-07
1434295_at	Rasgrp1	RAS guanyl releasing protein 1	18	1.70E-08
1449856_at	Rgs18	regulator of G-protein signaling 18	17.6	2.48E-06
1439906_at	---	---	17.6	5.49E-07
1449187_at	Pdgfa	platelet derived growth factor, alpha	17.4	1.97E-08
1451780_at	Blnk	B-cell linker	17.2	8.12E-10
1424768_at	Cald1	caldesmon 1	17.1	2.98E-07
1455106_a_at	Ckb	creatine kinase, brain	17	2.92E-06
1433966_x_at	Asns	asparagine synthetase	16.9	2.02E-09
1442118_at	---	---	16.7	1.43E-08
1421854_at	Fgl2	fibrinogen-like protein 2	16.5	1.62E-06
1417377_at	Igsf4a	immunoglobulin superfamily, member 4A	16.3	1.60E-06
1424111_at	Igf2r	insulin-like growth factor 2 receptor	16.2	7.44E-09
1450639_at	Slc28a2	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	16.1	2.07E-07
1424769_s_at	Cald1	caldesmon 1	15.7	1.26E-07
1417378_at	Igsf4a	immunoglobulin superfamily, member 4A	15.5	2.80E-05
1416918_at	Dlgh3	discs, large homolog 3 (Drosophila)	15.1	1.24E-06
1418057_at	Tiam1	T-cell lymphoma invasion and metastasis 1	15	1.06E-09
1455332_x_at	Fcgr2b	Fc receptor, IgG, low affinity IIb	14.9	1.34E-09
1418872_at	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	14.9	7.29E-10
1449049_at	Tlr1	toll-like receptor 1	14.8	5.95E-07
1439833_at	3-Sep	septin 3	14.7	8.92E-06
1437409_s_at	Gpr126	G protein-coupled receptor 126	14.6	1.89E-09
1417381_at	C1qa	complement component 1, q subcomponent, alpha polypeptide	14.6	2.31E-07
1434339_at	2610318I01Rik	RIKEN cDNA 2610318I01 gene	14.6	1.15E-06
1418350_at	Dtr	diphtheria toxin receptor	14.5	3.58E-06
1420361_at	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	14.3	6.21E-09
1421375_a_at	S100a6	S100 calcium binding protein A6 (calcyclin)	14.2	3.95E-05
1426169_a_at	Wbscr5	Williams-Beuren syndrome chromosome region 5 homolog (human)	14.1	8.97E-08
1451715_at	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	14	9.06E-08
1454838_s_at	AW548124	expressed sequence AW548124	14	7.57E-08
1416412_at	Nsmaf	neutral sphingomyelinase (N-SMase) activation associated factor	13.6	5.98E-08
1448411_at	Wfs1	Wolfram syndrome 1 homolog (human)	13.6	2.73E-07
1422046_at	Itgam	integrin alpha M	13.5	4.80E-09
1433453_a_at	AW539457	expressed sequence AW539457	13.4	9.02E-05
1452771_s_at	Acsl3	acyl-CoA synthetase long-chain family member 3	13.4	3.37E-11
1415855_at	Kitl	kit ligand	13.3	1.28E-06
1422067_at	Klrb1d	killer cell lectin-like receptor subfamily B member 1D	13.3	1.68E-06
1435945_a_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	13.1	3.82E-05
1455656_at	Btla	B and T lymphocyte associated	12.9	6.41E-06
1429637_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	12.9	4.06E-07
1452014_a_at	Igf1	insulin-like growth factor 1	12.8	6.15E-10
1437467_at	Alcam	activated leukocyte cell adhesion molecule	12.7	1.17E-07
1416514_a_at	Fscn1	fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus)	12.6	1.27E-06
1434909_at	Rragd	Ras-related GTP binding D	12.5	4.01E-05
1424464_s_at	2210010L05Rik	RIKEN cDNA 2210010L05 gene	12.4	9.00E-09
1420911_a_at	Mfge8	milk fat globule-EGF factor 8 protein	12.4	6.88E-09
1452349_x_at	Ifi205	interferon activated gene 205	12.4	2.61E-07
1424050_s_at	Fgfr1	fibroblast growth factor receptor 1	12.2	4.15E-05
1417160_s_at	Expi	extracellular proteinase inhibitor	12.1	6.19E-09
1426300_at	Alcam	activated leukocyte cell adhesion molecule	12	4.89E-10
1424542_at	S100a4	S100 calcium binding protein A4	12	2.64E-06
1419289_a_at	Syngr1	synaptogyrin 1	11.8	1.22E-09
1423478_at	Prkcb1	protein kinase C, beta 1	11.7	1.02E-06
1451054_at	Orm1	orosomucoid 1	11.6	0.00232553
1437401_at	Igf1	insulin-like growth factor 1	11.4	0.000270191
1416156_at	Vcl	vinculin	11.4	8.53E-07
1435939_s_at	AI987662	expressed sequence AI987662	11.4	1.09E-05
1434325_x_at	Prkar1b	protein kinase, cAMP dependent regulatory, type I beta	11.3	5.64E-07
1455034_at	---	---	11.3	0.000492948
1422892_s_at	H2-Ea	histocompatibility 2, class II antigen E alpha	11.2	0.000573834
1421038_a_at	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	11.1	1.39E-05
1419282_at	Ccl12	chemokine (C-C motif) ligand 12	11.1	0.000186894
1434046_at	---	---	11	0.000478613
1416411_at	Gstm2	glutathione S-transferase, mu 2	10.9	1.74E-06
1448664_a_at	Apeg1	aortic preferentially expressed gene 1	10.9	3.31E-06
1417376_a_at	Igsf4a	immunoglobulin superfamily, member 4A	10.8	1.31E-05
1428579_at	Fmnl2	formin-like 2	10.6	7.70E-08
1450291_s_at	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C	10.5	0.016314871
1433768_at	2410003B16Rik	RIKEN cDNA 2410003B16 gene	10.4	3.48E-05
1419127_at	Npy	neuropeptide Y	10.3	0.007612463
1426725_s_at	Ets1	E26 avian leukemia oncogene 1, 5 domain	10.2	0.000186047
1426301_at	Alcam	activated leukocyte cell adhesion molecule	10.2	3.69E-06
1456225_x_at	Trib3	tribbles homolog 3 (Drosophila)	10	5.43E-08
1416957_at	Pou2af1	POU domain, class 2, associating factor 1	9.8	0.016856711
1438439_at	Gpr171	G protein-coupled receptor 171	9.8	0.00116893
1428720_s_at	LOC207685	hypothetical protein LOC207685	9.8	0.013063637
1416832_at	Slc39a8	solute carrier family 39 (metal ion transporter), member 8	9.6	9.81E-07
1421855_at	Fgl2	fibrinogen-like protein 2	9.4	1.24E-05
1449401_at	C1qg	complement component 1, q subcomponent, gamma polypeptide	9.4	3.31E-05
1437466_at	Alcam	activated leukocyte cell adhesion molecule	9.3	7.44E-10
1437989_at	Pde8b	phosphodiesterase 8B	9.2	0.003163915
1458341_x_at	Clca3	chloride channel calcium activated 3	9.1	1.53E-07
1416009_at	Tm4sf8	transmembrane 4 superfamily member 8	9.1	5.98E-09
1422438_at	Ephx1	epoxide hydrolase 1, microsomal	8.8	2.43E-09
1454806_at	D12Ertd553e	DNA segment, Chr 12, ERATO Doi 553, expressed	8.7	6.85E-08
1422139_at	Plau	plasminogen activator, urokinase	8.7	2.41E-05
