Accession ID	Gene name	Fold change	P
H99813	Glutathione S-transferase  1 (GSTT1)	6	0.016
AA844124	ESTs	4	0.043
H50323	Fatty acid synthase	3.9	0.032
AA233070	KIAA0552 gene product	3.7	0.019
T67442	HIC1-related gene on chromosome 22	3	0.0082
AA421269	Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	2.8	0.038
AA196393	EF-HAND CALCIUM BINDING	2.4	0.025
AA485373	Cathepsin D (lysosomal aspartyl protease)	-2.5	0.033
H96654	pp21 homolog	-3.0	0.04
AA424568	ADP-ribosylation factor-like 5	-4.3	0.0088
R95691	Trinucleotide repeat containing 3	-5.3	0.03
N57754	Trinucleotide repeat containing 3	-5.4	0.017
T61271	Phospholipase A2, group IIA	-9.7	0.015
