RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000092	Homo sapiens collagen, type IV, alpha 4 (COL4A4), mRNA.	1286	COL4A4	collagen, type IV, alpha 4	CA44	2	1.648	0.000918	1
NM_000043	Homo sapiens Fas (TNF receptor superfamily, member 6) (FAS), transcript variant 1, mRNA.	355	FAS	Fas (TNF receptor superfamily, member 6)	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	10	1.402	0.000473	1
NM_000332	Homo sapiens ataxin 1 (ATXN1), transcript variant 1, mRNA.	6310	ATXN1	ataxin 1	ATX1|D6S504E|SCA1	6	1.277	0.000219	1
NM_000282	Homo sapiens propionyl Coenzyme A carboxylase, alpha polypeptide (PCCA), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	5095	PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	-	13	1.149	0.000124	1
NM_001005369	Homo sapiens mitochondrial translational initiation factor 2 (MTIF2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	4528	MTIF2	mitochondrial translational initiation factor 2	-	2	1.079	0.000761	1
NM_001001396	Homo sapiens ATPase, Ca++ transporting, plasma membrane 4 (ATP2B4), transcript variant 1, mRNA.	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	ATP2B2|DKFZp686G08106|DKFZp686M088|MXRA1|PMCA4|PMCA4b|PMCA4x	1	1.072	0.000543	1
NM_000020	Homo sapiens activin A receptor type II-like 1 (ACVRL1), transcript variant 1, mRNA.	94	ACVRL1	activin A receptor type II-like 1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12	0.969	0.000282	2
NM_000438	Homo sapiens paired box 3 (PAX3), transcript variant PAX3A, mRNA.	5077	PAX3	paired box 3	CDHS|HUP2|MGC120381|MGC120382|MGC120383|MGC120384|MGC134778|WS1	2	0.962	0.000279	2
NM_001002861							0.916	0.000608	2
NM_000110	Homo sapiens dihydropyrimidine dehydrogenase (DPYD), mRNA.	1806	DPYD	dihydropyrimidine dehydrogenase	DHP|DHPDHASE|DPD|MGC132008|MGC70799	1	0.686	0.000663	2
