Unigene symbol	GenBank accession	Fold Change~	SE	Times >2-fold
SCYA4 (MIP1beta)	H62985	113.2	21.44	13/13
IL1B	W47101	71.5	15.51	12/13
SCYA3L1	R47893	60.9	11.98	13/13
IL8	IL8	43.5	9.67	6/6
TNFAIP3	AA476272	42.1	5.53	13/13
NR4A3	H37761	37.2	10.71	13/13
TNF	AA699697	31.3	6.63	13/13
GRO2	R50407	31.1	5.81	13/13
SCYA3 (MIP1alpha)	AA677522	28.9	4.06	12/12
GRO1	W42723	27.5	5.86	13/13
PTGS2 (COX2)	R80217	27.3	6.5	13/13
CPSF6	R18985	20.7	3.92	10/13
GRO3	AA935273	19.7	4.1	13/13
IL1A	AA936768	14.8	4.58	13/13
EGR2	AA446027	14.7	4.26	11/13
TNFAIP6	W93163	12.9	1.79	13/13
GCH1	AA443688	9.9	1.14	13/13
NFKBIA	W55872	8.7	0.93	13/13
MAP2K6	H07920	8.7	1.57	13/13
MBL2	T69359	8.7	0.56	13/13
LIF	R50354	8.3	1.73	12/13
SCYA2	AA425102	7.5	2.37	5/6
GLS	AI004766	7.1	2.62	7/7
RGS16	AA453774	6.9	1.33	12/12
KIAA0938	AA705735	6.4	1.17	10/11
NFKB2	AA952897	6.1	1.17	11/13
DUSP2	AA759046	5.9	0.64	13/13
NGFB	T56316	5.7	0.88	13/13
PLAU (uPA)	AA284668	5.5	0.78	13/13
JUNB	N94468	5.2	0.77	11/11
NFE2L2	H88359	4.6	0.36	13/13
ITGA2	AA463610	4.6	0.85	6/7
TWIST	AI220198	4.4	0.66	10/13
RIPK2	AA913804	4.2	0.26	13/13
JUN	W96134	4.2	0.82	10/13
PTGER2	AI276745	3.8	0.81	10/13
KIAA0298	AA853966	3.8	0.4	11/13
NAB1	N91896	3.7	0.18	13/13
SCYB10	AA878880	3.7	0.78	8/13
PDE4B	AA453293	3.6	0.39	13/13
SLC9A6	R45009	3.5	0.34	13/13
PTGER3	AA151583	3.4	0.7	7/12
UNG2	AA425900	3.4	0.34	11/13
BIRC3	H48706	3.3	0.46	10/13
C7	AA598478	3.1	0.28	11/13
KIAA0105	AA598802	3.1	0.24	12/13
GAD1	AA018457	3	0.35	11/13
CBLN1	AA495901	2.9	0.21	12/13
SNK	AA460152	2.9	0.35	9/13
C8orf1	AA278836	2.9	0.24	11/13
TIEG	AI348177	2.8	0.15	12/13
OLR1	AA682386	2.6	0.24	9/12
DBY	AA447588	2.6	0.14	11/13
BCL2	H74208	2.6	0.34	9/13
CHL1	H15267	2.6	0.4	5/9
XBP1	W90128	2.6	0.26	9/13
KCNA3	AI095381	2.5	0.5	6/11
PARG1	AA629603	2.5	0.29	8/13
KIAA0254	N75979	2.5	0.49	7/13
TFAP2C	AA399334	2.5	0.31	7/10
CSF3	AI074784	2.5	0.49	5/13
ITGAV	AA029934	2.5	0.2	9/13
PMAIP1	AA458838	2.4	0.64	7/13
NR4A1	N94487	2.4	0.2	8/13
RASGRP1	AA884877	2.4	0.39	6/11
TLR3	R76099	2.3	0.1	10/13
KIAA0852	W80688	2.3	0.33	6/11
SNAI1	AA464983	2.3	0.27	7/13
DAF	R09561	2.3	0.15	10/13
CNK	AA489234	2.3	0.33	5/13
PTPN1	T57321	2.2	0.16	8/13
DDX3	AA626845	2.2	0.22	8/13
KIAA0680	AA700164	2.2	0.15	7/13
LPL	AA633835	2.2	0.16	8/13
REL	AI247359	2.2	0.19	7/13
IER3	AA480815	2.2	0.19	6/13
CSF1	T55558	2.1	0.26	5/11
AKT3	AI864214	2.1	0.31	5/12
CTF1	AA884403	2.1	0.38	5/13
PIM1	AA453663	2.1	0.17	6/13
IRF1	AA478043	2.1	0.15	8/13
ZNF297B	AA465708	2	0.17	6/13
BCL2L2	AA456480	2	0.21	6/13
FGF9	AA946776	2	0.14	8/13
TGFBR3	H62473	2	0.16	5/12
HIF1A	AA598526	1.9	0.12	7/13
KAL1	H92621	1.9	0.19	6/12
SOX9	AA400739	1.9	0.15	5/11
ESMI	W46577	1.7	0.15	5/12
DTR	R14663	1.2	0.63	5/13
PPP1R15A	AA460168	-1.5	0.23	5/13
NET1	R24543	-1.6	0.17	5/13
ICAM5	R87840	-1.7	0.15	5/13
PM5	AA629923	-1.8	0.1	5/13
GFPT1	AA478571	-1.9	0.12	5/13
GCNT1	AI657057	-1.9	0.17	5/13
CYP1B1	AA448157	-2	0.27	7/13
PPP1R8	N99208	-2.1	0.08	7/13
PPAT	AA873575	-2.1	0.21	7/13
CXCR4	T62491	-2.1	0.21	7/13
KIAA0711	AA702544	-2.3	0.23	7/13
PCDH8	H29216	-2.3	0.2	8/13
SREBF1	AA425823	-2.4	0.29	7/13
CITED2	AA115076	-2.4	0.42	6/13
CCND3	AI340905	-2.6	0.76	5/13
ITPKB	R94153	-2.8	0.29	9/12
CENPA	AI369629	-3.2	0.35	11/13
SERPINB2	T49159	-3.2	0.66	7/13
B3GNT1	H93550	-3.5	0.56	5/6
THBD	H59861	-3.6	0.38	12/13
MYC	AA464600	-3.7	0.42	11/13
GFI1	AA418008	-5	0.54	13/13
