RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_002356	Homo sapiens myristoylated alanine-rich protein kinase C substrate (MARCKS), mRNA.	4082	MARCKS	myristoylated alanine-rich protein kinase C substrate	80K-L|FLJ14368|FLJ90045|MACS|PKCSL|PRKCSL	6	3.702	0.000000991	1
NM_004951	Homo sapiens G protein-coupled receptor 183 (GPR183), mRNA.	1880	GPR183	G protein-coupled receptor 183	EBI2	13	3.178	7.57E-09	1
NM_012252	Homo sapiens transcription factor EC (TFEC), transcript variant 1, mRNA.	22797	TFEC	transcription factor EC	TCFEC|TFECL|bHLHe34	7	2.982	0.0000154	1
NM_001018058	Homo sapiens transcription factor EC (TFEC), transcript variant 2, mRNA.	22797	TFEC	transcription factor EC	TCFEC|TFECL|bHLHe34	7	2.982	0.0000154	1
NM_000433	Homo sapiens neutrophil cytosolic factor 2 (NCF2), transcript variant 1, mRNA.	4688	NCF2	neutrophil cytosolic factor 2	FLJ93058|NCF-2|NOXA2|P67-PHOX|P67PHOX	1	2.739	0.0000381	1
NM_144729	Homo sapiens dual specificity phosphatase 10 (DUSP10), transcript variant 3, mRNA.	11221	DUSP10	dual specificity phosphatase 10	MKP-5|MKP5	1	2.476	0.000000171	1
NM_144728	Homo sapiens dual specificity phosphatase 10 (DUSP10), transcript variant 2, mRNA.	11221	DUSP10	dual specificity phosphatase 10	MKP-5|MKP5	1	2.476	0.000000171	1
NM_007207	Homo sapiens dual specificity phosphatase 10 (DUSP10), transcript variant 1, mRNA.	11221	DUSP10	dual specificity phosphatase 10	MKP-5|MKP5	1	2.476	0.000000171	1
NM_004862	Homo sapiens lipopolysaccharide-induced TNF factor (LITAF), transcript variant 1, mRNA.	9516	LITAF	lipopolysaccharide-induced TNF factor	FLJ38636|MGC116698|MGC116700|MGC116701|MGC125274|MGC125275|MGC125276|PIG7|SIMPLE|TP53I7	16	1.902	0.000275	1
NM_004240	Homo sapiens thyroid hormone receptor interactor 10 (TRIP10), mRNA.	9322	TRIP10	thyroid hormone receptor interactor 10	CIP4|HSTP|STOT|STP	19	1.783	4.89E-08	1
NM_178234	Homo sapiens tumor suppressor candidate 3 (TUSC3), transcript variant 2, mRNA.	7991	TUSC3	tumor suppressor candidate 3	D8S1992|M33|MGC13453|MRT7|N33|OST3A	8	1.72	0.0000997	1
NM_003037	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA.	6504	SLAMF1	signaling lymphocytic activation molecule family member 1	CD150|CDw150|SLAM	1	1.605	0.00000195	1
